grp,pp,S,DID,HarmonicityL,HarmonicityR,HarmonicityDownL,HarmonicityDownR,HarmonicityUpL,HarmonicityUpR,CircularityL,CircularityR,fL,fR,IDefL,IDefR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,1,1,0.1426,0.22621,0.15103,1,0.12458,0.13179,0.7787,0.76347,0.73982,0.73982,3.2709,3.6932,0.27927,0.27726,0.686,0.673,0.246,0.253,0.428,0.432,0.3815,0.37237,3.7893,3.8625,4.7681,5.4876,0.74058,0.71823,0.21204,0.23837,0.89205,0.81491,0.70817,0.68295,0.76903,0.78157,0.70465,0.69956,0.24975,0.46204,0.7888,1,0.99959,0.95994,0.10471,0.0075169,1.0937,0.62102,0.85348,0.095595,0.022,0.06414
1,2,1,1,1,1,1,1,1,1,0.8144,0.84005,0.80218,0.80218,2.7903,3.8638,0.28109,0.27605,0.583,0.594,0.261,0.251,0.315,0.321,0.45932,0.44646,4.4588,4.3762,4.7861,6.5048,0.84661,0.84005,0.181,0.17336,0.9245,0.903,0.76755,0.82261,0.75547,0.82055,0.83303,0.8098,0.21364,0.19031,0.78285,1,0.98897,0.93843,0.099313,0.01086,1.1677,0.82867,0.81054,0.093056,0.013,0.044597
1,2,1,1,1,1,1,1,0.30315,0.20198,0.77465,0.82414,0.86806,0.86806,2.9152,3.5648,0.30586,0.30647,0.5655,0.5725,0.2555,0.2445,0.307,0.3285,0.45159,0.42154,4.5968,4.5406,5.155,6.2268,0.7985,0.84925,0.1608,0.1528,0.84019,0.92998,0.75124,0.82698,0.77025,0.80143,0.80211,0.80461,0.24036,0.2152,0.77139,1,0.97045,0.92961,0.086659,0.01208,1.1492,0.72703,0.82293,0.082176,0.012,0.04244
1,2,1,2,0.029167,0.028243,0.032837,0.016414,0.02253,0.035986,0.72417,0.759,0.46705,0.46705,3.7765,4.6306,0.27877,0.26259,1.075,1.098,0.278,0.305,0.787,0.775,0.2474,0.28326,2.4181,3.643,3.5131,4.2173,0.61074,0.65409,0.36956,0.3875,0.87723,0.90571,0.58441,0.60468,0.8295,0.85222,0.57449,0.58274,1.614,0.69968,0.75705,1,0.99199,0.70384,0.062777,0.0081057,1.103,0.32044,0.97018,0.049592,0.026,0.048372
1,2,1,2,0.065432,0.04829,0.053433,0.041884,0.068135,0.04829,0.69284,0.76453,0.45573,0.45573,3.5196,4.8284,0.21119,0.22683,1.004,1,0.286,0.294,0.724,0.7,0.28958,0.30068,2.5891,4,3.5056,4.8284,0.59927,0.65509,0.32862,0.38688,0.81686,0.87166,0.5435,0.60035,0.69021,0.81467,0.62253,0.61547,0.44944,0.67074,0.75944,1,0.97064,0.63392,0.061531,0.009389,1.0687,0.41674,0.90787,0.049432,0.013,0.025896
1,2,1,2,0.14832,0.13959,0.19196,0.1501,0.09755,0.10905,0.80551,0.80776,0.60096,0.60096,3.5332,4.4567,0.23941,0.2504,0.821,0.832,0.299,0.292,0.542,0.521,0.36708,0.35506,3.1662,4.8077,4.3036,5.3566,0.78837,0.75594,0.20512,0.25431,0.90237,0.8795,0.74015,0.71659,0.82899,0.83918,0.74563,0.67372,0.58393,0.37167,0.74054,1,0.98351,0.80084,0.071297,0.014111,1.1618,0.60178,0.91817,0.054427,0.007,0.017052
1,2,1,3,0.027076,0.040896,0.027076,0.031034,0.026585,0.044541,0.71091,0.79903,0.30904,0.30904,3.6283,5.7381,0.21498,0.19624,1.645,1.625,0.45,0.484,1.202,1.145,0.28043,0.30618,1.5802,3.275,2.2057,3.5311,0.64645,0.64119,0.36988,0.46782,0.83237,0.9348,0.53616,0.60371,0.77123,0.86157,0.60261,0.58786,0.69425,0.54326,0.74611,1,0.95427,0.43225,0.025727,0.0089009,1.1441,0.2623,1.0537,0.017007,0.047,0.057143
1,2,1,3,0.045947,0.046749,0.026567,0.031934,0.063217,0.069415,0.75988,0.78958,0.38365,0.38365,3.6375,5.5348,0.22525,0.21692,1.335,1.311,0.39,0.397,0.913,0.912,0.28322,0.29881,1.9472,4.0594,2.7247,4.2218,0.64993,0.63568,0.32596,0.4116,0.90893,0.92349,0.59819,0.61815,0.82257,0.84595,0.60053,0.57166,0.49608,0.58532,0.71969,1,0.99161,0.60538,-0.012483,0.016597,1.1614,0.30227,1.0501,-0.00096951,0.028,0.041948
1,2,1,3,0.034218,0.03612,0.023191,0.030001,0.049081,0.039863,0.75761,0.78854,0.37202,0.38752,3.4995,5.506,0.22054,0.21522,1.299,1.298,0.379,0.357,0.892,0.946,0.30091,0.27933,2.0011,4.1001,2.694,4.2419,0.67287,0.6417,0.28938,0.43514,0.86213,0.93424,0.59493,0.61819,0.78278,0.90394,0.60598,0.63074,0.53213,3.0646,0.74563,1,0.98876,0.60495,-0.065576,0.014855,1.1598,0.32647,1.033,-0.037838,-0.019,-0.029253
1,2,2,1,1,1,1,1,1,1,0.82677,0.84841,2.0345,2.0345,3.0057,2.8098,0.56924,0.58346,0.25,0.249,0.13,0.135,0.122,0.12,0.51172,0.52439,10.398,10.44,12.023,11.284,0.80814,0.87223,0.084703,0.17072,0.85935,0.78096,0.80563,0.94344,0.78377,0.9016,0.84096,0.82499,0.18957,0.31667,0.76811,1,0.99888,0.77615,0.067265,0.016627,1.1899,0.88489,0.80191,0.094423,0.006,0.048
1,2,2,1,1,1,1,1,1,1,0.82856,0.86831,2.2461,2.2461,2.6888,3.2986,0.70062,0.69762,0.223,0.221,0.109,0.112,0.112,0.11,0.49794,0.51244,11.657,11.762,12.058,14.926,0.84463,0.88018,0.080378,0.071015,0.87768,0.87774,0.85244,0.87343,0.82721,0.83957,0.8642,0.90864,0.18544,0.33949,0.74817,1,0.98513,0.82424,-0.027573,0.008046,1.2091,0.89683,0.79344,-0.017369,-0.002,-0.017937
1,2,2,1,1,1,1,1,1,1,0.78699,0.83886,2.1159,2.1159,2.6749,2.8351,0.61222,0.57371,0.252,0.245,0.129,0.13,0.122,0.118,0.51748,0.52564,10.315,10.61,10.615,11.572,0.77979,0.84408,0.096019,0.1672,0.80211,0.85148,0.78762,0.87486,0.73305,0.81758,0.80015,0.86064,0.16879,0.15779,0.74073,1,0.99637,0.80192,-0.0084648,0.016777,1.1605,0.87324,0.75409,0.011292,0.003,0.02381
1,2,2,2,1,1,1,1,1,1,0.85617,0.87082,1.0653,1.1097,3.4212,4.0307,0.34463,0.34316,0.469,0.463,0.227,0.227,0.251,0.24,0.46545,0.48276,5.5426,8.6393,7.2948,8.7055,0.85564,0.84679,0.12428,0.15553,0.91097,0.84638,0.85095,0.82185,0.8247,0.87418,0.83034,0.85831,0.25524,0.14831,0.75308,1,0.9942,0.99818,0.0061579,0.0063591,1.2245,0.80971,0.89832,0.015149,0.008,0.034115
1,2,2,2,1,1,1,1,1,1,0.84273,0.86969,1.3021,1.3021,3.7524,4.0428,0.4038,0.40636,0.387,0.384,0.188,0.195,0.198,0.19,0.49734,0.50949,6.717,10.417,9.6962,10.528,0.83611,0.85232,0.13303,0.11991,0.84901,0.85661,0.87998,0.86222,0.81355,0.85064,0.8095,0.84764,0.21249,0.37074,0.74816,1,0.98938,0.99296,-0.0053729,0.0061469,1.2125,0.86282,0.84883,-0.010626,0.002,0.010336
