grp,pp,S,IDL,IDR,HarmonicityL,HarmonicityR,HarmonicityDownL,HarmonicityDownR,HarmonicityUpL,HarmonicityUpR,CircularityL,CircularityR,fL,fR,IDefL,IDefR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,1,1,1,0.076823,0.074419,0.064701,0.051962,0.080852,0.11445,0.81103,0.75591,0.28483,0.28483,5.5442,5.7385,0.24299,0.22937,1.697,1.773,0.633,0.588,1.059,1.111,0.37139,0.34323,3.1361,3.0017,3.2671,3.2366,0.64827,0.59768,0.43827,0.47852,0.92072,0.88604,0.64261,0.57472,0.89837,0.89071,0.5529,0.51607,3.0559,1.6428,0.71836,1,0.99423,0.57461,-0.02317,0.0041949,1.1877,0.17807,1.1181,-0.017584,-0.016,-0.018857
1,2,1,1,1,0.085964,0.087748,0.078724,0.083495,0.087222,0.08976,0.80772,0.7409,0.30591,0.30591,5.5951,5.5959,0.18346,0.21295,1.725,1.725,0.608,0.593,1.081,1.14,0.35312,0.34367,3.0852,3.0852,3.2435,3.244,0.67109,0.65169,0.37328,0.4865,0.86766,0.92436,0.65547,0.57907,0.91093,0.82219,0.60819,0.524,1.1183,0.28786,0.67201,1,0.99416,0.60116,-0.035943,0.017731,1.1605,0.24755,1.081,-0.0069847,-0.047,-0.054493
1,2,1,1,1,0.06573,0.073761,0.057657,0.062977,0.077877,0.08826,0.8215,0.75982,0.27432,0.27432,5.8024,5.5844,0.19552,0.19074,1.846,1.856,0.634,0.636,1.221,1.213,0.34326,0.33487,2.883,2.8674,3.1432,3.0089,0.72308,0.64799,0.35434,0.47149,0.87344,0.92551,0.58852,0.58467,0.85141,0.89281,0.64247,0.53524,0.40583,2.7026,0.72521,1,0.97809,0.60772,-0.06686,0.0096319,1.196,0.24623,1.123,-0.043226,0.002,0.0021668
1,2,1,1,2,0.075271,0.063672,0.074085,0.062326,0.081798,0.061966,0.78773,0.74185,0.29668,0.29668,5.6906,4.944,0.20601,0.21223,1.593,1.61,0.577,0.547,1.019,1.053,0.35135,0.33455,3.3408,2.4845,3.5722,3.0708,0.61576,0.606,0.49179,0.43445,0.75414,0.84748,0.51358,0.53679,0.75713,0.8295,0.5569,0.56796,2.5086,0.57499,0.70975,1,0.97275,0.65211,0.056434,0.010466,1.1644,0.20673,1.1064,0.026373,-0.009,-0.011299
1,2,1,1,2,0.064158,0.073041,0.042947,0.088163,0.083265,0.058992,0.81814,0.74792,0.29415,0.29415,5.9234,5.0009,0.20656,0.20792,1.729,1.728,0.566,0.59,1.171,1.15,0.32453,0.33351,3.078,2.3148,3.4259,2.894,0.70671,0.61481,0.43268,0.44983,0.9375,0.87355,0.62473,0.55,0.93014,0.88453,0.5777,0.56204,0.61761,1.0238,0.72204,1,0.98267,0.62943,0.030259,0.0071109,1.1774,0.2143,1.0942,0.019931,-0.04,-0.04627
1,2,1,1,2,0.084849,0.083272,0.061267,0.094974,0.1022,0.075888,0.80413,0.73849,0.31707,0.31707,5.559,4.5819,0.19336,0.21613,1.578,1.558,0.519,0.556,1.045,1,0.33595,0.35153,3.3726,2.5674,3.5228,2.9409,0.66333,0.64288,0.33302,0.41603,0.88606,0.86147,0.60556,0.56206,0.84071,0.8267,0.62426,0.52812,0.7722,0.8381,0.72296,1,0.98603,0.65754,0.066318,0.0093294,1.1578,0.23706,1.0698,0.056847,-0.018,-0.022814
1,2,1,1,3,0.05997,0.043094,0.03279,0.022944,0.084288,0.061618,0.81959,0.75597,0.35807,0.35807,5.4154,3.7353,0.20077,0.22382,1.334,1.317,0.457,0.428,0.884,0.901,0.33693,0.32205,3.9895,1.9738,4.0596,2.8362,0.72324,0.73728,0.36644,0.31706,0.93637,0.85495,0.70063,0.69014,0.8583,0.85228,0.6397,0.61709,0.77504,2.9242,0.8073,1,0.98486,0.72143,0.089527,0.0076969,1.1676,0.28934,1.0465,0.063107,0.003,0.0044978
1,2,1,1,3,0.058834,0.083788,0.046507,0.10798,0.058834,0.060615,0.81977,0.69665,0.33053,0.33053,5.4242,3.7268,0.18246,0.19414,1.4555,1.4825,0.492,0.451,0.988,0.995,0.32312,0.32431,3.6565,1.7534,3.7268,2.5138,0.70991,0.70618,0.34865,0.3747,0.87363,0.81191,0.64286,0.56614,0.91906,0.83782,0.65697,0.52496,0.35048,0.7548,0.72029,1,0.94749,0.75918,0.058703,0.011296,1.1298,0.3299,1.0129,0.047905,-0.0375,-0.051529
1,2,1,1,3,0.047141,0.048914,0.036879,0.061371,0.047141,0.027986,0.7948,0.68444,0.36821,0.36821,5.4949,3.6332,0.19426,0.20811,1.3895,1.3335,0.419,0.4335,0.941,0.9435,0.31466,0.30533,3.8301,1.9496,3.9546,2.725,0.69555,0.62963,0.414,0.35879,0.83638,0.76351,0.59479,0.60047,0.81267,0.81616,0.59421,0.53017,0.76378,0.66591,0.73246,1,0.92851,0.83883,0.05081,0.0093364,1.1098,0.3171,1.0064,0.033802,-0.0195,-0.028068
1,2,1,2,1,0.027076,0.040896,0.027076,0.031034,0.026585,0.044541,0.71091,0.79903,0.30904,0.30904,3.6283,5.7381,0.21498,0.19624,1.645,1.625,0.45,0.484,1.202,1.145,0.28043,0.30618,1.5802,3.275,2.2057,3.5311,0.64645,0.64119,0.36988,0.46782,0.83237,0.9348,0.53616,0.60371,0.77123,0.86157,0.60261,0.58786,0.69425,0.54326,0.74611,1,0.95427,0.43225,0.025727,0.0089009,1.1441,0.2623,1.0537,0.017007,0.047,0.057143
1,2,1,2,1,0.045947,0.046749,0.026567,0.031934,0.063217,0.069415,0.75988,0.78958,0.38365,0.38365,3.6375,5.5348,0.22525,0.21692,1.335,1.311,0.39,0.397,0.913,0.912,0.28322,0.29881,1.9472,4.0594,2.7247,4.2218,0.64993,0.63568,0.32596,0.4116,0.90893,0.92349,0.59819,0.61815,0.82257,0.84595,0.60053,0.57166,0.49608,0.58532,0.71969,1,0.99161,0.60538,-0.012483,0.016597,1.1614,0.30227,1.0501,-0.00096951,0.028,0.041948
1,2,1,2,1,0.034218,0.03612,0.023191,0.030001,0.049081,0.039863,0.75761,0.78854,0.37202,0.38752,3.4995,5.506,0.22054,0.21522,1.299,1.298,0.379,0.357,0.892,0.946,0.30091,0.27933,2.0011,4.1001,2.694,4.2419,0.67287,0.6417,0.28938,0.43514,0.86213,0.93424,0.59493,0.61819,0.78278,0.90394,0.60598,0.63074,0.53213,3.0646,0.74563,1,0.98876,0.60495,-0.065576,0.014855,1.1598,0.32647,1.033,-0.037838,-0.019,-0.029253
1,2,1,2,2,0.029167,0.028243,0.032837,0.016414,0.02253,0.035986,0.72417,0.759,0.46705,0.46705,3.7765,4.6306,0.27877,0.26259,1.075,1.098,0.278,0.305,0.787,0.775,0.2474,0.28326,2.4181,3.643,3.5131,4.2173,0.61074,0.65409,0.36956,0.3875,0.87723,0.90571,0.58441,0.60468,0.8295,0.85222,0.57449,0.58274,1.614,0.69968,0.75705,1,0.99199,0.70384,0.062777,0.0081057,1.103,0.32044,0.97018,0.049592,0.026,0.048372
