grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,2,1,1,0.13983,0.71181,5.5164,0.39062,0.2564,1.326,0.464,0.857,0.35333,4.0135,4.1602,0.53998,0.49837,0.7736,0.53779,0.78883,0.48444,1.4968
1,2,1,1,0.087409,0.73105,5.5046,0.36439,0.21428,1.356,0.453,0.92,0.32728,3.9247,4.0594,0.59055,0.41348,0.71082,0.53208,0.75794,0.569,0.68271
1,2,1,1,0.086737,0.76701,5.8155,0.39438,0.25736,1.2435,0.407,0.8475,0.3272,4.2798,4.6768,0.59621,0.41209,0.84371,0.52366,0.78925,0.57575,1.4265
1,2,1,2,1,0.82259,3.471,1.0696,0.32125,0.439,0.199,0.239,0.4485,5.9213,7.9065,0.87173,0.14683,0.87647,0.78631,0.88963,0.8622,0.16393
1,2,1,2,1,0.84955,3.6972,1.4361,0.39785,0.354,0.179,0.178,0.49722,7.3431,10.444,0.84446,0.11889,0.84586,0.86357,0.82117,0.83638,0.22385
1,2,1,2,1,0.84675,3.4048,1.5259,0.40348,0.334,0.17,0.167,0.50685,7.7828,10.194,0.86292,0.14133,0.88033,0.90233,0.81771,0.83771,0.19034
1,2,2,1,0.050915,0.76392,5.5406,0.64248,0.35667,0.791,0.223,0.583,0.27978,6.7281,7.0046,0.57126,0.4566,0.93369,0.57471,0.87019,0.5581,0.90219
1,2,2,1,0.056589,0.76427,5.1778,0.71023,0.34295,0.714,0.188,0.522,0.26923,7.4537,7.2518,0.61853,0.33649,0.92536,0.58735,0.81439,0.60168,0.38584
1,2,2,1,0.060543,0.6988,5.1537,0.71806,0.28453,0.694,0.192,0.505,0.28358,7.6685,7.4261,0.58242,0.5539,0.70852,0.54725,0.64058,0.55983,0.50614
1,2,2,2,1,0.76937,2.4114,2.9297,0.82159,0.172,0.092,0.085,0.51534,15.113,14.02,0.80213,0.23868,0.86873,0.78435,0.86796,0.7566,0.46039
1,2,2,2,1,0.83283,3.5778,2.4414,0.76131,0.204,0.105,0.098,0.51397,12.742,17.538,0.80811,0.0843,0.86873,0.88952,0.79311,0.80895,0.17608
1,2,2,2,1,0.82527,3.5053,2.8076,0.83668,0.174,0.09,0.085,0.5163,14.939,20.146,0.80213,0.23868,0.86873,0.78435,0.86796,0.7566,0.46039
1,2,3,1,0.051094,0.74363,5.3119,0.56152,0.29773,0.83,0.227,0.59,0.2664,6.412,6.3999,0.58708,0.4205,0.93738,0.55515,0.80644,0.57266,0.7749
1,2,3,1,0.037758,0.78182,5.6225,0.65104,0.40948,0.75,0.229,0.523,0.30388,7.0959,7.4967,0.66106,0.30552,0.91604,0.58734,0.88969,0.64689,1.3982
1,2,3,1,0.03294,0.78519,5.4592,0.71023,0.41539,0.709,0.198,0.504,0.28202,7.5062,7.6999,0.64776,0.36142,0.92907,0.61419,0.91506,0.65211,0.86726
1,2,3,2,1,0.81457,3.3192,2.6367,0.77232,0.189,0.099,0.101,0.5188,13.754,17.562,0.77994,0.090269,0.79869,0.78435,0.86796,0.71914,0
1,2,3,2,1,0.79601,3.3203,3.2959,0.80362,0.159,0.083,0.078,0.51705,16.349,20.883,0.81378,0.1678,0.81378,0.78435,0.86796,0.7566,0
1,2,3,2,1,0.82296,2.8344,2.6042,0.83606,0.18,0.095,0.092,0.52846,14.441,15.747,0.77536,0.035225,0.86873,0.78435,0.77536,0.7566,0.10472
1,3,1,1,0.065868,0.83101,5.4655,0.3756,0.21216,1.284,0.464,0.812,0.37329,4.1448,4.2566,0.77366,0.32923,0.91881,0.72966,0.89178,0.68214,3.0652
1,3,1,1,0.059188,0.87291,5.3663,0.47871,0.25497,1.066,0.433,0.624,0.4123,4.9924,5.034,0.83521,0.27789,0.88267,0.80797,0.91486,0.76142,0.48122
1,3,1,1,0.086222,0.8529,5.7123,0.38297,0.21008,1.328,0.473,0.826,0.36379,4.0075,4.3014,0.77265,0.30575,0.92256,0.74293,0.90478,0.67403,1.6213
1,3,1,2,1,0.81804,3.2919,0.86806,0.26969,0.568,0.221,0.345,0.39069,4.5765,5.7955,0.79914,0.20766,0.84419,0.7994,0.87506,0.7367,0.22272
1,3,1,2,1,0.81409,3.1164,1.3021,0.34119,0.389,0.1775,0.214,0.45714,6.6824,8.0114,0.82032,0.15286,0.7627,0.85168,0.84663,0.75226,0.18018
1,3,1,2,1,0.84642,3.4539,1.3787,0.37647,0.361,0.165,0.196,0.47059,7.2007,9.5676,0.87612,0.16245,0.88436,0.93279,0.88475,0.77332,0.19983
1,3,2,1,0.1233,0.8217,5.2044,0.49867,0.27091,0.9925,0.4185,0.5725,0.43277,5.3621,5.2438,0.73239,0.26132,0.79339,0.68507,0.82675,0.72799,0.40775
1,3,2,1,0.1084,0.86389,5.3181,0.48828,0.22257,1.001,0.376,0.608,0.38025,5.3166,5.3128,0.81875,0.25611,0.86489,0.72923,0.93045,0.78965,0.34487
1,3,2,1,0.063137,0.85348,4.9627,0.52235,0.219,0.971,0.359,0.61,0.38859,5.4809,5.1109,0.84621,0.24458,0.88099,0.77095,0.94355,0.78175,0.59592
1,3,2,2,1,0.83913,3.268,1.4936,0.39273,0.347,0.171,0.178,0.47989,7.4912,9.418,0.86084,0.17006,0.85627,0.86588,0.90638,0.84089,0.36578
1,3,2,2,1,0.8625,3.3807,1.5625,0.40685,0.331,0.158,0.167,0.49013,7.8534,10.214,0.88099,0.13491,0.8379,0.94569,0.91595,0.81525,0.16185
