grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,2,1,1,0.040403,0.78203,5.9757,0.42832,0.2674,1.174,0.326,0.832,0.28257,4.5332,5.09,0.62103,0.46164,0.93516,0.58396,0.92889,0.60109,3.0273
1,2,1,1,0.049156,0.77889,5.6432,0.47871,0.24601,1.058,0.326,0.732,0.31426,5.0302,5.3338,0.65298,0.41684,0.78827,0.56804,0.84673,0.59985,1.3586
1,2,1,1,0.041182,0.80942,5.6562,0.50863,0.28858,0.999,0.307,0.682,0.30622,5.3273,5.6619,0.71089,0.38029,0.94507,0.64359,0.93167,0.65593,0.63588
1,2,1,2,1,0.78975,4.1104,0.73242,0.24033,0.686,0.286,0.412,0.41119,5.8309,5.9919,0.76009,0.20334,0.79823,0.72398,0.81224,0.73613,0.2131
1,2,1,2,0.35026,0.80205,4.1234,0.8138,0.27114,0.615,0.264,0.332,0.44291,6.5041,6.7048,0.77805,0.19683,0.82569,0.7588,0.80083,0.76678,0.2788
1,2,1,2,0.4013,0.85469,3.9838,0.83705,0.28796,0.594,0.235,0.3575,0.39741,6.7341,6.7068,0.85298,0.21508,0.87832,0.80825,0.94738,0.82875,0.23079
1,2,1,3,1,0.86635,3.5808,1.4936,0.41268,0.339,0.169,0.167,0.49242,7.668,10.563,0.89759,0.094275,0.93043,0.87123,0.84249,0.90206,0.1708
1,2,1,3,1,0.86329,3.5414,1.6044,0.43837,0.307,0.156,0.155,0.49856,8.4673,11.536,0.87469,0.10992,0.8944,0.8756,0.85841,0.87403,0.199
1,2,1,3,1,0.82458,3.4093,1.6741,0.44248,0.293,0.148,0.145,0.50671,8.8719,11.636,0.84882,0.12066,0.86148,0.87968,0.81293,0.84883,0.23841
1,2,2,1,0.033746,0.76118,5.6275,0.51945,0.24881,0.961,0.224,0.75,0.23463,5.5379,5.8559,0.63584,0.42196,0.91731,0.58359,0.86558,0.56044,1.1638
1,2,2,1,0.031888,0.77088,5.7212,0.56538,0.25509,0.8625,0.222,0.6435,0.2537,6.1704,6.6333,0.61856,0.35617,0.91453,0.60468,0.81375,0.59665,0.56196
1,2,2,1,0.034143,0.80226,5.5394,0.66964,0.34766,0.738,0.222,0.518,0.3014,7.2113,7.5059,0.71983,0.3384,0.90217,0.64589,0.92665,0.68717,0.78642
1,2,2,2,1,0.8887,4.2156,1.2336,0.38533,0.41,0.2005,0.2065,0.48696,9.7562,10.282,0.89055,0.13334,0.88453,0.86881,0.90462,0.89602,0.16182
1,2,2,2,1,0.88934,4.2999,1.4648,0.44185,0.341,0.183,0.162,0.52874,11.73,12.61,0.88706,0.1293,0.87316,0.9047,0.87271,0.90194,0.14584
1,2,2,2,1,0.92008,4.3859,1.4974,0.46862,0.33,0.178,0.153,0.53529,12.121,13.291,0.92126,0.1505,0.88995,0.93937,0.91948,0.94172,0.12898
1,2,2,3,1,0.82859,3.4733,2.6042,0.69071,0.187,0.098,0.09,0.52083,13.901,18.574,0.83221,0.081001,0.84009,0.85029,0.81824,0.82779,0.10743
1,2,2,3,1,0.85629,3.2584,2.1307,0.57797,0.24,0.127,0.111,0.53358,10.831,13.576,0.89122,0.13049,0.86752,0.93606,0.86029,0.89419,0.20053
1,2,2,3,1,0.76166,3.4841,2.4957,0.66359,0.202,0.109,0.094,0.53695,12.869,17.248,0.71518,0.092589,0.70563,0.81266,0.87501,0.77494,0.16046
1,2,3,1,0.1015,0.85055,5.4727,0.59546,0.20659,0.86,0.288,0.56,0.34011,6.1883,6.3636,0.79557,0.28201,0.95564,0.75756,0.87431,0.74815,0.26927
1,2,3,1,0.16317,0.90042,5.4298,0.65104,0.2119,0.781,0.282,0.492,0.36329,6.8142,6.9524,0.8929,0.25708,0.97787,0.82966,0.93898,0.82529,0.42147
1,2,3,1,0.15736,0.86818,5.1291,0.60096,0.20843,0.826,0.3335,0.4975,0.4084,6.4431,6.2096,0.83806,0.26241,0.86985,0.76612,0.88713,0.82021,0.27256
1,2,3,2,1,0.87495,4.2792,1.4648,0.42845,0.3465,0.182,0.167,0.52886,11.544,12.35,0.85418,0.15692,0.87326,0.90722,0.81687,0.86195,0.19113
1,2,3,2,1,0.88612,4.2924,1.4648,0.42727,0.341,0.183,0.163,0.52078,11.73,12.588,0.89209,0.16165,0.89028,0.97079,0.8537,0.87483,0.20392
1,2,3,2,1,0.86835,4.107,1.6276,0.48808,0.306,0.166,0.143,0.53968,13.072,13.422,0.85341,0.12942,0.85382,0.91303,0.84628,0.83791,0.23976
1,2,3,3,1,0.78593,2.9128,2.4414,0.71401,0.203,0.104,0.105,0.50521,12.805,14.349,0.80127,0.12331,0.83943,0.85853,0.81196,0.79218,0.18336
1,2,3,3,1,0.77701,2.9085,3.6272,0.82449,0.144,0.075,0.074,0.48718,18.052,20.198,0.76357,0.21969,0.87121,0.81266,0.87501,0.76357,0.19211
1,2,3,3,1,0.83556,3.3977,3.0518,0.72753,0.165,0.087,0.085,0.52284,15.754,20.592,0.90907,0.1415,0.87121,0.90907,0.87501,0.78708,0
1,3,1,1,0.12929,0.87466,5.3567,0.44222,0.23887,1.089,0.451,0.623,0.42036,4.887,4.919,0.84217,0.26942,0.91903,0.788,0.91142,0.77352,0.56871
1,3,1,1,0.1031,0.85731,5.2678,0.47743,0.24477,1.045,0.425,0.62,0.41301,5.0928,5.0409,0.81608,0.26106,0.8917,0.7435,0.89771,0.76682,0.44876
1,3,1,1,0.076575,0.85423,5.7232,0.47789,0.24486,1.066,0.423,0.632,0.4,4.9924,5.3689,0.787,0.26521,0.88862,0.74143,0.88365,0.72455,1.0636
1,3,1,2,0.1318,0.8126,4.1519,0.57592,0.24439,0.833,0.3255,0.4885,0.40699,4.8019,4.9844,0.79029,0.2524,0.8837,0.71397,0.88013,0.77579,0.4723
1,3,1,2,0.19421,0.84302,4.2642,0.74678,0.25837,0.713,0.285,0.415,0.41074,5.6101,5.9807,0.82904,0.21604,0.906,0.81298,0.86768,0.77795,0.47165
1,3,1,2,0.16067,0.85999,4.3678,0.73982,0.2686,0.707,0.277,0.431,0.38804,5.6577,6.178,0.84888,0.20551,0.90842,0.81444,0.91766,0.78824,0.29186
1,3,1,3,0.76625,0.7873,3.4518,0.97656,0.2856,0.507,0.212,0.315,0.41667,5.1271,6.8083,0.78242,0.16777,0.81335,0.73756,0.8639,0.75459,0.25122
