grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,2,1,1,0.63605,1.326,0.462,0.8635,0.35282,4.0135,-1.8246,0.13983,0.39062,0.53998,0.49837,0.7736,0.53779,0.78883,0.48444,3.1416
1,2,1,1,0.63113,1.365,0.4535,0.921,0.33009,3.899,-1.7853,0.087409,0.36439,0.59055,0.41348,0.71082,0.53208,0.75794,0.569,3.1098
1,2,1,1,0.69618,1.246,0.409,0.849,0.32899,4.2712,-2.0057,0.086737,0.39438,0.59621,0.41209,0.84371,0.52366,0.78925,0.57575,2.2124
1,2,1,2,0.85502,0.443,0.199,0.2405,0.44773,5.8683,-5.5071,1,1.0696,0.87173,0.14683,0.87647,0.78631,0.88963,0.8622,1.0938
1,2,1,2,0.84891,0.3545,0.179,0.1785,0.49719,7.3328,-6.9387,1,1.4361,0.84446,0.11889,0.84586,0.86357,0.82117,0.83638,0.96617
1,2,1,2,0.88395,0.3325,0.1705,0.1665,0.50781,7.8181,-7.1546,1,1.5259,0.86292,0.14133,0.88033,0.90233,0.81771,0.83771,0.92054
1,2,2,1,0.79001,0.7905,0.223,0.583,0.27991,6.7324,-3.2203,0.050915,0.64248,0.57126,0.4566,0.93369,0.57471,0.87019,0.5581,3.1416
1,2,2,1,0.76104,0.7145,0.183,0.5235,0.2659,7.4485,-3.5527,0.056589,0.71023,0.61853,0.33649,0.92536,0.58735,0.81439,0.60168,1.5316
1,2,2,1,0.53548,0.6935,0.1915,0.506,0.28264,7.674,-3.68,0.060543,0.71806,0.58242,0.5539,0.70852,0.54725,0.64058,0.55983,1.6834
1,2,2,2,0.78971,0.173,0.092,0.085,0.51481,15.026,-13.699,1,2.9297,0.80213,0.23868,0.86873,0.78435,0.86796,0.7566,1.5176
1,2,2,2,0.869,0.2055,0.1055,0.098,0.51405,12.65,-11.631,1,2.4414,0.80811,0.0843,0.86873,0.88952,0.79311,0.80895,0.383
1,2,2,2,0.79913,0.174,0.0895,0.085,0.5141,14.939,-14.067,1,2.8076,0.80213,0.23868,0.86873,0.78435,0.86796,0.7566,1.5176
1,2,3,1,0.67684,0.8295,0.224,0.592,0.261,6.4158,-3.0788,0.051094,0.56152,0.58708,0.4205,0.93738,0.55515,0.80644,0.57266,1.5708
1,2,3,1,0.79328,0.749,0.228,0.5235,0.30033,7.1054,-3.3017,0.037758,0.65104,0.66106,0.30552,0.91604,0.58734,0.88969,0.64689,2.1706
1,2,3,1,0.82754,0.71,0.197,0.505,0.28046,7.4957,-3.4789,0.03294,0.71023,0.64776,0.36142,0.92907,0.61419,0.91506,0.65211,3.1416
1,2,3,2,0.80305,0.1895,0.1005,0.101,0.5194,13.718,-12.971,1,2.6367,0.77994,0.090269,0.79869,0.78435,0.86796,0.71914,0
1,2,3,2,0.82328,0.159,0.083,0.0775,0.51726,16.349,-14.687,1,3.2959,0.81378,0.1678,0.81378,0.78435,0.86796,0.7566,0
1,2,3,2,0.83251,0.1805,0.0955,0.0915,0.5292,14.402,-13.609,1,2.6042,0.77536,0.035225,0.86873,0.78435,0.77536,0.7566,0.10472
1,3,1,1,0.84674,1.287,0.4675,0.816,0.37589,4.1352,-1.9238,0.065868,0.3756,0.77366,0.32923,0.91881,0.72966,0.89178,0.68214,3.1416
1,3,1,1,0.88008,1.07,0.434,0.6145,0.41287,4.9738,-2.3313,0.059188,0.47871,0.83521,0.27789,0.88267,0.80797,0.91486,0.76142,3.1416
1,3,1,1,0.82693,1.308,0.478,0.822,0.36761,4.0697,-1.9171,0.086222,0.38297,0.77265,0.30575,0.92256,0.74293,0.90478,0.67403,2.1084
1,3,1,2,0.82847,0.5715,0.221,0.3475,0.38946,4.5487,-4.2763,1,0.86806,0.79914,0.20766,0.84419,0.7994,0.87506,0.7367,1.1856
1,3,1,2,0.85282,0.389,0.177,0.214,0.45455,6.6824,-6.091,1,1.3021,0.82032,0.15286,0.7627,0.85168,0.84663,0.75226,0.82412
1,3,1,2,0.90603,0.3605,0.1645,0.1945,0.47034,7.2107,-6.6326,1,1.3787,0.87612,0.16245,0.88436,0.93279,0.88475,0.77332,0.92605
1,3,2,1,0.75112,0.992,0.417,0.571,0.43275,5.3648,-2.4618,0.1233,0.49867,0.73239,0.26132,0.79339,0.68507,0.82675,0.72799,3.1416
1,3,2,1,0.8422,1.0015,0.3765,0.61,0.38157,5.314,-2.5438,0.1084,0.48828,0.81875,0.25611,0.86489,0.72923,0.93045,0.78965,1.378
1,3,2,1,0.8627,0.972,0.358,0.6115,0.38155,5.4752,-2.5756,0.063137,0.52235,0.84621,0.24458,0.88099,0.77095,0.94355,0.78175,1.5708
1,3,2,2,0.89696,0.3475,0.171,0.1785,0.4795,7.4805,-6.7416,1,1.4936,0.86084,0.17006,0.85627,0.86588,0.90638,0.84089,1.0011
1,3,2,2,0.90615,0.3295,0.1585,0.1655,0.49209,7.8893,-7.2898,1,1.5625,0.88099,0.13491,0.8379,0.94569,0.91595,0.81525,0.70653
1,3,2,2,0.91927,0.333,0.165,0.168,0.49102,7.8062,-7.0535,1,1.4974,0.90199,0.17782,0.87096,0.97165,0.93801,0.79968,0.74067
1,3,3,1,0.85677,1.0055,0.442,0.563,0.43812,5.2929,-2.4546,0.14475,0.49825,0.83332,0.21027,0.86088,0.7856,0.90419,0.78713,3.1172
1,3,3,1,0.78016,1.0915,0.4755,0.582,0.44952,4.8758,-2.2585,0.15582,0.47871,0.78999,0.22082,0.79841,0.75879,0.8531,0.74809,3.1416
1,3,3,1,0.87638,1.097,0.5045,0.607,0.4483,4.8514,-2.1952,0.1514,0.45211,0.83686,0.21589,0.86915,0.82447,0.90125,0.75708,3.1416
1,3,3,2,0.88612,0.294,0.1485,0.153,0.49465,8.8417,-8.3181,1,1.7439,0.85579,0.1506,0.84913,0.88944,0.89532,0.85585,0.98839
1,3,3,2,0.80104,0.265,0.138,0.1305,0.52298,9.8094,-9.2406,1,1.8029,0.81107,0.12782,0.8268,0.83253,0.81415,0.7756,0.79779
1,3,3,2,0.88415,0.263,0.133,0.133,0.50169,9.8839,-9.1872,1,1.9531,0.87375,0.10737,0.86776,0.89746,0.89278,0.86833,0.50266
1,6,1,1,0.85945,1.277,0.4855,0.8145,0.36774,4.1675,-1.9993,0.10341,0.36058,0.82786,0.27577,0.92137,0.77122,0.92614,0.76605,2.3518
1,6,1,1,0.73681,1.332,0.502,0.853,0.37435,3.9954,-1.9016,0.1075,0.36058,0.75778,0.33632,0.85298,0.69907,0.84446,0.70321,1.8001
1,6,1,1,0.74581,1.293,0.4845,0.7745,0.38114,4.116,-1.9901,0.11518,0.36227,0.78023,0.28489,0.83771,0.70465,0.83828,0.7392,3.1416
1,6,1,2,0.7243,0.9145,0.3835,0.54,0.41408,2.8425,-2.6,0.21307,0.561,0.74544,0.23336,0.8599,0.69488,0.71975,0.77424,1.9009
1,6,1,2,0.76356,0.745,0.2995,0.442,0.41363,3.4895,-3.3073,0.28219,0.67817,0.78131,0.18048,0.85012,0.77172,0.77488,0.7427,1.2028
1,6,1,2,0.89965,0.679,0.29,0.389,0.4242,3.8284,-3.6613,1,0.73242,0.87008,0.16958,0.93927,0.86584,0.86754,0.82748,1.1587
1,6,2,1,0.83987,1.258,0.461,0.7975,0.36356,4.2305,-2.0186,0.091794,0.40303,0.78691,0.3028,0.90805,0.72668,0.91888,0.74446,3.1416
1,6,2,1,0.83857,1.175,0.4555,0.707,0.38319,4.5293,-2.1932,0.095963,0.42969,0.81274,0.30489,0.92856,0.77585,0.91982,0.75528,2.8452
1,6,2,1,0.85811,1.123,0.4285,0.703,0.38327,4.739,-2.2907,0.088539,0.43846,0.81625,0.28326,0.91424,0.77369,0.9127,0.75993,2.4297
1,6,2,2,0.84467,0.604,0.291,0.315,0.4791,4.3038,-4.1792,1,0.80819,0.8452,0.16067,0.85046,0.84573,0.84753,0.83298,1.3168
1,6,2,2,0.81803,0.573,0.272,0.305,0.47643,4.5366,-4.3717,1,0.86806,0.82506,0.1704,0.83218,0.82516,0.85052,0.78592,1.1135
1,6,2,2,0.84683,0.566,0.267,0.306,0.46542,4.5927,-4.2975,1,0.86806,0.84719,0.17681,0.84403,0.87927,0.85331,0.76355,1.1396
1,6,3,1,0.878,1.0935,0.424,0.6805,0.37994,4.8669,-2.3565,0.066933,0.46064,0.84615,0.31591,0.93537,0.75693,0.92736,0.8124,2.0387
1,6,3,1,0.86367,1.078,0.4175,0.667,0.38266,4.9369,-2.3941,0.059837,0.4695,0.83956,0.31123,0.92055,0.76506,0.90933,0.79678,3.1416
1,6,3,1,0.87579,1.076,0.431,0.634,0.40404,4.946,-2.3888,0.070842,0.45711,0.84316,0.29003,0.92408,0.81008,0.89927,0.77861,1.5708
1,6,3,2,0.87009,0.594,0.282,0.315,0.47276,4.3762,-4.2004,1,0.83705,0.86328,0.16788,0.87969,0.86725,0.86957,0.83829,1.2867
1,6,3,2,0.87858,0.572,0.262,0.304,0.46043,4.5445,-4.4161,1,0.86806,0.87598,0.21277,0.88922,0.85026,0.87964,0.8766,1.2801
