grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,2,1,1,0.83088,1.176,0.328,0.8315,0.28268,4.5255,-2.1488,0.040403,0.42832,0.62103,0.46164,0.93516,0.58396,0.92889,0.60109,1.8854
1,2,1,1,0.71989,1.058,0.325,0.7315,0.31466,5.0302,-2.3754,0.049156,0.47871,0.65298,0.41684,0.78827,0.56804,0.84673,0.59985,1.5708
1,2,1,1,0.87292,0.9975,0.3075,0.6795,0.308,5.3353,-2.4936,0.041182,0.50863,0.71089,0.38029,0.94507,0.64359,0.93167,0.65593,1.8899
1,2,1,2,0.73127,0.6865,0.287,0.4125,0.41116,5.8267,-3.5822,1,0.73242,0.76009,0.20334,0.79823,0.72398,0.81224,0.73613,3.1416
1,2,1,2,0.77435,0.6185,0.264,0.34,0.44274,6.4675,-3.9284,0.35026,0.8138,0.77805,0.19683,0.82569,0.7588,0.80083,0.76678,1.2595
1,2,1,2,0.89805,0.592,0.235,0.356,0.40167,6.7568,-4.1787,0.4013,0.83705,0.85298,0.21508,0.87832,0.80825,0.94738,0.82875,1.3292
1,2,1,3,0.90139,0.3385,0.169,0.167,0.49161,7.6794,-7.2586,1,1.4936,0.89759,0.094275,0.93043,0.87123,0.84249,0.90206,1.1189
1,2,1,3,0.88782,0.3075,0.156,0.1555,0.49753,8.4536,-7.9314,1,1.6044,0.87469,0.10992,0.8944,0.8756,0.85841,0.87403,0.78387
1,2,1,3,0.89567,0.2925,0.1485,0.145,0.50688,8.8871,-7.778,1,1.6741,0.84882,0.12066,0.86148,0.87968,0.81293,0.84883,0.77943
1,2,2,1,0.77623,0.9605,0.224,0.7445,0.23556,5.5408,-2.6501,0.033746,0.51945,0.63584,0.42196,0.91731,0.58359,0.86558,0.56044,2.2103
1,2,2,1,0.72535,0.862,0.221,0.645,0.25304,6.1739,-2.9763,0.031888,0.56538,0.61856,0.35617,0.91453,0.60468,0.81375,0.59665,2.9732
1,2,2,1,0.82491,0.7355,0.222,0.5175,0.30204,7.2359,-3.4223,0.034143,0.66964,0.71983,0.3384,0.90217,0.64589,0.92665,0.68717,1.7856
1,2,2,2,0.9107,0.411,0.201,0.207,0.48635,9.7324,-6.0709,1,1.2336,0.89055,0.13334,0.88453,0.86881,0.90462,0.89602,1.1524
1,2,2,2,0.89818,0.3415,0.183,0.162,0.52857,11.713,-7.3052,1,1.4648,0.88706,0.1293,0.87316,0.9047,0.87271,0.90194,0.79587
1,2,2,2,0.94557,0.33,0.178,0.153,0.53509,12.121,-7.6924,1,1.4974,0.92126,0.1505,0.88995,0.93937,0.91948,0.94172,0.99038
1,2,2,3,0.84059,0.1875,0.0985,0.091,0.52178,13.864,-12.709,1,2.6042,0.83221,0.081001,0.84009,0.85029,0.81824,0.82779,0.50305
1,2,2,3,0.93286,0.24,0.127,0.1115,0.53259,10.831,-9.8082,1,2.1307,0.89122,0.13049,0.86752,0.93606,0.86029,0.89419,0.68503
1,2,2,3,0.69479,0.203,0.109,0.094,0.53867,12.806,-11.79,1,2.4957,0.71518,0.092589,0.70563,0.81266,0.87501,0.77494,0.16046
1,2,3,1,0.83399,0.8585,0.2865,0.5545,0.33607,6.1991,-3.015,0.1015,0.59546,0.79557,0.28201,0.95564,0.75756,0.87431,0.74815,3.1416
1,2,3,1,0.90282,0.7805,0.281,0.493,0.36214,6.8186,-3.3188,0.16317,0.65104,0.8929,0.25708,0.97787,0.82966,0.93898,0.82529,1.4045
1,2,3,1,0.82497,0.823,0.336,0.494,0.4085,6.4665,-3.1464,0.15736,0.60096,0.83806,0.26241,0.86985,0.76612,0.88713,0.82021,1.4245
1,2,3,2,0.82996,0.347,0.182,0.167,0.52698,11.527,-7.3348,1,1.4648,0.85418,0.15692,0.87326,0.90722,0.81687,0.86195,1.0971
1,2,3,2,0.87493,0.342,0.1835,0.1625,0.52215,11.696,-7.3875,1,1.4648,0.89209,0.16165,0.89028,0.97079,0.8537,0.87483,1.0896
1,2,3,2,0.83938,0.3055,0.1655,0.143,0.53976,13.093,-8.3022,1,1.6276,0.85341,0.12942,0.85382,0.91303,0.84628,0.83791,0.85138
1,2,3,3,0.83718,0.203,0.104,0.1045,0.50736,12.805,-11.441,1,2.4414,0.80127,0.12331,0.83943,0.85853,0.81196,0.79218,0.54799
1,2,3,3,0.82969,0.144,0.0755,0.0745,0.50008,18.052,-15.78,1,3.6272,0.76357,0.21969,0.87121,0.81266,0.87501,0.76357,0.19211
1,2,3,3,0.89879,0.1655,0.087,0.085,0.52296,15.707,-14.1,1,3.0518,0.90907,0.1415,0.87121,0.90907,0.87501,0.78708,0
