grp , pp , S , IDR , IDL , accTimeL , accQR , rho , Rf , IPerfEfL , q1R , peakVelL , decTimeR , circularityR , circularityL , q1L , q2L , Lf , flsAmp , decTimeL , q4R , phDiffStd , q3L , accQL , IPerfL , q3R , MTR , IPerfEfR , IPerfR , MTL , q2R , phDiffMean , flsPC , accTimeR , peakVelR , q4L
1,2,1,1,1,0.49992,1.3349,1,0.28853,22.861,1.0204,0.15247,0.51875,0.8445,0.8445,1.0204,0.44707,0.28853,0.035605,0.50434,0.57558,0.0025377,0.92237,1.211,22.661,0.92237,1.5562,8.3698,7.7699,1.0488,0.44707,-0.040512,0.17572,0.48271,0.19361,0.57558
1,2,1,1,1,0.52001,1.2704,1,0.29721,10.319,1.1085,0.15885,0.50454,0.83292,0.83292,1.1085,0.43202,0.29721,0.035096,0.48188,0.47158,0.012598,1.0032,1.1064,10.088,1.0032,1.604,8.5537,8.149,1.4587,0.43202,-0.075331,0.17578,0.497,0.19972,0.47158
1,2,1,1,1,0.4995,1.4335,1,0.26808,13.183,1.0374,0.14482,0.5167,0.85793,0.85793,1.0374,0.55333,0.26808,0.022438,0.50285,0.5027,0.0053631,0.95215,1.2194,12.487,0.95215,1.5811,9.4411,9.0388,1.4295,0.55333,-0.086777,0.17459,0.485,0.15413,0.5027
1,2,1,1,1,0.49992,1.3349,1,0.28853,22.861,1.0204,0.15247,0.51875,0.8445,0.8445,1.0204,0.44707,0.28853,0.035605,0.50434,0.57558,0.0025377,0.92237,1.211,22.661,0.92237,1.5562,8.3698,7.7699,1.0488,0.44707,-0.040512,0.17572,0.48271,0.19361,0.57558
1,2,1,1,1,0.52001,1.2704,1,0.29721,10.319,1.1085,0.15885,0.50454,0.83292,0.83292,1.1085,0.43202,0.29721,0.035096,0.48188,0.47158,0.012598,1.0032,1.1064,10.088,1.0032,1.604,8.5537,8.149,1.4587,0.43202,-0.075331,0.17578,0.497,0.19972,0.47158
1,2,1,1,1,0.4995,1.4335,1,0.26808,13.183,1.0374,0.14482,0.5167,0.85793,0.85793,1.0374,0.55333,0.26808,0.022438,0.50285,0.5027,0.0053631,0.95215,1.2194,12.487,0.95215,1.5811,9.4411,9.0388,1.4295,0.55333,-0.086777,0.17459,0.485,0.15413,0.5027
1,2,1,1,2,0.50761,1.3071,1,0.29963,4.8517,0.97103,0.19004,0.50372,0.84013,0.84013,0.97103,0.51188,0.29963,0.032542,0.4937,0.46082,0.0048338,0.91561,1.4395,3.3991,0.91561,1.3232,14.326,13.536,1.5498,0.51188,0.010769,0.17007,0.49882,0.14741,0.46082
1,2,1,1,2,0.50051,1.3197,1,0.38471,3.7529,1.0275,0.21214,0.49158,0.88463,0.88463,1.0275,0.49552,0.38471,0.039178,0.50052,0.46631,0.011349,0.90299,1.4233,2.6934,0.90299,1.1206,10.406,10.578,1.3435,0.49552,-0.045601,0.17556,0.51041,0.17007,0.46631
1,2,1,1,2,0.52024,1.4261,0.96429,0.38512,5.9499,0.99136,0.18826,0.48894,0.78978,0.78978,0.99136,0.438,0.37137,0.029356,0.48146,0.48668,0.95377,0.99921,1.2397,4.4238,0.99921,1.171,8.8794,8.9177,1.1356,0.438,-2.1186,0.14792,0.51273,0.18638,0.48668
1,2,1,1,2,0.50761,1.3071,1,0.29963,4.8517,0.97103,0.19004,0.50372,0.84013,0.84013,0.97103,0.51188,0.29963,0.032542,0.4937,0.46082,0.0048338,0.91561,1.4395,3.3991,0.91561,1.3232,14.326,13.536,1.5498,0.51188,0.010769,0.17007,0.49882,0.14741,0.46082
