grp , pp , S , IDR , IDL , decTimeL , MTL , peakVelR , maxangleR , rho , circularityR , accQL , accTimeR , q4L , Rf , q2L , IPerfEfL , q3L , accQR , q2R , flsAmp , peakVelL , phDiffStd , MTR , decTimeR , IPerfR , IPerfL , circularityL , phDiffMean , IPerfEfR , q3R , maxangleL , flsPC , q1L , accTimeL , q4R , q1R , Lf
2,1,1,1,1,0.43239,2.255,0.14728,0.15673,1,0.65511,0.94114,0.49666,0.60193,0.23129,0.55929,3.3503,0.87259,1.2399,0.57375,0.08585,0.1555,0.0035084,1.8253,0.50496,8.6087,3.3109,0.71305,0.087848,6.9837,0.71732,0.17474,0.17558,0.91895,0.56823,0.63111,0.70175,0.23129
2,1,1,1,1,0.47952,2.1199,0.12774,0.21679,1,0.60105,1.0912,0.51378,0.64208,0.20812,0.66798,3.922,0.77024,1.0993,0.57209,0.086755,0.13502,0.0019922,1.6173,0.48831,11.124,4.9264,0.49836,0.15071,12.052,0.85396,0.26537,0.17213,0.76408,0.5214,0.60975,0.72797,0.20812
2,1,1,1,1,0.4672,2.5888,0.13551,0.24281,1,0.68859,1.0329,0.51428,0.59105,0.19531,0.60121,2.2719,0.84334,1.1181,0.55083,0.089631,0.13182,0.0061288,2.1409,0.48705,7.0513,2.0778,0.69325,0.19491,7.7075,0.89279,0.21931,0.1673,0.8119,0.53319,0.56831,0.68531,0.19531
2,1,1,1,2,0.47715,1.2289,0.22094,0.29286,1,0.60794,1.3277,0.50062,0.72555,0.41853,0.61957,3.1753,0.81959,1.3469,0.57094,0.14386,0.19851,0.0035424,1.1799,0.50077,7.3713,2.1525,0.81079,0.051409,7.6614,0.83533,0.33039,0.17302,0.86452,0.52368,0.59731,0.70037,0.41853
2,1,1,1,2,0.46979,1.3118,0.19533,0.20262,1,0.67765,1.2431,0.49723,0.64642,0.36621,0.55264,3.6161,0.84063,1.3362,0.51313,0.12861,0.16173,0.0048337,1.3597,0.50352,4.0204,2.7304,0.69238,0.059857,4.3452,0.74965,0.20059,0.1744,0.85168,0.53126,0.66104,0.7999,0.36621
2,1,1,1,2,0.47202,1.3791,0.18025,0.24407,1,0.62961,1.2599,0.50137,0.62616,0.39062,0.71212,2.4556,0.80791,1.3332,0.48676,0.16036,0.17225,0.0046132,1.2708,0.50023,8.493,2.0209,0.68027,0.045618,9.1487,0.81561,0.35367,0.15714,0.91669,0.52876,0.55197,0.89602,0.39062
2,1,1,2,1,0.47275,1.6231,0.15332,0.27068,1,0.85049,1.165,0.50295,0.58723,0.28529,0.59073,5.3079,0.75941,1.3975,0.61562,0.088755,0.15709,0.0019963,1.5362,0.49854,5.9734,5.5955,0.61007,0.027341,6.0307,0.85038,0.15315,0.17642,0.74956,0.5283,0.65564,0.91524,0.28529
2,1,1,2,1,0.45936,1.6455,0.14903,0.32128,1,0.67855,1.3143,0.52425,0.60697,0.32106,0.62578,3.3257,0.78329,1.3057,0.55123,0.10217,0.1591,0.0018703,1.3999,0.47732,6.282,3.3092,0.72019,0.10098,6.9633,0.88903,0.45265,0.17676,0.88934,0.54126,0.58503,0.89346,0.32106
2,1,1,2,1,0.45292,1.6006,0.1691,0.40702,1,0.78574,1.1483,0.52008,0.54058,0.29839,0.60216,7.1404,0.79755,1.2185,0.62886,0.09853,0.16367,0.0019434,1.515,0.48113,4.862,6.8661,0.59435,0.094998,5.1156,0.94108,0.43953,0.17673,0.8299,0.54837,0.63297,0.77584,0.29839
2,1,1,2,2,0.47523,1.0222,0.19129,0.17547,1,0.74589,1.183,0.49097,0.5879,0.45072,0.63724,4.2312,0.85552,1.4087,0.56386,0.14539,0.16549,0.0062513,1.0196,0.51056,6.0907,3.1297,0.64835,0.034704,7.2512,0.81914,0.19534,0.17475,0.84288,0.52598,0.67158,0.85387,0.45072
2,1,1,2,2,0.50955,0.80418,0.2383,0.29041,1,0.79967,1.2876,0.50726,0.70584,0.63477,0.7373,4.7235,0.86265,1.2474,0.6379,0.1665,0.20765,0.0047165,0.78942,0.49508,9.3666,3.2521,0.85632,0.13366,9.5456,0.82073,0.31661,0.1758,1.004,0.4917,0.6653,0.90638,0.63477
2,1,1,2,2,0.49958,0.86853,0.20728,0.24327,1,0.81565,1.2843,0.49611,0.69197,0.59048,0.79805,3.646,0.83788,1.2034,0.6705,0.16985,0.1855,0.0084737,0.8685,0.50506,4.6654,3.0176,0.83003,0.083538,4.7902,0.81084,0.36867,0.17167,1.0284,0.50158,0.70346,0.86279,0.59048
2,1,1,3,1,0.47347,1.3892,0.14979,0.2696,1,0.68175,1.1862,0.51452,0.54197,0.35652,0.62956,5.5694,1.0006,1.2075,0.60978,0.099605,0.18655,0.0042272,1.1877,0.48738,4.9254,5.6468,0.68376,0.059828,6.7296,0.90351,0.20308,0.17481,0.92528,0.5276,0.60198,0.78918,0.35652
2,1,1,3,1,0.48494,1.1638,0.15117,0.25583,1,0.65025,1.245,0.51663,0.59729,0.36058,0.69168,11.07,0.83168,1.2565,0.69798,0.09604,0.15099,0.0025892,1.1642,0.48568,6.0064,12.463,0.68412,0.10715,9.559,0.80172,0.32294,0.1733,0.72887,0.5174,0.6251,0.828,0.36058
2,1,1,3,1,0.46207,1.4477,0.15668,0.35772,1,0.63176,1.257,0.51298,0.57458,0.3418,0.65116,3.8149,0.90315,1.3784,0.65087,0.098374,0.17185,0.0029041,1.3246,0.48836,3.4937,3.7148,0.64447,0.10656,5.0491,0.87904,0.31193,0.17547,0.74699,0.53863,0.48412,0.73849,0.3418
2,1,1,3,2,0.47578,0.43215,0.32944,0.29281,1,0.85248,0.96108,0.48253,0.81777,1.1822,0.83444,7.4706,0.90927,1.0955,0.8487,0.17146,0.32869,0.0069932,0.43111,0.5198,6.0492,6.0318,0.87853,0.36919,8.7029,0.85808,0.25432,0.17619,0.88892,0.52654,0.78105,0.95452,1.1822
2,1,1,3,2,0.54601,0.51594,0.28743,0.23412,1,0.81658,1.2708,0.46445,0.87261,0.97656,0.82512,6.3,0.8395,1.1908,0.80459,0.17649,0.28148,0.0067427,0.51521,0.53751,5.0978,5.0735,0.85702,0.18089,6.8155,0.79865,0.2442,0.17623,0.93101,0.45594,0.83514,0.95517,0.97656
2,1,1,3,2,0.5517,0.42368,0.36002,0.12533,1,0.87181,1.2903,0.43038,0.95258,1.3363,0.80979,7.4781,0.79904,1.3759,0.8031,0.17507,0.34266,0.0056162,0.42319,0.57206,6.3378,6.3185,0.87154,0.18653,7.0785,0.80478,0.10555,0.17401,0.90096,0.45073,0.95581,0.89385,1.3363
2,1,4,1,1,0.47664,1.8268,0.14705,0.18352,1,0.59455,1.1888,0.52826,0.63347,0.23542,0.61176,8.3512,0.6907,1.1236,0.61082,0.08773,0.15029,0.0012266,1.6228,0.47356,9.6873,8.2747,0.56984,0.04953,11.387,0.79235,0.21171,0.17549,0.75911,0.52492,0.6236,0.77295,0.23542
