grp , pp , S , ID , UIPerfEfL , Uq1L , UpeakVelL , Uq3L , Uq2L , Uq4L , UaccQL , UcircularityL , UIPerfL , UaccTimeL , UdecTimeL , UMTL , UmaxangleL
2,1,1,1,4.3456,0.83469,0.18804,0.8789,0.54197,0.53416,1.4099,0.599,4.4721,0.48996,0.51088,1.2149,0.19663
2,1,1,1,4.8074,0.75065,0.20697,0.73222,0.57129,0.61092,1.3458,0.78861,5.0747,0.50128,0.49967,1.0586,0.23453
2,1,1,1,5.9041,0.98613,0.17485,0.86022,0.68533,0.59696,1.2273,0.78529,6.4228,0.51959,0.48162,1.1017,0.33573
2,1,1,2,8.8069,0.88982,0.40817,0.87633,0.87268,0.8893,0.95323,0.87572,7.4157,0.52304,0.47981,0.35276,0.13742
2,1,1,2,8.6139,0.89163,0.43205,0.90259,0.88066,0.88252,0.94174,0.85836,7.4809,0.52587,0.47701,0.3498,0.16457
2,1,1,2,8.5389,0.89873,0.42944,0.88686,0.88373,0.87367,0.87834,0.87648,7.8082,0.54151,0.46149,0.33391,0.22933
2,1,4,1,4.5543,0.9504,0.16381,0.92428,0.65519,0.67088,1.3205,0.81056,4.3702,0.51293,0.48789,1.2235,0.48882
2,1,4,1,4.7492,0.89636,0.17438,0.87448,0.63947,0.58963,1.2817,0.76222,4.5311,0.51589,0.48497,1.186,0.33841
2,1,4,1,4.603,0.87106,0.16746,0.84775,0.59983,0.60327,1.2766,0.75607,4.5289,0.51276,0.48809,1.1821,0.48782
2,1,4,2,15.485,0.90681,0.73404,0.81715,0.88046,0.88027,0.7568,0.85491,13.742,0.5745,0.43079,0.18986,0.18013
2,1,4,2,18.223,0.86121,0.72123,0.87166,0.95237,0.92644,0.80834,0.94037,15.124,0.56188,0.44394,0.17229,0.14892
2,1,4,2,13.868,0.83043,0.55537,0.91294,0.937,0.86099,0.83825,0.86984,11.763,0.54936,0.45516,0.22181,0.16611
2,1,7,1,4.847,0.81486,0.15726,0.8482,0.63409,0.65197,1.2558,0.81019,4.3491,0.51794,0.48288,1.2308,0.41423
2,1,7,1,5.0063,0.69898,0.19022,0.77295,0.63816,0.55171,1.2034,0.76749,4.8519,0.51048,0.49043,1.1106,0.37233
2,1,7,1,4.7636,0.888,0.17093,0.92583,0.61004,0.64548,1.1169,0.79092,4.8801,0.51506,0.48586,1.0978,0.52256
2,1,7,2,12.477,0.92889,0.44199,1.0311,0.8719,0.88305,0.818,0.88896,8.6162,0.5547,0.44862,0.302,0.21393
2,1,7,2,14.279,0.86204,0.58698,0.91538,0.95591,0.89678,0.79279,0.90711,11.218,0.56143,0.44289,0.23276,0.1967
2,1,7,2,12.517,0.87538,0.55412,0.86906,0.8636,0.86919,0.77277,0.86844,10.727,0.56816,0.43597,0.24505,0.17926
1,2,1,1,9.3535,0.79566,0.20873,0.87236,0.40329,0.58951,1.2498,0.82548,9.4556,0.48917,0.51261,1.2283,0.15291
1,2,1,1,7.708,0.89876,0.20458,0.90593,0.5062,0.64361,1.2289,0.69171,7.3683,0.50841,0.49298,1.3296,0.21847
1,2,1,1,9.1921,0.83844,0.24008,0.69593,0.48613,0.58238,1.2645,0.58337,8.7605,0.50092,0.50073,1.1433,0.1411
1,2,1,2,7.4649,0.82693,0.31495,0.80779,0.73625,0.78424,1.0328,0.73058,5.6806,0.50016,0.50203,0.47866,0.10833
1,2,1,2,9.7823,0.77612,0.39262,0.83609,0.86786,0.82521,0.94078,0.83284,7.1899,0.51935,0.48342,0.3652,0.13208
1,2,1,2,10.179,0.81011,0.4054,0.8691,0.84873,0.89663,0.95905,0.86259,7.7884,0.51411,0.48888,0.33445,0.16086
1,2,4,1,14.338,0.94928,0.33498,0.98351,0.41282,0.52276,1.3939,0.78,13.757,0.52475,0.47784,0.74188,0.16172
1,2,4,1,9.3733,0.85022,0.32426,0.87525,0.44854,0.56752,1.451,0.71779,9.9424,0.52423,0.47764,0.69356,0.1587
1,2,4,1,7.3121,0.84804,0.31413,0.8847,0.50981,0.50111,1.2475,0.88834,7.6114,0.53877,0.46266,0.70328,0.16696
1,2,4,2,13.563,0.92097,0.83558,0.87683,0.84129,0.95736,0.89203,0.90267,14.953,0.53499,0.47076,0.17722,0.15303
1,2,4,2,16.37,0.82793,0.73022,0.82144,0.82222,0.82499,0.98092,0.82144,12.185,0.51034,0.49435,0.23015,0.14353
1,2,4,2,18.575,0.88719,0.79457,0.80077,0.86212,0.87852,0.94362,0.84882,14.181,0.52125,0.48421,0.24302,0.098767
1,2,7,1,8.1989,0.92549,0.27929,0.80939,0.47463,0.56271,1.6609,0.89334,8.1069,0.49091,0.51061,0.79893,0.1212
1,2,7,1,7.4901,0.91312,0.39512,0.86851,0.53842,0.54256,1.3407,0.73771,7.1376,0.51919,0.48215,0.74891,0.19872
1,2,7,1,14.03,0.94613,0.38168,0.93676,0.48825,0.5729,1.5474,0.73956,14.13,0.49716,0.50549,0.66788,0.17356
1,2,7,2,16.609,0.76557,0.65818,0.86157,0.93496,0.84412,0.84667,0.86027,13.921,0.55291,0.45245,0.22921,0.12005
1,2,7,2,19.753,0.82134,0.65154,0.76781,0.83732,0.88185,0.95257,0.87488,15.236,0.52074,0.48512,0.2339,0.12397
1,2,7,2,14.686,0.80301,0.79257,0.82604,0.79819,0.90623,0.87504,0.84811,13.521,0.54074,0.46446,0.20831,0.10488
1,3,1,1,6.1404,0.67565,0.19745,0.73051,0.55997,0.47769,1.1507,0.7143,6.0755,0.50294,0.4982,1.2528,0.2202
1,3,1,1,9.3144,0.45611,0.23017,0.7217,0.57901,0.54168,1.0204,0.65393,9.8946,0.51566,0.4862,0.95214,0.35701
1,3,1,1,10.234,0.61237,0.19396,0.70931,0.58711,0.6091,1.0651,0.64274,9.4741,0.52176,0.48002,1.2057,0.28836
1,3,1,2,5.8831,0.94429,0.27,0.96239,0.76391,0.79291,1.0311,0.82226,4.6349,0.51857,0.48321,0.57292,0.17305
1,3,1,2,8.0443,0.80428,0.34052,0.95624,0.87302,0.82832,0.77858,0.8717,6.7381,0.57042,0.43218,0.38792,0.19466
1,3,1,2,9.5188,0.87975,0.37168,0.90611,0.88433,0.86439,0.88777,0.89616,7.1981,0.53624,0.46653,0.36278,0.21593
1,3,4,1,21.001,0.62041,0.19927,0.55451,0.52818,0.56218,1.1077,0.58778,22.428,0.49438,0.50983,0.72603,0.2846
1,3,4,1,10.318,0.66242,0.20986,0.69832,0.6242,0.58845,1.1608,0.67315,10.2,0.49562,0.5063,0.9156,0.34627
1,3,4,1,9.0679,0.74504,0.20317,0.77033,0.67455,0.59495,1.114,0.70315,9.8419,0.50749,0.49436,0.88802,0.36877
1,3,4,2,9.1749,0.84088,0.39112,0.93073,0.91277,0.83865,0.87329,0.86864,7.289,0.53959,0.46322,0.36104,0.19378
1,3,4,2,10.364,0.86854,0.40707,0.90687,0.90559,0.85463,0.80348,0.86408,8.0096,0.55793,0.44516,0.32557,0.23059
1,3,4,2,8.984,0.83772,0.38578,0.89189,0.88851,0.84352,0.83718,0.86988,7.8055,0.54888,0.45412,0.33431,0.20585
1,3,7,1,17.889,0.52597,0.20218,0.70739,0.66147,0.55289,1.0303,0.65474,19.799,0.50804,0.49568,0.72032,0.39013
1,3,7,1,30.348,0.69994,0.14475,0.65539,0.65256,0.59845,1.0167,0.70367,33.38,0.51388,0.49239,0.52558,0.21745
1,3,7,1,24.881,0.71492,0.16268,0.78535,0.70069,0.64512,1.0398,0.69289,26.357,0.50984,0.49511,0.65768,0.23404
1,3,7,2,12.228,0.85968,0.46183,0.90471,0.90603,0.8177,0.8178,0.85826,8.6473,0.55501,0.44831,0.30543,0.14425
1,3,7,2,12.865,0.85354,0.51639,0.83901,0.92832,0.85233,0.82734,0.87542,9.6636,0.55324,0.45048,0.271,0.17586
1,3,7,2,13.341,0.90364,0.4941,0.88001,0.90785,0.8749,0.80578,0.89598,9.8856,0.55858,0.44522,0.26449,0.23423
