grp , pp , S , ID , Uq1R , UaccTimeR , Uq3R , UdecTimeR , UpeakVelR , UmaxangleR , UIPerfR , UcircularityR , UMTR , Uq2R , UIPerfEfR , UaccQR , Uq4R
2,1,1,1,0.6896,0.49093,0.74976,0.51077,0.20691,0.20984,9.082,0.67593,1.0089,0.63868,8.3422,1.2585,0.70781
2,1,1,1,0.9063,0.51263,0.82576,0.48827,0.19799,0.29876,4.7567,0.79171,1.1309,0.62019,4.4829,1.3408,0.65065
2,1,1,1,0.87157,0.49438,0.83012,0.50657,0.21952,0.235,5.0811,0.81635,1.0662,0.63274,5.036,1.3457,0.68547
2,1,1,2,0.85415,0.51312,0.83546,0.48847,0.26197,0.16549,6.3878,0.76567,0.65096,0.70394,6.5899,1.0235,0.73891
2,1,1,2,0.86997,0.52807,0.88775,0.47391,0.29576,0.3306,7.9076,0.83335,0.50912,0.82496,7.6632,0.91024,0.77975
2,1,1,2,0.88207,0.52682,1.0093,0.47492,0.26966,0.23183,6.938,0.81207,0.58119,0.80143,7.5213,0.93055,0.77984
2,1,1,3,0.95471,0.5075,0.9327,0.49555,0.37983,0.24703,7.9223,0.92938,0.32929,0.91285,10.721,0.98949,0.91401
2,1,1,3,0.8984,0.55642,0.90262,0.44774,0.49451,0.17599,10.831,0.88555,0.24067,0.92584,14.546,0.81507,0.88046
2,1,1,3,0.8846,0.52446,0.87834,0.47922,0.45008,0.20943,9.5724,0.89185,0.27218,0.91716,13.401,0.92163,0.85383
2,1,4,1,0.61838,0.51194,0.84342,0.48927,0.21961,0.20627,6.4315,0.68132,1.1689,0.63553,7.3364,1.2053,0.5754
2,1,4,1,0.68422,0.51714,0.72471,0.48418,0.21431,0.24918,7.0522,0.67702,1.0518,0.61438,7.4043,1.1967,0.63223
2,1,4,1,0.7707,0.5109,0.76915,0.49004,0.19837,0.60038,5.0097,0.71742,1.0695,0.52176,5.2931,1.2196,0.59592
2,1,4,2,0.78207,0.52789,0.98182,0.47365,0.2506,0.4221,6.1509,0.83566,0.6535,0.7618,6.8215,0.95309,0.8146
2,1,4,2,0.85871,0.5231,0.8992,0.47842,0.24143,0.37317,6.0858,0.85656,0.6599,0.81117,6.8823,0.9395,0.82478
2,1,4,2,0.8988,0.51609,0.88874,0.4856,0.26519,0.33509,6.7757,0.83284,0.59118,0.79759,7.1978,0.95693,0.73125
2,1,4,3,0.87923,0.60369,0.88868,0.4019,0.71634,0.17311,14.531,0.87268,0.17933,0.95531,19.425,0.67194,0.83049
2,1,4,3,0.81404,0.58503,0.88747,0.41978,0.58663,0.16533,12.522,0.85238,0.20925,0.89355,16.861,0.72513,0.85238
2,1,4,3,0.74511,0.60381,0.93454,0.40188,0.71514,0.20438,14.793,0.86131,0.17683,0.92199,21.019,0.67646,0.83239
2,1,7,1,0.59097,0.52467,0.80166,0.47654,0.15536,0.23672,6.4838,0.64089,1.4078,0.68843,7.5279,1.2447,0.62413
2,1,7,1,0.68512,0.52968,0.80218,0.47123,0.2044,0.30703,4.857,0.74908,1.1014,0.60768,5.4054,1.1553,0.65919
2,1,7,1,0.76635,0.51969,0.87816,0.48123,0.18813,0.66098,4.855,0.69176,1.1016,0.62829,5.37,1.142,0.54815
2,1,7,2,0.77638,0.54856,0.96444,0.45318,0.26647,0.29442,6.965,0.75653,0.57628,0.73881,8.2552,0.85473,0.7335
2,1,7,2,0.77977,0.52474,0.94488,0.47667,0.22361,0.29718,5.6416,0.80338,0.7151,0.74808,6.6398,0.95366,0.73308
2,1,7,2,0.78137,0.5305,0.96126,0.47111,0.2482,0.68451,6.4585,0.79096,0.62006,0.73171,7.4274,0.90429,0.873
2,1,7,3,0.72496,0.62039,0.86088,0.38539,0.74075,0.16692,15.025,0.91674,0.17345,0.93884,18.47,0.62568,0.87718
2,1,7,3,0.81737,0.5784,0.94285,0.42583,0.56713,0.16099,10.976,0.92798,0.23748,0.93575,14.297,0.7464,0.90738
2,1,7,3,0.80035,0.59469,0.9349,0.41091,0.66483,0.17765,14.544,0.90016,0.17917,0.90079,20.085,0.69927,0.89071
1,2,1,1,0.93491,0.47961,0.89896,0.52202,0.24017,0.21626,8.693,0.83172,1.1391,0.39918,9.5389,1.6074,0.54549
1,2,1,1,0.80359,0.49854,0.80766,0.50241,0.24434,0.15374,5.0116,0.62467,1.0714,0.50979,5.2903,1.3593,0.53262
1,2,1,1,0.80326,0.50401,0.83624,0.497,0.289,0.20558,5.3626,0.66187,1.0013,0.51288,5.7024,1.3523,0.47131
1,2,1,2,0.82544,0.52483,0.83502,0.47722,0.23277,0.25339,8.1803,0.7726,0.66969,0.71184,8.0729,0.97122,0.7291
1,2,1,2,0.91149,0.50734,0.82753,0.49429,0.27302,0.239,6.5231,0.83599,0.61626,0.76989,6.674,1.0292,0.77703
