group , participant , session , IDRight , IDLeft , value
1,2,1,1,1,0.28853
1,2,1,1,1,0.29721
1,2,1,1,1,0.26808
1,2,1,1,2,0.29963
1,2,1,1,2,0.38471
1,2,1,1,2,0.38512
1,2,1,2,1,0.32552
1,2,1,2,1,0.28898
1,2,1,2,1,0.31795
1,2,1,2,2,0.45211
1,2,1,2,2,0.46705
1,2,1,2,2,0.58594
1,2,1,3,1,0.37339
1,2,1,3,1,0.32992
1,2,1,3,1,0.36439
1,2,1,3,2,0.71957
1,2,1,3,2,0.79901
1,2,1,3,2,0.86167
1,2,4,1,1,0.40133
1,2,4,1,1,0.41199
1,2,4,1,1,0.3756
1,2,4,1,2,0.61566
1,2,4,1,2,0.59925
1,2,4,1,2,0.63477
1,2,4,2,1,0.41624
1,2,4,2,1,0.38147
1,2,4,2,1,0.44103
1,2,4,2,2,0
1,2,4,2,2,0
1,2,4,2,2,0
1,2,4,3,1,0.49716
1,2,4,3,1,0.58218
1,2,4,3,1,0.561
1,2,4,3,2,0
1,2,4,3,2,0
1,2,4,3,2,0
1,2,7,1,1,0.47084
1,2,7,1,1,0.43945
1,2,7,1,1,0.45573
1,2,7,1,2,0.65104
1,2,7,1,2,0.70801
1,2,7,1,2,0.60096
1,2,7,2,1,0.53478
1,2,7,2,1,0.54023
1,2,7,2,1,0.47084
1,2,7,2,2,0
1,2,7,2,2,0
1,2,7,2,2,0
1,2,7,3,1,0.52584
1,2,7,3,1,0.54023
1,2,7,3,1,0.53267
1,2,7,3,2,0
1,2,7,3,2,0
1,2,7,3,2,0
1,3,1,1,1,0.31121
1,3,1,1,1,0.3125
1,3,1,1,1,0.28853
1,3,1,1,2,0.43945
1,3,1,1,2,0.42318
1,3,1,1,2,0.40409
1,3,1,2,1,0.23643
1,3,1,2,1,0.32552
1,3,1,2,1,0.31795
1,3,1,2,2,0.61678
1,3,1,2,2,0.64174
1,3,1,2,2,0.67608
1,3,1,3,1,0.39673
1,3,1,3,1,0.39405
1,3,1,3,1,0.32944
1,3,1,3,2,0.87193
1,3,1,3,2,0.939
1,3,1,3,2,1.0231
1,3,4,1,1,0.29524
1,3,4,1,1,0.31346
1,3,4,1,1,0.3418
1,3,4,1,2,0.50863
1,3,4,1,2,0.39725
1,3,4,1,2,0.40409
