group , participant , session , IDRight , IDLeft , value
1,2,1,1,1,0.035605
1,2,1,1,1,0.035096
1,2,1,1,1,0.022438
1,2,1,1,2,0.032542
1,2,1,1,2,0.039178
1,2,1,1,2,0.029356
1,2,1,2,1,0.041772
1,2,1,2,1,0.022034
1,2,1,2,1,0.028359
1,2,1,2,2,0.038694
1,2,1,2,2,0.069416
1,2,1,2,2,0.056663
1,2,1,3,1,0.037186
1,2,1,3,1,0.052219
1,2,1,3,1,0.053003
1,2,1,3,2,0.070537
1,2,1,3,2,0.10846
1,2,1,3,2,0.10609
1,2,4,1,1,0.039205
1,2,4,1,1,0.036784
1,2,4,1,1,0.037931
1,2,4,1,2,0.053504
1,2,4,1,2,0.055087
1,2,4,1,2,0.05268
1,2,4,2,1,0.045514
1,2,4,2,1,0.014211
1,2,4,2,1,0.049837
1,2,4,2,2,0.15262
1,2,4,2,2,0.12902
1,2,4,2,2,0.14528
1,2,4,3,1,0.073616
1,2,4,3,1,0.10582
1,2,4,3,1,0.062559
1,2,4,3,2,0.17619
1,2,4,3,2,0.17116
1,2,4,3,2,0.14341
1,2,7,1,1,0.065094
1,2,7,1,1,0.047457
1,2,7,1,1,0.036845
1,2,7,1,2,0.059847
1,2,7,1,2,0.072941
1,2,7,1,2,0.047312
1,2,7,2,1,0.059654
1,2,7,2,1,0.06022
1,2,7,2,1,0.043007
1,2,7,2,2,0.155
1,2,7,2,2,0.15146
1,2,7,2,2,0.13653
1,2,7,3,1,0.050336
1,2,7,3,1,0.065299
1,2,7,3,1,0.080059
1,2,7,3,2,0.10575
1,2,7,3,2,0.12768
1,2,7,3,2,0.090013
1,3,1,1,1,0.025877
1,3,1,1,1,0.026048
1,3,1,1,1,0.025628
1,3,1,1,2,0.043052
1,3,1,1,2,0.029592
1,3,1,1,2,0.030354
1,3,1,2,1,0.020141
1,3,1,2,1,0.025368
1,3,1,2,1,0.021878
1,3,1,2,2,0.097941
1,3,1,2,2,0.071214
1,3,1,2,2,0.066405
1,3,1,3,1,0.042435
1,3,1,3,1,0.049782
1,3,1,3,1,0.038279
1,3,1,3,2,0.093207
1,3,1,3,2,0.092352
1,3,1,3,2,0.1091
1,3,4,1,1,0.032651
1,3,4,1,1,0.021018
1,3,4,1,1,0.023063
1,3,4,1,2,0.046804
1,3,4,1,2,0.033749
1,3,4,1,2,0.031207
1,3,4,2,1,0.024705
1,3,4,2,1,0.026028
1,3,4,2,1,0.02857
1,3,4,2,2,0.06103
1,3,4,2,2,0.064183
1,3,4,2,2,0.059281
1,3,4,3,1,0.039997
1,3,4,3,1,0.031846
1,3,4,3,1,0.032084
1,3,4,3,2,0.15169
1,3,4,3,2,0.11897
1,3,4,3,2,0.15935
1,3,7,1,1,0.028584
1,3,7,1,1,0.030021
1,3,7,1,1,0.02454
1,3,7,1,2,0.036467
1,3,7,1,2,0.034506
1,3,7,1,2,0.034383
1,3,7,2,1,0.046078
1,3,7,2,1,0.027779
1,3,7,2,1,0.057352
1,3,7,2,2,0.11436
1,3,7,2,2,0.072252
1,3,7,2,2,0.086073
1,3,7,3,1,0.040901
1,3,7,3,1,0.045249
1,3,7,3,1,0.028253
1,3,7,3,2,0.17552
1,3,7,3,2,0.15336
1,3,7,3,2,0.15905
1,6,1,1,1,0.034678
1,6,1,1,1,0.038454
1,6,1,1,1,0.042702
1,6,1,1,2,0.031159
1,6,1,1,2,0.025238
1,6,1,1,2,0.040978
1,6,1,2,1,0.030348
1,6,1,2,1,0.041139
1,6,1,2,1,0.0144
1,6,1,2,2,0.03572
1,6,1,2,2,0.044227
1,6,1,2,2,0.040659
1,6,1,3,1,0.064665
1,6,1,3,1,0.041891
1,6,1,3,1,0.054625
1,6,1,3,2,0.067405
1,6,1,3,2,0.051757
1,6,1,3,2,0.10265
1,6,4,1,1,0.022371
1,6,4,1,1,0.028899
1,6,4,1,1,0.025625
1,6,4,1,2,0.039509
1,6,4,1,2,0.028758
1,6,4,1,2,0.031703
1,6,4,2,1,0.028958
1,6,4,2,1,0.02314
1,6,4,2,1,0.024371
1,6,4,2,2,0.057421
1,6,4,2,2,0.048153
1,6,4,2,2,0.048185
1,6,4,3,1,0.040576
1,6,4,3,1,0.035439
1,6,4,3,1,0.037982
1,6,4,3,2,0.083632
1,6,4,3,2,0.085146
1,6,4,3,2,0.075914
1,6,7,1,1,0.017392
1,6,7,1,1,0.021635
1,6,7,1,1,0.022854
1,6,7,1,2,0.032472
1,6,7,1,2,0.040006
1,6,7,1,2,0.03893
1,6,7,2,1,0.034498
1,6,7,2,1,0.053085
1,6,7,2,1,0.035462
1,6,7,2,2,0.054515
1,6,7,2,2,0.047258
1,6,7,2,2,0.054088
1,6,7,3,1,0.044018
1,6,7,3,1,0.038762
1,6,7,3,1,0.040126
1,6,7,3,2,0.089012
1,6,7,3,2,0.072607
1,6,7,3,2,0.077702
1,8,1,1,1,0.019228
1,8,1,1,1,0.023184
1,8,1,1,1,0.021592
1,8,1,1,2,0.038088
1,8,1,1,2,0.032997
1,8,1,1,2,0.035757
1,8,1,2,1,0.035075
1,8,1,2,1,0.022021
1,8,1,2,1,0.031238
1,8,1,2,2,0.056286
1,8,1,2,2,0.059828
1,8,1,2,2,0.062487
1,8,1,3,1,0.031372
1,8,1,3,1,0.040194
1,8,1,3,1,0.041562
1,8,1,3,2,0.15004
1,8,1,3,2,0.15209
1,8,1,3,2,0.15053
1,8,4,1,1,0.026107
1,8,4,1,1,0.029351
1,8,4,1,1,0.030246
1,8,4,1,2,0.036429
1,8,4,1,2,0.037223
1,8,4,1,2,0.028827
1,8,4,2,1,0.025302
1,8,4,2,1,0.032024
1,8,4,2,1,0.033134
1,8,4,2,2,0.077395
1,8,4,2,2,0.087699
1,8,4,2,2,0.10365
1,8,4,3,1,0.041692
1,8,4,3,1,0.033194
1,8,4,3,1,0.034455
1,8,4,3,2,0.15266
1,8,4,3,2,0.16705
1,8,4,3,2,0.17421
1,8,7,1,1,0.024706
1,8,7,1,1,0.022361
1,8,7,1,1,0.026513
1,8,7,1,2,0.033679
1,8,7,1,2,0.045252
1,8,7,1,2,0.038798
1,8,7,2,1,0.031013
1,8,7,2,1,0.03421
1,8,7,2,1,0.032397
1,8,7,2,2,0.094581
1,8,7,2,2,0.1032
1,8,7,2,2,0.10312
1,8,7,3,1,0.03676
1,8,7,3,1,0.04579
1,8,7,3,1,0.039221
1,8,7,3,2,0.1761
1,8,7,3,2,0.17664
1,8,7,3,2,0.17643
1,9,1,1,1,0.023628
1,9,1,1,1,0.039851
1,9,1,1,1,0.026003
1,9,1,1,2,0.035578
1,9,1,1,2,0.029979
1,9,1,1,2,0.035512
1,9,1,2,1,0.033435
1,9,1,2,1,0.029492
1,9,1,2,1,0.037704
