group , participant , session , IDRight , IDLeft , value
1,2,1,1,1,0.17572
1,2,1,1,1,0.17578
1,2,1,1,1,0.17459
1,2,1,1,2,0.17007
1,2,1,1,2,0.17556
1,2,1,1,2,0.14792
1,2,1,2,1,0.12641
1,2,1,2,1,0.1741
1,2,1,2,1,0.17447
1,2,1,2,2,0.17566
1,2,1,2,2,0.17157
1,2,1,2,2,0.17548
1,2,1,3,1,0.1739
1,2,1,3,1,0.16693
1,2,1,3,1,0.16349
1,2,1,3,2,0.17615
1,2,1,3,2,0.17447
1,2,1,3,2,0.17113
1,2,4,1,1,0.17151
1,2,4,1,1,0.17141
1,2,4,1,1,0.16926
1,2,4,1,2,0.17371
1,2,4,1,2,0.17676
1,2,4,1,2,0.1757
1,2,4,2,1,0.16931
1,2,4,2,1,0.17306
1,2,4,2,1,0.1686
1,2,4,2,2,0.17616
1,2,4,2,2,0.17371
1,2,4,2,2,0.17656
1,2,4,3,1,0.17158
1,2,4,3,1,0.16815
1,2,4,3,1,0.17278
1,2,4,3,2,0.17651
1,2,4,3,2,0.17392
1,2,4,3,2,0.17624
1,2,7,1,1,0.17328
1,2,7,1,1,0.17513
1,2,7,1,1,0.17524
1,2,7,1,2,0.17597
1,2,7,1,2,0.17636
1,2,7,1,2,0.14882
1,2,7,2,1,0.17314
1,2,7,2,1,0.17531
1,2,7,2,1,0.17229
1,2,7,2,2,0.17622
1,2,7,2,2,0.17382
1,2,7,2,2,0.1764
1,2,7,3,1,0.17338
1,2,7,3,1,0.16998
1,2,7,3,1,0.17276
1,2,7,3,2,0.17523
1,2,7,3,2,0.1763
1,2,7,3,2,0.17427
1,3,1,1,1,0.17646
1,3,1,1,1,0.17593
1,3,1,1,1,0.17659
1,3,1,1,2,0.17078
1,3,1,1,2,0.16869
1,3,1,1,2,0.17296
1,3,1,2,1,0.17655
1,3,1,2,1,0.1766
1,3,1,2,1,0.17658
1,3,1,2,2,0.17571
1,3,1,2,2,0.17545
1,3,1,2,2,0.17073
1,3,1,3,1,0.17215
1,3,1,3,1,0.17663
1,3,1,3,1,0.17467
1,3,1,3,2,0.17566
1,3,1,3,2,0.17567
1,3,1,3,2,0.17184
1,3,4,1,1,0.17561
1,3,4,1,1,0.17626
1,3,4,1,1,0.17673
1,3,4,1,2,0.16349
1,3,4,1,2,0.17328
1,3,4,1,2,0.1725
1,3,4,2,1,0.17644
1,3,4,2,1,0.17655
1,3,4,2,1,0.17631
1,3,4,2,2,0.17676
1,3,4,2,2,0.17671
1,3,4,2,2,0.17464
1,3,4,3,1,0.17649
1,3,4,3,1,0.17542
1,3,4,3,1,0.17578
1,3,4,3,2,0.17147
1,3,4,3,2,0.17536
1,3,4,3,2,0.17487
1,3,7,1,1,0.17676
1,3,7,1,1,0.17676
1,3,7,1,1,0.17677
1,3,7,1,2,0.17605
1,3,7,1,2,0.17397
1,3,7,1,2,0.17411
1,3,7,2,1,0.17669
1,3,7,2,1,0.17676
1,3,7,2,1,0.17675
1,3,7,2,2,0.17296
1,3,7,2,2,0.17512
1,3,7,2,2,0.17257
1,3,7,3,1,0.17555
1,3,7,3,1,0.17515
1,3,7,3,1,0.17676
1,3,7,3,2,0.17674
1,3,7,3,2,0.17589
1,3,7,3,2,0.17565
1,6,1,1,1,0.17675
1,6,1,1,1,0.17671
1,6,1,1,1,0.17643
1,6,1,1,2,0.17641
1,6,1,1,2,0.17669
1,6,1,1,2,0.17486
1,6,1,2,1,0.17509
1,6,1,2,1,0.17594
1,6,1,2,1,0.17586
1,6,1,2,2,0.17499
1,6,1,2,2,0.17663
1,6,1,2,2,0.17617
1,6,1,3,1,0.17179
1,6,1,3,1,0.17468
1,6,1,3,1,0.17487
1,6,1,3,2,0.17587
1,6,1,3,2,0.17674
1,6,1,3,2,0.17669
1,6,4,1,1,0.17656
1,6,4,1,1,0.17668
1,6,4,1,1,0.17646
1,6,4,1,2,0.17384
1,6,4,1,2,0.17282
1,6,4,1,2,0.17474
1,6,4,2,1,0.17591
1,6,4,2,1,0.17673
1,6,4,2,1,0.17626
1,6,4,2,2,0.17636
1,6,4,2,2,0.1733
1,6,4,2,2,0.17677
1,6,4,3,1,0.17544
1,6,4,3,1,0.17477
1,6,4,3,1,0.17295
1,6,4,3,2,0.17666
1,6,4,3,2,0.17671
1,6,4,3,2,0.17671
1,6,7,1,1,0.17625
1,6,7,1,1,0.17674
1,6,7,1,1,0.17569
1,6,7,1,2,0.17673
1,6,7,1,2,0.1765
1,6,7,1,2,0.17672
1,6,7,2,1,0.17593
1,6,7,2,1,0.17509
1,6,7,2,1,0.17565
1,6,7,2,2,0.17522
1,6,7,2,2,0.17483
1,6,7,2,2,0.17605
1,6,7,3,1,0.17364
1,6,7,3,1,0.17246
1,6,7,3,1,0.17453
1,6,7,3,2,0.17613
1,6,7,3,2,0.17677
1,6,7,3,2,0.17674
1,8,1,1,1,0.17642
1,8,1,1,1,0.17672
1,8,1,1,1,0.17656
1,8,1,1,2,0.17565
1,8,1,1,2,0.1724
1,8,1,1,2,0.16452
1,8,1,2,1,0.17673
1,8,1,2,1,0.17657
1,8,1,2,1,0.17613
1,8,1,2,2,0.17489
1,8,1,2,2,0.17653
1,8,1,2,2,0.17385
1,8,1,3,1,0.1767
1,8,1,3,1,0.17611
1,8,1,3,1,0.17669
1,8,1,3,2,0.17591
1,8,1,3,2,0.17664
1,8,1,3,2,0.17377
1,8,4,1,1,0.17663
1,8,4,1,1,0.17665
1,8,4,1,1,0.17676
1,8,4,1,2,0.17549
1,8,4,1,2,0.16971
1,8,4,1,2,0.17503
1,8,4,2,1,0.17675
1,8,4,2,1,0.17672
1,8,4,2,1,0.17656
1,8,4,2,2,0.17539
1,8,4,2,2,0.17659
1,8,4,2,2,0.17612
1,8,4,3,1,0.17637
1,8,4,3,1,0.17549
1,8,4,3,1,0.17676
1,8,4,3,2,0.16716
1,8,4,3,2,0.17563
1,8,4,3,2,0.17569
1,8,7,1,1,0.17645
1,8,7,1,1,0.1767
1,8,7,1,1,0.17639
1,8,7,1,2,0.17674
1,8,7,1,2,0.17588
1,8,7,1,2,0.17394
1,8,7,2,1,0.17672
1,8,7,2,1,0.17672
1,8,7,2,1,0.17675
1,8,7,2,2,0.17578
1,8,7,2,2,0.17148
1,8,7,2,2,0.17179
1,8,7,3,1,0.17647
1,8,7,3,1,0.17579
1,8,7,3,1,0.17676
1,8,7,3,2,0.17466
1,8,7,3,2,0.17639
1,8,7,3,2,0.17605
1,9,1,1,1,0.17658
1,9,1,1,1,0.17591
1,9,1,1,1,0.17656
1,9,1,1,2,0.17367
1,9,1,1,2,0.16494
1,9,1,1,2,0.16873
1,9,1,2,1,0.17674
1,9,1,2,1,0.17644
1,9,1,2,1,0.17582
1,9,1,2,2,0.17592
1,9,1,2,2,0.14115
1,9,1,2,2,0.17628
1,9,1,3,1,0.17663
1,9,1,3,1,0.17359
1,9,1,3,1,0.16565
1,9,1,3,2,0.174
1,9,1,3,2,0.17434
1,9,1,3,2,0.17675
1,9,4,1,1,0.17671
1,9,4,1,1,0.17653
1,9,4,1,1,0.17597
1,9,4,1,2,0.16572
1,9,4,1,2,0.17598
1,9,4,1,2,0.17427
1,9,4,2,1,0.17653
1,9,4,2,1,0.17672
1,9,4,2,1,0.17675
1,9,4,2,2,0.17663
1,9,4,2,2,0.17316
1,9,4,2,2,0.17539
1,9,4,3,1,0.17627
1,9,4,3,1,0.16538
1,9,4,3,1,0.16441
1,9,4,3,2,0.17528
1,9,4,3,2,0.17667
1,9,4,3,2,0.17508
1,9,7,1,1,0.17601
1,9,7,1,1,0.17668
1,9,7,1,1,0.17669
1,9,7,1,2,0.17499
1,9,7,1,2,0.1678
1,9,7,1,2,0.16965
1,9,7,2,1,0.17562
1,9,7,2,1,0.17671
1,9,7,2,1,0.17537
1,9,7,2,2,0.17595
1,9,7,2,2,0.17516
1,9,7,2,2,0.1631
1,9,7,3,1,0.16882
1,9,7,3,1,0.17349
1,9,7,3,1,0.17441
1,9,7,3,2,0.16629
1,9,7,3,2,0.17676
1,9,7,3,2,0.17494
2,1,1,1,1,0.17558
2,1,1,1,1,0.17213
2,1,1,1,1,0.1673
2,1,1,1,2,0.17302
2,1,1,1,2,0.1744
2,1,1,1,2,0.15714
2,1,1,2,1,0.17642
2,1,1,2,1,0.17676
2,1,1,2,1,0.17673
2,1,1,2,2,0.17475
2,1,1,2,2,0.1758
2,1,1,2,2,0.17167
2,1,1,3,1,0.17481
2,1,1,3,1,0.1733
2,1,1,3,1,0.17547
2,1,1,3,2,0.17619
2,1,1,3,2,0.17623
2,1,1,3,2,0.17401
2,1,4,1,1,0.17549
2,1,4,1,1,0.17668
2,1,4,1,1,0.17531
2,1,4,1,2,0.17454
2,1,4,1,2,0.1727
2,1,4,1,2,0.17557
2,1,4,2,1,0.17671
2,1,4,2,1,0.17677
2,1,4,2,1,0.1763
2,1,4,2,2,0.17671
2,1,4,2,2,0.1755
2,1,4,2,2,0.17602
2,1,4,3,1,0.17668
2,1,4,3,1,0.1763
2,1,4,3,1,0.17676
2,1,4,3,2,0.1761
2,1,4,3,2,0.17658
2,1,4,3,2,0.17512
2,1,7,1,1,0.17652
2,1,7,1,1,0.17676
2,1,7,1,1,0.17642
2,1,7,1,2,0.10426
2,1,7,1,2,0.082264
2,1,7,1,2,0.10695
2,1,7,2,1,0.17654
2,1,7,2,1,0.17671
2,1,7,2,1,0.17515
2,1,7,2,2,0.072047
2,1,7,2,2,0.17225
2,1,7,2,2,0.17032
2,1,7,3,1,5.8377e-05
2,1,7,3,1,3.1305e-05
2,1,7,3,1,7.3837e-05
2,1,7,3,2,0.1762
2,1,7,3,2,0.1766
2,1,7,3,2,0.17391
2,4,1,1,1,0.17434
2,4,1,1,1,0.17657
2,4,1,1,1,0.17653
2,4,1,1,2,0.17259
2,4,1,1,2,0.17615
2,4,1,1,2,0.17578
2,4,1,2,1,0.17673
2,4,1,2,1,0.15457
2,4,1,2,1,0.17614
2,4,1,2,2,0.17019
2,4,1,2,2,0.17537
2,4,1,2,2,0.17661
2,4,1,3,1,0.17657
2,4,1,3,1,0.17593
2,4,1,3,1,0.17439
2,4,1,3,2,0.17625
2,4,1,3,2,0.17599
2,4,1,3,2,0.1767
2,4,4,1,1,0.17653
2,4,4,1,1,0.17641
2,4,4,1,1,0.17596
2,4,4,1,2,0.13311
2,4,4,1,2,0.13621
2,4,4,1,2,0.12621
2,4,4,2,1,0.17521
2,4,4,2,1,0.17671
2,4,4,2,1,0.17601
2,4,4,2,2,0.17568
2,4,4,2,2,0.10139
2,4,4,2,2,0.14827
2,4,4,3,1,0.00015945
2,4,4,3,1,0.0002318
2,4,4,3,1,0.00024545
2,4,4,3,2,0.17198
2,4,4,3,2,0.17548
2,4,4,3,2,0.1767
2,4,7,1,1,0.17608
2,4,7,1,1,0.17527
2,4,7,1,1,0.17633
2,4,7,1,2,0.12137
2,4,7,1,2,0.087224
2,4,7,1,2,0.10912
2,4,7,2,1,8.4385e-05
2,4,7,2,1,3.695e-05
2,4,7,2,1,3.4824e-05
2,4,7,2,2,0.12818
2,4,7,2,2,0.14814
2,4,7,2,2,0.12247
2,4,7,3,1,9.4324e-05
2,4,7,3,1,2.9597e-05
2,4,7,3,1,0.00026253
2,4,7,3,2,0.17515
2,4,7,3,2,0.17498
2,4,7,3,2,0.17496
2,5,1,1,1,0.17666
2,5,1,1,1,0.1754
2,5,1,1,1,0.17644
2,5,1,1,2,0.068026
2,5,1,1,2,0.001442
2,5,1,1,2,0.0914
2,5,1,2,1,3.8093e-05
2,5,1,2,1,7.1322e-05
2,5,1,2,1,0.00058231
2,5,1,2,2,0.027106
2,5,1,2,2,0.16216
2,5,1,2,2,0.026136
2,5,1,3,1,0.00046138
2,5,1,3,1,0.00067184
2,5,1,3,1,0.00044455
2,5,1,3,2,0.17672
2,5,1,3,2,0.17546
2,5,1,3,2,0.17549
2,5,4,1,1,0.1765
2,5,4,1,1,0.17628
2,5,4,1,1,0.17669
2,5,4,1,2,0.11468
2,5,4,1,2,0.078476
2,5,4,1,2,0.1159
2,5,4,2,1,6.1238e-05
2,5,4,2,1,8.7028e-05
2,5,4,2,1,3.3498e-05
2,5,4,2,2,0.16747
2,5,4,2,2,0.13701
2,5,4,2,2,0.1473
2,5,4,3,1,9.8955e-05
2,5,4,3,1,6.1153e-05
2,5,4,3,1,0.0015349
2,5,4,3,2,0.17664
2,5,4,3,2,0.17664
2,5,4,3,2,0.17676
2,5,7,1,1,0.17501
2,5,7,1,1,0.17667
2,5,7,1,1,0.17569
2,5,7,1,2,0.072855
2,5,7,1,2,0.1136
2,5,7,1,2,0.10744
2,5,7,2,1,0.00013142
2,5,7,2,1,0.00028941
2,5,7,2,1,9.2156e-05
2,5,7,2,2,0.14191
2,5,7,2,2,0.12297
2,5,7,2,2,0.14731
2,5,7,3,1,6.904e-05
2,5,7,3,1,2.833e-05
2,5,7,3,1,7.6205e-05
2,5,7,3,2,0.17635
2,5,7,3,2,0.17518
2,5,7,3,2,0.17614
2,7,1,1,1,0.17571
2,7,1,1,1,0.17676
2,7,1,1,1,0.17675
2,7,1,1,2,0.17238
2,7,1,1,2,0.16791
2,7,1,1,2,0.17479
2,7,1,2,1,0.17665
2,7,1,2,1,0.17672
2,7,1,2,1,0.17675
2,7,1,2,2,0.17639
2,7,1,2,2,0.17364
2,7,1,2,2,0.17404
2,7,1,3,1,0.17442
2,7,1,3,1,0.17518
2,7,1,3,1,0.17657
2,7,1,3,2,0.17648
2,7,1,3,2,0.17057
2,7,1,3,2,0.1767
2,7,4,1,1,0.17667
2,7,4,1,1,0.17672
2,7,4,1,1,0.17652
2,7,4,1,2,0.16895
2,7,4,1,2,0.17062
2,7,4,1,2,0.17535
2,7,4,2,1,0.17441
2,7,4,2,1,0.17675
2,7,4,2,1,0.17677
2,7,4,2,2,0.12315
2,7,4,2,2,0.17614
2,7,4,2,2,0.17392
2,7,4,3,1,0.00013379
2,7,4,3,1,6.5016e-05
2,7,4,3,1,2.0899e-05
2,7,4,3,2,0.17092
2,7,4,3,2,0.16578
2,7,4,3,2,0.17391
2,7,7,1,1,0.17647
2,7,7,1,1,0.17656
2,7,7,1,1,0.17666
2,7,7,1,2,0.11171
2,7,7,1,2,0.10852
2,7,7,1,2,0.1338
2,7,7,2,1,5.6429e-05
2,7,7,2,1,0.00019805
2,7,7,2,1,3.274e-05
2,7,7,2,2,0.12354
2,7,7,2,2,0.16366
2,7,7,2,2,0.15292
2,7,7,3,1,8.3477e-05
2,7,7,3,1,2.423e-05
2,7,7,3,1,5.6681e-05
2,7,7,3,2,0.1673
2,7,7,3,2,0.17018
2,7,7,3,2,0.17129
2,10,1,1,1,0.1767
2,10,1,1,1,0.17675
2,10,1,1,1,0.17674
2,10,1,1,2,0.13387
2,10,1,1,2,0.17606
2,10,1,1,2,0.15547
2,10,1,2,1,0.17459
2,10,1,2,1,0.17627
2,10,1,2,1,0.17676
2,10,1,2,2,0.17567
2,10,1,2,2,0.17672
2,10,1,2,2,0.17421
2,10,1,3,1,0.17499
2,10,1,3,1,0.17596
2,10,1,3,1,0.17372
2,10,1,3,2,0.17677
2,10,1,3,2,0.17255
2,10,1,3,2,0.17616
2,10,4,1,1,0.17648
2,10,4,1,1,0.17642
2,10,4,1,1,0.17647
2,10,4,1,2,0.17404
2,10,4,1,2,0.089221
2,10,4,1,2,0.17562
2,10,4,2,1,0.17654
2,10,4,2,1,0.17578
2,10,4,2,1,0.1761
2,10,4,2,2,0.17444
2,10,4,2,2,0.099579
2,10,4,2,2,0.17474
2,10,4,3,1,0.176
2,10,4,3,1,0.17616
2,10,4,3,1,0.17162
2,10,4,3,2,0.17596
2,10,4,3,2,0.17664
2,10,4,3,2,0.17626
2,10,7,1,1,0.17638
2,10,7,1,1,0.17596
2,10,7,1,1,0.176
2,10,7,1,2,0.17632
2,10,7,1,2,0.17677
2,10,7,1,2,0.16995
2,10,7,2,1,0.1764
2,10,7,2,1,0.17476
2,10,7,2,1,0.17612
2,10,7,2,2,0.17061
2,10,7,2,2,0.1699
2,10,7,2,2,0.17273
2,10,7,3,1,0.17341
2,10,7,3,1,0.17548
2,10,7,3,1,0.17311
2,10,7,3,2,0.17527
2,10,7,3,2,0.17666
2,10,7,3,2,0.17363
