group , participant , session , IDRight , IDLeft , value
1,2,1,1,1,-0.040512
1,2,1,1,1,-0.075331
1,2,1,1,1,-0.086777
1,2,1,1,2,0.010769
1,2,1,1,2,-0.045601
1,2,1,1,2,-2.1186
1,2,1,2,1,-2.9397
1,2,1,2,1,0.0093001
1,2,1,2,1,0.037434
1,2,1,2,2,0.055092
1,2,1,2,2,0.054004
1,2,1,2,2,0.050629
1,2,1,3,1,0.08688
1,2,1,3,1,0.034673
1,2,1,3,1,0.049737
1,2,1,3,2,0.10066
1,2,1,3,2,0.095395
1,2,1,3,2,0.085177
1,2,4,1,1,-0.24951
1,2,4,1,1,-0.26161
1,2,4,1,1,-0.25132
1,2,4,1,2,-0.25854
1,2,4,1,2,-0.19808
1,2,4,1,2,-0.16805
1,2,4,2,1,-0.10387
1,2,4,2,1,-0.11256
1,2,4,2,1,-0.25985
1,2,4,2,2,0.00089499
1,2,4,2,2,-0.009901
1,2,4,2,2,-0.029381
1,2,4,3,1,0.03449
1,2,4,3,1,-0.035961
1,2,4,3,1,-0.062239
1,2,4,3,2,0.089352
1,2,4,3,2,-0.010452
1,2,4,3,2,0.017429
1,2,7,1,1,-0.10506
1,2,7,1,1,-0.12665
1,2,7,1,1,-0.10053
1,2,7,1,2,-0.065803
1,2,7,1,2,-0.12394
1,2,7,1,2,-0.61981
1,2,7,2,1,-0.06955
1,2,7,2,1,-0.049614
1,2,7,2,1,-0.043147
1,2,7,2,2,-0.033198
1,2,7,2,2,0.073232
1,2,7,2,2,0.042932
1,2,7,3,1,0.060463
1,2,7,3,1,0.1188
1,2,7,3,1,0.035006
1,2,7,3,2,0.088362
1,2,7,3,2,0.024771
1,2,7,3,2,-0.060114
1,3,1,1,1,0.081874
1,3,1,1,1,0.073539
1,3,1,1,1,0.042532
1,3,1,1,2,0.019116
1,3,1,1,2,0.066184
1,3,1,1,2,0.061147
1,3,1,2,1,0.054005
1,3,1,2,1,0.0758
1,3,1,2,1,0.06068
1,3,1,2,2,0.12585
1,3,1,2,2,0.051722
1,3,1,2,2,0.060319
1,3,1,3,1,0.080787
1,3,1,3,1,0.068684
1,3,1,3,1,0.064144
1,3,1,3,2,0.10473
1,3,1,3,2,0.081198
1,3,1,3,2,0.10481
1,3,4,1,1,0.097898
1,3,4,1,1,0.098741
1,3,4,1,1,0.10066
1,3,4,1,2,0.043054
1,3,4,1,2,0.074548
1,3,4,1,2,0.12521
1,3,4,2,1,0.10455
1,3,4,2,1,0.14064
1,3,4,2,1,0.11094
1,3,4,2,2,0.085665
1,3,4,2,2,0.10216
1,3,4,2,2,0.14945
1,3,4,3,1,0.13856
1,3,4,3,1,0.12315
1,3,4,3,1,0.12256
1,3,4,3,2,0.25442
1,3,4,3,2,0.36248
1,3,4,3,2,0.3202
1,3,7,1,1,0.048821
1,3,7,1,1,0.034206
1,3,7,1,1,0.00030139
1,3,7,1,2,-0.024173
1,3,7,1,2,0.014674
1,3,7,1,2,0.0079403
1,3,7,2,1,0.046424
1,3,7,2,1,0.056569
1,3,7,2,1,0.050908
1,3,7,2,2,-0.026531
1,3,7,2,2,-0.020682
1,3,7,2,2,0.026297
1,3,7,3,1,0.1055
1,3,7,3,1,0.067787
1,3,7,3,1,0.073559
1,3,7,3,2,0.20961
1,3,7,3,2,0.062963
1,3,7,3,2,0.069886
1,6,1,1,1,-0.050664
1,6,1,1,1,-0.0392
1,6,1,1,1,-0.050553
1,6,1,1,2,-0.057205
1,6,1,1,2,-0.05075
1,6,1,1,2,-0.046587
1,6,1,2,1,-0.066375
1,6,1,2,1,-0.028689
1,6,1,2,1,-0.058036
1,6,1,2,2,-0.094098
1,6,1,2,2,0.00070833
1,6,1,2,2,-0.0016888
1,6,1,3,1,-0.0062383
1,6,1,3,1,-0.033739
1,6,1,3,1,-0.021943
1,6,1,3,2,-0.086597
1,6,1,3,2,-0.053171
1,6,1,3,2,-0.037782
1,6,4,1,1,-0.08167
1,6,4,1,1,-0.077834
1,6,4,1,1,-0.1081
1,6,4,1,2,-0.065804
1,6,4,1,2,-0.078576
1,6,4,1,2,-0.054627
1,6,4,2,1,-0.031192
1,6,4,2,1,-0.039895
1,6,4,2,1,-0.0099733
1,6,4,2,2,-0.0039217
1,6,4,2,2,0.016724
1,6,4,2,2,-0.11947
1,6,4,3,1,0.053177
1,6,4,3,1,-0.02872
1,6,4,3,1,-0.029281
1,6,4,3,2,0.044227
1,6,4,3,2,0.03415
1,6,4,3,2,-0.10601
1,6,7,1,1,-0.054883
1,6,7,1,1,-0.039934
1,6,7,1,1,-0.049413
1,6,7,1,2,-0.080255
1,6,7,1,2,-0.030675
1,6,7,1,2,-0.037981
1,6,7,2,1,-0.037895
1,6,7,2,1,-0.071503
1,6,7,2,1,-0.083066
1,6,7,2,2,0.020252
1,6,7,2,2,-0.0061455
1,6,7,2,2,-0.063519
1,6,7,3,1,-0.0011531
1,6,7,3,1,-0.034674
1,6,7,3,1,-0.016114
1,6,7,3,2,0.095325
1,6,7,3,2,0.031227
1,6,7,3,2,-0.017735
1,8,1,1,1,0.066291
1,8,1,1,1,0.069747
1,8,1,1,1,0.092941
1,8,1,1,2,0.041612
1,8,1,1,2,0.09198
1,8,1,1,2,0.070261
1,8,1,2,1,0.060473
1,8,1,2,1,0.047178
1,8,1,2,1,0.088081
1,8,1,2,2,0.023417
1,8,1,2,2,0.076832
1,8,1,2,2,0.11361
1,8,1,3,1,0.067671
1,8,1,3,1,0.06823
1,8,1,3,1,0.08208
1,8,1,3,2,0.14902
1,8,1,3,2,0.10101
1,8,1,3,2,0.014819
1,8,4,1,1,0.033052
1,8,4,1,1,0.0038665
1,8,4,1,1,0.028553
1,8,4,1,2,0.024124
1,8,4,1,2,0.044413
1,8,4,1,2,0.038394
1,8,4,2,1,0.012641
1,8,4,2,1,0.029506
1,8,4,2,1,0.03534
1,8,4,2,2,-0.052578
1,8,4,2,2,-0.045469
1,8,4,2,2,-0.012629
1,8,4,3,1,0.01253
1,8,4,3,1,-0.0070229
1,8,4,3,1,0.037904
1,8,4,3,2,0.073752
1,8,4,3,2,0.11284
1,8,4,3,2,0.038591
1,8,7,1,1,0.033133
1,8,7,1,1,0.0633
1,8,7,1,1,0.071356
1,8,7,1,2,-0.029948
1,8,7,1,2,0.029666
1,8,7,1,2,0.046206
1,8,7,2,1,0.053618
1,8,7,2,1,0.050142
1,8,7,2,1,0.074268
1,8,7,2,2,-0.0089075
1,8,7,2,2,0.016162
1,8,7,2,2,-0.029893
1,8,7,3,1,0.055793
1,8,7,3,1,0.04738
1,8,7,3,1,0.073974
1,8,7,3,2,0.042603
1,8,7,3,2,0.077847
1,8,7,3,2,-0.018802
1,9,1,1,1,0.085585
1,9,1,1,1,0.091453
1,9,1,1,1,0.13983
1,9,1,1,2,0.027866
1,9,1,1,2,0.039528
1,9,1,1,2,-0.014449
1,9,1,2,1,0.10015
1,9,1,2,1,0.10499
1,9,1,2,1,0.1181
1,9,1,2,2,0.035374
1,9,1,2,2,-2.8397
1,9,1,2,2,-0.0075664
1,9,1,3,1,0.08851
1,9,1,3,1,0.13458
1,9,1,3,1,0.13204
1,9,1,3,2,0.11067
1,9,1,3,2,-0.024181
1,9,1,3,2,-0.05446
1,9,4,1,1,0.088987
1,9,4,1,1,0.037781
1,9,4,1,1,0.1114
1,9,4,1,2,0.00046209
1,9,4,1,2,0.11985
1,9,4,1,2,-0.03777
1,9,4,2,1,0.055759
1,9,4,2,1,0.091433
1,9,4,2,1,0.13594
1,9,4,2,2,0.018145
1,9,4,2,2,0.042875
1,9,4,2,2,0.016548
1,9,4,3,1,0.084907
1,9,4,3,1,0.1197
1,9,4,3,1,0.12558
1,9,4,3,2,-0.10948
1,9,4,3,2,-0.12536
1,9,4,3,2,-0.0048207
1,9,7,1,1,0.065281
1,9,7,1,1,0.062889
1,9,7,1,1,0.096897
1,9,7,1,2,0.025512
1,9,7,1,2,0.10175
1,9,7,1,2,0.069604
1,9,7,2,1,0.099515
1,9,7,2,1,0.10074
1,9,7,2,1,0.058118
1,9,7,2,2,0.11205
1,9,7,2,2,-0.022553
1,9,7,2,2,-0.024147
1,9,7,3,1,0.079756
1,9,7,3,1,0.06012
1,9,7,3,1,0.1035
1,9,7,3,2,-0.15156
1,9,7,3,2,-0.17017
1,9,7,3,2,-0.18783
2,1,1,1,1,0.087848
2,1,1,1,1,0.15071
2,1,1,1,1,0.19491
2,1,1,1,2,0.051409
2,1,1,1,2,0.059857
2,1,1,1,2,0.045618
2,1,1,2,1,0.027341
2,1,1,2,1,0.10098
2,1,1,2,1,0.094998
2,1,1,2,2,0.034704
2,1,1,2,2,0.13366
2,1,1,2,2,0.083538
2,1,1,3,1,0.059828
2,1,1,3,1,0.10715
2,1,1,3,1,0.10656
2,1,1,3,2,0.36919
2,1,1,3,2,0.18089
2,1,1,3,2,0.20519
2,1,4,1,1,0.04953
2,1,4,1,1,0.023348
2,1,4,1,1,0.050834
2,1,4,1,2,0.01859
2,1,4,1,2,0.040004
2,1,4,1,2,0.029539
2,1,4,2,1,0.051914
2,1,4,2,1,0.086871
2,1,4,2,1,0.090045
2,1,4,2,2,0.06713
2,1,4,2,2,0.096293
2,1,4,2,2,0.099174
2,1,4,3,1,0.11209
2,1,4,3,1,0.11753
2,1,4,3,1,0.1039
2,1,4,3,2,0.12664
2,1,4,3,2,0.16461
2,1,4,3,2,0.05996
2,1,7,1,1,0.089375
2,1,7,1,1,0.022197
2,1,7,1,1,0.057583
2,1,7,1,2,2.3725
2,1,7,1,2,1.8521
2,1,7,1,2,2.6879
2,1,7,2,1,0.069314
2,1,7,2,1,0.095265
2,1,7,2,1,0.14447
2,1,7,2,2,-3.102
2,1,7,2,2,0.36223
2,1,7,2,2,1.985
2,1,7,3,1,-2.3004
2,1,7,3,1,2.8072
2,1,7,3,1,0.19628
2,1,7,3,2,0.15599
2,1,7,3,2,0.12989
2,1,7,3,2,0.098871
2,4,1,1,1,0.048045
2,4,1,1,1,0.057166
2,4,1,1,1,0.029536
2,4,1,1,2,0.061397
2,4,1,1,2,0.065554
2,4,1,1,2,0.048093
2,4,1,2,1,0.028003
2,4,1,2,1,-0.97343
2,4,1,2,1,0.035008
2,4,1,2,2,0.1256
2,4,1,2,2,0.089773
2,4,1,2,2,0.090403
2,4,1,3,1,0.091248
2,4,1,3,1,0.060974
2,4,1,3,1,0.035325
2,4,1,3,2,0.10161
2,4,1,3,2,0.1448
2,4,1,3,2,0.18532
2,4,4,1,1,0.021738
2,4,4,1,1,0.053405
2,4,4,1,1,0.03663
2,4,4,1,2,2.4453
2,4,4,1,2,0.83538
2,4,4,1,2,-0.58606
2,4,4,2,1,0.52382
2,4,4,2,1,0.13266
2,4,4,2,1,0.062111
2,4,4,2,2,-0.52691
2,4,4,2,2,-2.2308
2,4,4,2,2,0.60676
2,4,4,3,1,-1.4674
2,4,4,3,1,0.67454
2,4,4,3,1,-0.60969
2,4,4,3,2,0.18364
2,4,4,3,2,0.18891
2,4,4,3,2,0.14831
2,4,7,1,1,0.053981
2,4,7,1,1,0.063142
2,4,7,1,1,0.056741
2,4,7,1,2,1.7007
2,4,7,1,2,1.9187
2,4,7,1,2,2.2402
2,4,7,2,1,-1.5516
2,4,7,2,1,1.4043
2,4,7,2,1,0.25613
2,4,7,2,2,-2.3678
2,4,7,2,2,-2.3911
2,4,7,2,2,2.5899
2,4,7,3,1,0.97174
2,4,7,3,1,-0.84741
2,4,7,3,1,1.4107
2,4,7,3,2,0.15713
2,4,7,3,2,0.20748
2,4,7,3,2,0.21555
