group , participant , session , IDRight , IDLeft , value
1,2,1,1,1,0.0025377
1,2,1,1,1,0.012598
1,2,1,1,1,0.0053631
1,2,1,1,2,0.0048338
1,2,1,1,2,0.011349
1,2,1,1,2,0.95377
1,2,1,2,1,0.92234
1,2,1,2,1,0.0040528
1,2,1,2,1,0.0050932
1,2,1,2,2,0.0061178
1,2,1,2,2,0.0052247
1,2,1,2,2,0.0090385
1,2,1,3,1,0.003844
1,2,1,3,1,0.0067149
1,2,1,3,1,0.0051221
1,2,1,3,2,0.0064259
1,2,1,3,2,0.010374
1,2,1,3,2,0.0088559
1,2,4,1,1,0.011501
1,2,4,1,1,0.010491
1,2,4,1,1,0.0044945
1,2,4,1,2,0.012007
1,2,4,1,2,0.004413
1,2,4,1,2,0.0040483
1,2,4,2,1,0.0086791
1,2,4,2,1,0.010712
1,2,4,2,1,0.013863
1,2,4,2,2,0.0079241
1,2,4,2,2,0.0079513
1,2,4,2,2,0.0060229
1,2,4,3,1,0.004134
1,2,4,3,1,0.0061636
1,2,4,3,1,0.0034194
1,2,4,3,2,0.023459
1,2,4,3,2,0.010834
1,2,4,3,2,0.022708
1,2,7,1,1,0.0051587
1,2,7,1,1,0.0079693
1,2,7,1,1,0.0031003
1,2,7,1,2,0.0029758
1,2,7,1,2,0.0040442
1,2,7,1,2,0.87823
1,2,7,2,1,0.0059582
1,2,7,2,1,0.0062717
1,2,7,2,1,0.0045064
1,2,7,2,2,0.0068096
1,2,7,2,2,0.0070538
1,2,7,2,2,0.0050599
1,2,7,3,1,0.0046911
1,2,7,3,1,0.010684
1,2,7,3,1,0.005549
1,2,7,3,2,0.012369
1,2,7,3,2,0.016376
1,2,7,3,2,0.044474
1,3,1,1,1,0.0021532
1,3,1,1,1,0.0015579
1,3,1,1,1,0.0010918
1,3,1,1,2,0.0098737
1,3,1,1,2,0.0025029
1,3,1,1,2,0.0025957
1,3,1,2,1,0.0018087
1,3,1,2,1,0.0043445
1,3,1,2,1,0.0030836
1,3,1,2,2,0.0043524
1,3,1,2,2,0.0048501
1,3,1,2,2,0.0044723
1,3,1,3,1,0.0034076
1,3,1,3,1,0.0015264
1,3,1,3,1,0.0040351
1,3,1,3,2,0.01104
1,3,1,3,2,0.0085742
1,3,1,3,2,0.011215
1,3,4,1,1,0.002846
1,3,4,1,1,0.0038765
1,3,4,1,1,0.0030393
1,3,4,1,2,0.0035891
1,3,4,1,2,0.0045807
1,3,4,1,2,0.0045725
1,3,4,2,1,0.0027028
1,3,4,2,1,0.004385
1,3,4,2,1,0.004322
1,3,4,2,2,0.0028866
1,3,4,2,2,0.0033789
1,3,4,2,2,0.0027414
1,3,4,3,1,0.0042886
1,3,4,3,1,0.0065132
1,3,4,3,1,0.005111
1,3,4,3,2,0.012235
1,3,4,3,2,0.0046412
1,3,4,3,2,0.011354
1,3,7,1,1,0.0017034
1,3,7,1,1,0.0017509
1,3,7,1,1,0.0021821
1,3,7,1,2,0.0014631
1,3,7,1,2,0.0019415
1,3,7,1,2,0.0014849
1,3,7,2,1,0.0025533
1,3,7,2,1,0.0033156
1,3,7,2,1,0.0020214
1,3,7,2,2,0.0035316
1,3,7,2,2,0.0046278
1,3,7,2,2,0.0038402
1,3,7,3,1,0.0016391
1,3,7,3,1,0.0015545
1,3,7,3,1,0.0011831
1,3,7,3,2,0.0094083
1,3,7,3,2,0.012746
1,3,7,3,2,0.009886
1,6,1,1,1,0.0015329
1,6,1,1,1,0.0021818
1,6,1,1,1,0.0024625
1,6,1,1,2,0.0022258
1,6,1,1,2,0.0023526
1,6,1,1,2,0.0030111
1,6,1,2,1,0.0029055
1,6,1,2,1,0.0037158
1,6,1,2,1,0.0027595
1,6,1,2,2,0.0031902
1,6,1,2,2,0.0040791
1,6,1,2,2,0.0034131
1,6,1,3,1,0.0073935
1,6,1,3,1,0.0022171
1,6,1,3,1,0.0040203
1,6,1,3,2,0.0069038
1,6,1,3,2,0.004171
1,6,1,3,2,0.0047181
1,6,4,1,1,0.0033663
1,6,4,1,1,0.0038683
1,6,4,1,1,0.0025214
1,6,4,1,2,0.0094812
1,6,4,1,2,0.0052942
1,6,4,1,2,0.0056336
1,6,4,2,1,0.0082121
1,6,4,2,1,0.0076726
1,6,4,2,1,0.0033172
1,6,4,2,2,0.0032779
1,6,4,2,2,0.0040314
1,6,4,2,2,0.0051287
1,6,4,3,1,0.0070402
1,6,4,3,1,0.0048335
1,6,4,3,1,0.0039728
1,6,4,3,2,0.0045005
1,6,4,3,2,0.0065284
1,6,4,3,2,0.0077676
1,6,7,1,1,0.0027085
1,6,7,1,1,0.0027439
1,6,7,1,1,0.0014246
1,6,7,1,2,0.0045657
1,6,7,1,2,0.0039614
1,6,7,1,2,0.0038482
1,6,7,2,1,0.0044436
1,6,7,2,1,0.002838
1,6,7,2,1,0.0023227
1,6,7,2,2,0.0076694
1,6,7,2,2,0.0059976
1,6,7,2,2,0.0045184
1,6,7,3,1,0.0024881
1,6,7,3,1,0.0025726
1,6,7,3,1,0.0019472
1,6,7,3,2,0.0080148
1,6,7,3,2,0.0038419
1,6,7,3,2,0.0058335
1,8,1,1,1,0.0010373
1,8,1,1,1,0.0011636
1,8,1,1,1,0.0014432
1,8,1,1,2,0.0020959
1,8,1,1,2,0.0022443
1,8,1,1,2,0.0042597
1,8,1,2,1,0.0020427
1,8,1,2,1,0.001287
1,8,1,2,1,0.0015986
1,8,1,2,2,0.0022468
1,8,1,2,2,0.0026455
1,8,1,2,2,0.0069855
1,8,1,3,1,0.0013264
1,8,1,3,1,0.0013034
1,8,1,3,1,0.0019183
1,8,1,3,2,0.0064533
1,8,1,3,2,0.0055018
1,8,1,3,2,0.0097519
1,8,4,1,1,0.0013305
1,8,4,1,1,0.00084911
1,8,4,1,1,0.00092505
1,8,4,1,2,0.001231
1,8,4,1,2,0.0016171
1,8,4,1,2,0.001582
1,8,4,2,1,0.0013628
1,8,4,2,1,0.00080463
1,8,4,2,1,0.00094725
1,8,4,2,2,0.0037308
1,8,4,2,2,0.0039207
1,8,4,2,2,0.0020388
1,8,4,3,1,0.0013548
1,8,4,3,1,0.0023893
1,8,4,3,1,0.0010768
1,8,4,3,2,0.0099738
1,8,4,3,2,0.010543
1,8,4,3,2,0.0098251
1,8,7,1,1,0.0011387
1,8,7,1,1,0.0011219
1,8,7,1,1,0.0019654
1,8,7,1,2,0.00097018
1,8,7,1,2,0.002102
1,8,7,1,2,0.0022956
1,8,7,2,1,0.0014007
1,8,7,2,1,0.0011952
1,8,7,2,1,0.0015435
1,8,7,2,2,0.0026245
1,8,7,2,2,0.0033248
1,8,7,2,2,0.0085743
1,8,7,3,1,0.0020673
1,8,7,3,1,0.0023916
1,8,7,3,1,0.0016523
1,8,7,3,2,0.032546
1,8,7,3,2,0.020069
1,8,7,3,2,0.01497
1,9,1,1,1,0.0080287
1,9,1,1,1,0.0053132
1,9,1,1,1,0.0044507
1,9,1,1,2,0.0062548
1,9,1,1,2,0.011619
1,9,1,1,2,0.0092185
1,9,1,2,1,0.0063302
1,9,1,2,1,0.0063424
1,9,1,2,1,0.0074843
1,9,1,2,2,0.0052087
1,9,1,2,2,0.92679
1,9,1,2,2,0.005547
1,9,1,3,1,0.0056778
1,9,1,3,1,0.006154
1,9,1,3,1,0.014955
1,9,1,3,2,0.0096504
1,9,1,3,2,0.0051938
1,9,1,3,2,0.0097503
1,9,4,1,1,0.0033301
1,9,4,1,1,0.0051422
1,9,4,1,1,0.0093409
1,9,4,1,2,0.0023937
1,9,4,1,2,0.018521
1,9,4,1,2,0.0081918
1,9,4,2,1,0.0036448
1,9,4,2,1,0.0047077
1,9,4,2,1,0.0039325
1,9,4,2,2,0.0032218
1,9,4,2,2,0.013296
1,9,4,2,2,0.0049044
1,9,4,3,1,0.0040255
1,9,4,3,1,0.016063
1,9,4,3,1,0.010243
1,9,4,3,2,0.010193
1,9,4,3,2,0.014904
1,9,4,3,2,0.016258
1,9,7,1,1,0.0068085
1,9,7,1,1,0.0081604
1,9,7,1,1,0.0051558
1,9,7,1,2,0.0053133
1,9,7,1,2,0.012288
1,9,7,1,2,0.005606
1,9,7,2,1,0.0077545
1,9,7,2,1,0.0070059
1,9,7,2,1,0.0043158
1,9,7,2,2,0.0051586
1,9,7,2,2,0.0062235
1,9,7,2,2,0.012934
1,9,7,3,1,0.0072595
1,9,7,3,1,0.0076649
1,9,7,3,1,0.0043809
1,9,7,3,2,0.019078
1,9,7,3,2,0.011481
1,9,7,3,2,0.039358
2,1,1,1,1,0.0035084
2,1,1,1,1,0.0019922
2,1,1,1,1,0.0061288
2,1,1,1,2,0.0035424
2,1,1,1,2,0.0048337
2,1,1,1,2,0.0046132
2,1,1,2,1,0.0019963
2,1,1,2,1,0.0018703
2,1,1,2,1,0.0019434
2,1,1,2,2,0.0062513
2,1,1,2,2,0.0047165
2,1,1,2,2,0.0084737
2,1,1,3,1,0.0042272
2,1,1,3,1,0.0025892
2,1,1,3,1,0.0029041
2,1,1,3,2,0.0069932
2,1,1,3,2,0.0067427
2,1,1,3,2,0.0067912
2,1,4,1,1,0.0012266
2,1,4,1,1,0.00098698
2,1,4,1,1,0.0015554
2,1,4,1,2,0.0014312
2,1,4,1,2,0.0034733
2,1,4,1,2,0.0016232
2,1,4,2,1,0.0010411
2,1,4,2,1,0.0015662
2,1,4,2,1,0.0015614
2,1,4,2,2,0.0036692
2,1,4,2,2,0.0022955
2,1,4,2,2,0.0050415
2,1,4,3,1,0.0013931
2,1,4,3,1,0.0030349
2,1,4,3,1,0.0026298
2,1,4,3,2,0.0077815
2,1,4,3,2,0.0069427
2,1,4,3,2,0.018155
2,1,7,1,1,0.0020754
