group , participant , session , IDRight , IDLeft , value
1,2,1,1,1,1
1,2,1,1,1,1
1,2,1,1,1,1
1,2,1,1,2,1
1,2,1,1,2,1
1,2,1,1,2,0.96429
1,2,1,2,1,0.89655
1,2,1,2,1,1
1,2,1,2,1,1
1,2,1,2,2,1
1,2,1,2,2,1
1,2,1,2,2,1
1,2,1,3,1,1
1,2,1,3,1,1
1,2,1,3,1,1
1,2,1,3,2,1
1,2,1,3,2,1
1,2,1,3,2,1
1,2,4,1,1,1
1,2,4,1,1,1
1,2,4,1,1,1
1,2,4,1,2,1
1,2,4,1,2,1
1,2,4,1,2,1
1,2,4,2,1,1
1,2,4,2,1,1
1,2,4,2,1,1
1,2,4,2,2,1
1,2,4,2,2,1
1,2,4,2,2,1
1,2,4,3,1,1
1,2,4,3,1,1
1,2,4,3,1,1
1,2,4,3,2,1
1,2,4,3,2,1
1,2,4,3,2,1
1,2,7,1,1,1
1,2,7,1,1,1
1,2,7,1,1,1
1,2,7,1,2,1
1,2,7,1,2,1
1,2,7,1,2,1.0417
1,2,7,2,1,1
1,2,7,2,1,1
1,2,7,2,1,1
1,2,7,2,2,1
1,2,7,2,2,1
1,2,7,2,2,1
1,2,7,3,1,1
1,2,7,3,1,1
1,2,7,3,1,1
1,2,7,3,2,1
1,2,7,3,2,1
1,2,7,3,2,1
1,3,1,1,1,1
1,3,1,1,1,1
1,3,1,1,1,1
1,3,1,1,2,1
1,3,1,1,2,1
1,3,1,1,2,1
1,3,1,2,1,1
1,3,1,2,1,1
1,3,1,2,1,1
1,3,1,2,2,1
1,3,1,2,2,1
1,3,1,2,2,1
1,3,1,3,1,1
1,3,1,3,1,1
1,3,1,3,1,1
1,3,1,3,2,1
1,3,1,3,2,1
1,3,1,3,2,1
1,3,4,1,1,1
1,3,4,1,1,1
1,3,4,1,1,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,2,1,1
1,3,4,2,1,1
1,3,4,2,1,1
1,3,4,2,2,1
1,3,4,2,2,1
1,3,4,2,2,1
1,3,4,3,1,1
1,3,4,3,1,1
1,3,4,3,1,1
1,3,4,3,2,1
1,3,4,3,2,1
1,3,4,3,2,1
1,3,7,1,1,1
1,3,7,1,1,1
1,3,7,1,1,1
1,3,7,1,2,1
1,3,7,1,2,1
1,3,7,1,2,1
1,3,7,2,1,1
1,3,7,2,1,1
1,3,7,2,1,1
1,3,7,2,2,1
1,3,7,2,2,1
1,3,7,2,2,1
1,3,7,3,1,1
1,3,7,3,1,1
1,3,7,3,1,1
1,3,7,3,2,1
1,3,7,3,2,1
1,3,7,3,2,1
1,6,1,1,1,1
1,6,1,1,1,1
1,6,1,1,1,1
1,6,1,1,2,1
1,6,1,1,2,1
1,6,1,1,2,1
1,6,1,2,1,1
1,6,1,2,1,1
1,6,1,2,1,1
1,6,1,2,2,1
1,6,1,2,2,1
1,6,1,2,2,1
1,6,1,3,1,1
1,6,1,3,1,1
1,6,1,3,1,1
1,6,1,3,2,1
1,6,1,3,2,1
1,6,1,3,2,1
1,6,4,1,1,1
1,6,4,1,1,1
1,6,4,1,1,1
1,6,4,1,2,1
1,6,4,1,2,1
1,6,4,1,2,1
1,6,4,2,1,1
1,6,4,2,1,1
1,6,4,2,1,1
1,6,4,2,2,1
1,6,4,2,2,1
1,6,4,2,2,1
1,6,4,3,1,1
1,6,4,3,1,1
1,6,4,3,1,1
1,6,4,3,2,1
1,6,4,3,2,1
1,6,4,3,2,1
1,6,7,1,1,1
1,6,7,1,1,1
1,6,7,1,1,1
1,6,7,1,2,1
1,6,7,1,2,1
1,6,7,1,2,1
1,6,7,2,1,1
1,6,7,2,1,1
1,6,7,2,1,1
1,6,7,2,2,1
1,6,7,2,2,1
1,6,7,2,2,1
1,6,7,3,1,1
1,6,7,3,1,1
1,6,7,3,1,1
1,6,7,3,2,1
1,6,7,3,2,1
1,6,7,3,2,1
1,8,1,1,1,1
1,8,1,1,1,1
1,8,1,1,1,1
1,8,1,1,2,1
1,8,1,1,2,1
1,8,1,1,2,1
1,8,1,2,1,1
1,8,1,2,1,1
1,8,1,2,1,1
1,8,1,2,2,1
1,8,1,2,2,1
1,8,1,2,2,1
1,8,1,3,1,1
1,8,1,3,1,1
1,8,1,3,1,1
1,8,1,3,2,1
1,8,1,3,2,1
1,8,1,3,2,1
1,8,4,1,1,1
1,8,4,1,1,1
1,8,4,1,1,1
1,8,4,1,2,1
1,8,4,1,2,1
1,8,4,1,2,1
1,8,4,2,1,1
1,8,4,2,1,1
1,8,4,2,1,1
1,8,4,2,2,1
1,8,4,2,2,1
1,8,4,2,2,1
1,8,4,3,1,1
1,8,4,3,1,1
1,8,4,3,1,1
1,8,4,3,2,1
1,8,4,3,2,1
1,8,4,3,2,1
1,8,7,1,1,1
1,8,7,1,1,1
1,8,7,1,1,1
1,8,7,1,2,1
1,8,7,1,2,1
1,8,7,1,2,1
1,8,7,2,1,1
1,8,7,2,1,1
1,8,7,2,1,1
1,8,7,2,2,1
1,8,7,2,2,1
1,8,7,2,2,1
1,8,7,3,1,1
1,8,7,3,1,1
1,8,7,3,1,1
1,8,7,3,2,1
1,8,7,3,2,1
1,8,7,3,2,1
1,9,1,1,1,1
1,9,1,1,1,1
1,9,1,1,1,1
1,9,1,1,2,1
1,9,1,1,2,1
1,9,1,1,2,1
1,9,1,2,1,1
1,9,1,2,1,1
1,9,1,2,1,1
1,9,1,2,2,1
1,9,1,2,2,1.0435
1,9,1,2,2,1
1,9,1,3,1,1
1,9,1,3,1,1
1,9,1,3,1,1
1,9,1,3,2,1
1,9,1,3,2,1
1,9,1,3,2,1
1,9,4,1,1,1
1,9,4,1,1,1
1,9,4,1,1,1
1,9,4,1,2,1
1,9,4,1,2,1
1,9,4,1,2,1
1,9,4,2,1,1
1,9,4,2,1,1
1,9,4,2,1,1
1,9,4,2,2,1
1,9,4,2,2,1
1,9,4,2,2,1
1,9,4,3,1,1
1,9,4,3,1,1
1,9,4,3,1,1
1,9,4,3,2,1
1,9,4,3,2,1
1,9,4,3,2,1
1,9,7,1,1,1
1,9,7,1,1,1
1,9,7,1,1,1
1,9,7,1,2,1
1,9,7,1,2,1
1,9,7,1,2,1
1,9,7,2,1,1
1,9,7,2,1,1
1,9,7,2,1,1
1,9,7,2,2,1
1,9,7,2,2,1
1,9,7,2,2,1
1,9,7,3,1,1
1,9,7,3,1,1
1,9,7,3,1,1
1,9,7,3,2,1
1,9,7,3,2,1
1,9,7,3,2,1
2,1,1,1,1,1
2,1,1,1,1,1
2,1,1,1,1,1
2,1,1,1,2,1
2,1,1,1,2,1
2,1,1,1,2,1
2,1,1,2,1,1
2,1,1,2,1,1
2,1,1,2,1,1
2,1,1,2,2,1
2,1,1,2,2,1
2,1,1,2,2,1
2,1,1,3,1,1
2,1,1,3,1,1
2,1,1,3,1,1
2,1,1,3,2,1
2,1,1,3,2,1
2,1,1,3,2,1
2,1,4,1,1,1
2,1,4,1,1,1
2,1,4,1,1,1
2,1,4,1,2,1
2,1,4,1,2,1
2,1,4,1,2,1
2,1,4,2,1,1
2,1,4,2,1,1
2,1,4,2,1,1
2,1,4,2,2,1
2,1,4,2,2,1
2,1,4,2,2,1
2,1,4,3,1,1
2,1,4,3,1,1
2,1,4,3,1,1
2,1,4,3,2,1
2,1,4,3,2,1
2,1,4,3,2,1
2,1,7,1,1,1
2,1,7,1,1,1
2,1,7,1,1,1
2,1,7,1,2,3.0435
2,1,7,1,2,3.1923
2,1,7,1,2,3.125
2,1,7,2,1,1
2,1,7,2,1,1
2,1,7,2,1,1
2,1,7,2,2,2.5417
2,1,7,2,2,1.8462
2,1,7,2,2,2
2,1,7,3,1,0.22523
2,1,7,3,1,0.23684
2,1,7,3,1,0.21538
2,1,7,3,2,1
2,1,7,3,2,1
2,1,7,3,2,1
2,4,1,1,1,1
2,4,1,1,1,1
2,4,1,1,1,1
2,4,1,1,2,1
2,4,1,1,2,1
2,4,1,1,2,1
2,4,1,2,1,1
2,4,1,2,1,0.95833
2,4,1,2,1,1
2,4,1,2,2,1
2,4,1,2,2,1
2,4,1,2,2,1
2,4,1,3,1,1
2,4,1,3,1,1
2,4,1,3,1,1
2,4,1,3,2,1
2,4,1,3,2,1
2,4,1,3,2,1
2,4,4,1,1,1
2,4,4,1,1,1
2,4,4,1,1,1
2,4,4,1,2,2.9615
2,4,4,1,2,2.963
2,4,4,1,2,2.9565
2,4,4,2,1,1
2,4,4,2,1,1
2,4,4,2,1,1
2,4,4,2,2,2.9615
2,4,4,2,2,3.0435
2,4,4,2,2,2.9615
2,4,4,3,1,0.32394
2,4,4,3,1,0.33846
2,4,4,3,1,0.33824
2,4,4,3,2,1
2,4,4,3,2,1
2,4,4,3,2,1
2,4,7,1,1,1
2,4,7,1,1,1
2,4,7,1,1,1
2,4,7,1,2,3.0455
2,4,7,1,2,3.0769
2,4,7,1,2,3.0476
2,4,7,2,1,0.33333
2,4,7,2,1,0.33735
2,4,7,2,1,0.32353
2,4,7,2,2,3
2,4,7,2,2,2.96
2,4,7,2,2,3.0385
2,4,7,3,1,0.32836
2,4,7,3,1,0.32877
2,4,7,3,1,0.33333
2,4,7,3,2,1
2,4,7,3,2,1
2,4,7,3,2,1
2,5,1,1,1,1
2,5,1,1,1,1
2,5,1,1,1,1
2,5,1,1,2,3.0833
2,5,1,1,2,1
2,5,1,1,2,2.8519
2,5,1,2,1,0.27632
2,5,1,2,1,0.28261
2,5,1,2,1,0.5
2,5,1,2,2,1
2,5,1,2,2,1.9231
2,5,1,2,2,1
2,5,1,3,1,0.26966
2,5,1,3,1,0.22034
2,5,1,3,1,0.22951
2,5,1,3,2,1
2,5,1,3,2,1
2,5,1,3,2,1
2,5,4,1,1,1
2,5,4,1,1,1
2,5,4,1,1,1
2,5,4,1,2,2.913
2,5,4,1,2,3.5417
2,5,4,1,2,3.1852
2,5,4,2,1,0.32857
2,5,4,2,1,0.34667
2,5,4,2,1,0.33846
2,5,4,2,2,1.8077
2,5,4,2,2,2
2,5,4,2,2,2.3043
2,5,4,3,1,0.2193
2,5,4,3,1,0.26136
2,5,4,3,1,0.25263
2,5,4,3,2,1
2,5,4,3,2,1
2,5,4,3,2,1
2,5,7,1,1,1
2,5,7,1,1,1
2,5,7,1,1,1
2,5,7,1,2,3.04
2,5,7,1,2,3.4167
2,5,7,1,2,2.9615
2,5,7,2,1,0.45283
2,5,7,2,1,0.41935
2,5,7,2,1,0.38462
2,5,7,2,2,2.04
2,5,7,2,2,2.6154
2,5,7,2,2,2.1667
2,5,7,3,1,0.33333
2,5,7,3,1,0.35938
2,5,7,3,1,0.31765
2,5,7,3,2,1
2,5,7,3,2,1
2,5,7,3,2,1
2,7,1,1,1,1
2,7,1,1,1,1
2,7,1,1,1,1
2,7,1,1,2,1
2,7,1,1,2,1
2,7,1,1,2,1
2,7,1,2,1,1
2,7,1,2,1,1
2,7,1,2,1,1
2,7,1,2,2,1
2,7,1,2,2,1
2,7,1,2,2,1
2,7,1,3,1,1
2,7,1,3,1,1
2,7,1,3,1,1
2,7,1,3,2,1
2,7,1,3,2,1
2,7,1,3,2,1
2,7,4,1,1,1
2,7,4,1,1,1
2,7,4,1,1,1
2,7,4,1,2,1
2,7,4,1,2,1
2,7,4,1,2,1
2,7,4,2,1,1
2,7,4,2,1,1
2,7,4,2,1,1
2,7,4,2,2,1
2,7,4,2,2,1
2,7,4,2,2,1
2,7,4,3,1,0.22222
2,7,4,3,1,0.21429
2,7,4,3,1,0.23762
2,7,4,3,2,1
2,7,4,3,2,1
2,7,4,3,2,1
2,7,7,1,1,1
2,7,7,1,1,1
2,7,7,1,1,1
2,7,7,1,2,2.75
2,7,7,1,2,2.9167
2,7,7,1,2,3.0435
2,7,7,2,1,0.36508
2,7,7,2,1,0.32857
2,7,7,2,1,0.35593
2,7,7,2,2,2.2727
2,7,7,2,2,1.5652
2,7,7,2,2,1.56
2,7,7,3,1,0.24731
2,7,7,3,1,0.25773
2,7,7,3,1,0.2625
2,7,7,3,2,1
2,7,7,3,2,1
2,7,7,3,2,1
2,10,1,1,1,1
2,10,1,1,1,1
2,10,1,1,1,1
2,10,1,1,2,0.96296
2,10,1,1,2,1
2,10,1,1,2,1.0417
2,10,1,2,1,1
2,10,1,2,1,1
2,10,1,2,1,1
2,10,1,2,2,1
2,10,1,2,2,1
2,10,1,2,2,1
2,10,1,3,1,1
2,10,1,3,1,1
2,10,1,3,1,1
2,10,1,3,2,1
2,10,1,3,2,1
2,10,1,3,2,1
2,10,4,1,1,1
2,10,4,1,1,1
2,10,4,1,1,1
2,10,4,1,2,1
2,10,4,1,2,1.2632
2,10,4,1,2,1
2,10,4,2,1,1
2,10,4,2,1,1
2,10,4,2,1,1
2,10,4,2,2,1
2,10,4,2,2,1.2174
2,10,4,2,2,1
2,10,4,3,1,1
2,10,4,3,1,1
2,10,4,3,1,1
2,10,4,3,2,1
2,10,4,3,2,1
2,10,4,3,2,1
2,10,7,1,1,1
2,10,7,1,1,1
2,10,7,1,1,1
2,10,7,1,2,1
2,10,7,1,2,1
2,10,7,1,2,1
2,10,7,2,1,1
2,10,7,2,1,1
2,10,7,2,1,1
2,10,7,2,2,1
2,10,7,2,2,1
2,10,7,2,2,1
2,10,7,3,1,1
2,10,7,3,1,1
2,10,7,3,1,1
2,10,7,3,2,1
2,10,7,3,2,1
2,10,7,3,2,1
