group , participant , session , IDRight , IDLeft , hand , value
1,2,1,1,1,1,22.661
1,2,1,1,1,1,10.088
1,2,1,1,1,1,12.487
1,2,1,1,1,2,7.7699
1,2,1,1,1,2,8.149
1,2,1,1,1,2,9.0388
1,2,1,1,2,1,3.3991
1,2,1,1,2,1,2.6934
1,2,1,1,2,1,4.4238
1,2,1,1,2,2,13.536
1,2,1,1,2,2,10.578
1,2,1,1,2,2,8.9177
1,2,1,2,1,1,16.832
1,2,1,2,1,1,5.213
1,2,1,2,1,1,9.3142
1,2,1,2,1,2,4.5144
1,2,1,2,1,2,4.0036
1,2,1,2,1,2,4.1171
1,2,1,2,2,1,2.6005
1,2,1,2,2,1,2.6
1,2,1,2,2,1,3.7822
1,2,1,2,2,2,6.9941
1,2,1,2,2,2,4.0245
1,2,1,2,2,2,4.7921
1,2,1,3,1,1,6.3892
1,2,1,3,1,1,11.618
1,2,1,3,1,1,3.8932
1,2,1,3,1,2,2.6747
1,2,1,3,1,2,4.3214
1,2,1,3,1,2,2.0781
1,2,1,3,2,1,3.7445
1,2,1,3,2,1,4.4183
1,2,1,3,2,1,10.788
1,2,1,3,2,2,5.4978
1,2,1,3,2,2,4.4686
1,2,1,3,2,2,7.9887
1,2,4,1,1,1,25.254
1,2,4,1,1,1,20.287
1,2,4,1,1,1,12.786
1,2,4,1,1,2,25.912
1,2,4,1,1,2,11.999
1,2,4,1,1,2,6.1791
1,2,4,1,2,1,3.2963
1,2,4,1,2,1,3.0322
1,2,4,1,2,1,3.3026
1,2,4,1,2,2,8.4275
1,2,4,1,2,2,6.1991
1,2,4,1,2,2,10.157
1,2,4,2,1,1,12.098
1,2,4,2,1,1,4.7518
1,2,4,2,1,1,11.377
1,2,4,2,1,2,12.108
1,2,4,2,1,2,3.3681
1,2,4,2,1,2,4.7151
1,2,4,2,2,1,5.3805
1,2,4,2,2,1,6.5143
1,2,4,2,2,1,6.9401
1,2,4,2,2,2,8.7264
1,2,4,2,2,2,11.264
1,2,4,2,2,2,11.525
1,2,4,3,1,1,7.3335
1,2,4,3,1,1,6.1538
1,2,4,3,1,1,5.9598
1,2,4,3,1,2,5.2491
1,2,4,3,1,2,5.0586
1,2,4,3,1,2,3.3727
1,2,4,3,2,1,9.7901
1,2,4,3,2,1,11.096
1,2,4,3,2,1,9.7585
1,2,4,3,2,2,9.7371
1,2,4,3,2,2,11.556
1,2,4,3,2,2,10.459
1,2,7,1,1,1,12.103
1,2,7,1,1,1,11.027
1,2,7,1,1,1,14.879
1,2,7,1,1,2,8.1664
1,2,7,1,1,2,8.8623
1,2,7,1,1,2,14.314
1,2,7,1,2,1,3.3311
1,2,7,1,2,1,3.4864
1,2,7,1,2,1,3.2233
1,2,7,1,2,2,11.986
1,2,7,1,2,2,8.4769
1,2,7,1,2,2,12.864
1,2,7,2,1,1,11.51
1,2,7,2,1,1,5.7277
1,2,7,2,1,1,7.615
1,2,7,2,1,2,7.1434
1,2,7,2,1,2,4.8362
1,2,7,2,1,2,5.4039
1,2,7,2,2,1,5.2549
1,2,7,2,2,1,5.6659
1,2,7,2,2,1,5.2117
1,2,7,2,2,2,13.709
1,2,7,2,2,2,8.733
1,2,7,2,2,2,8.0271
1,2,7,3,1,1,5.509
1,2,7,3,1,1,5.7612
1,2,7,3,1,1,6.0394
1,2,7,3,1,2,2.6813
1,2,7,3,1,2,2.8088
1,2,7,3,1,2,2.9465
1,2,7,3,2,1,11.727
1,2,7,3,2,1,11.863
1,2,7,3,2,1,14.31
1,2,7,3,2,2,11.724
1,2,7,3,2,2,12.22
1,2,7,3,2,2,14.264
1,3,1,1,1,1,20.683
1,3,1,1,1,1,13.211
1,3,1,1,1,1,12.44
1,3,1,1,1,2,27.114
1,3,1,1,1,2,17.942
1,3,1,1,1,2,15.008
1,3,1,1,2,1,5.2533
1,3,1,1,2,1,4.0966
1,3,1,1,2,1,3.6306
1,3,1,1,2,2,22.869
1,3,1,1,2,2,26.197
1,3,1,1,2,2,29.495
1,3,1,2,1,1,15.906
1,3,1,2,1,1,18.326
1,3,1,2,1,1,15.796
1,3,1,2,1,2,14.736
1,3,1,2,1,2,11.955
1,3,1,2,1,2,14.827
1,3,1,2,2,1,3.8352
1,3,1,2,2,1,3.3198
1,3,1,2,2,1,4.7161
1,3,1,2,2,2,8.6206
1,3,1,2,2,2,7.2998
1,3,1,2,2,2,12.169
1,3,1,3,1,1,10.73
1,3,1,3,1,1,12.409
1,3,1,3,1,1,5.5804
1,3,1,3,1,2,3.6158
1,3,1,3,1,2,4.4379
1,3,1,3,1,2,4.6085
1,3,1,3,2,1,4.5152
1,3,1,3,2,1,4.8183
1,3,1,3,2,1,5.2235
1,3,1,3,2,2,4.5292
1,3,1,3,2,2,4.8146
1,3,1,3,2,2,5.2155
1,3,4,1,1,1,25.729
1,3,4,1,1,1,20.701
1,3,4,1,1,1,16.313
1,3,4,1,1,2,20.877
1,3,4,1,1,2,19.097
1,3,4,1,1,2,12.47
1,3,4,1,2,1,7.4353
1,3,4,1,2,1,6.6334
1,3,4,1,2,1,5.1622
1,3,4,1,2,2,27.267
1,3,4,1,2,2,27.438
1,3,4,1,2,2,20.229
1,3,4,2,1,1,15.639
1,3,4,2,1,1,11.396
1,3,4,2,1,1,16.987
1,3,4,2,1,2,17.533
1,3,4,2,1,2,13.162
1,3,4,2,1,2,16.505
1,3,4,2,2,1,3.5951
1,3,4,2,2,1,3.3451
1,3,4,2,2,1,3.7091
1,3,4,2,2,2,8.7843
1,3,4,2,2,2,7.1867
1,3,4,2,2,2,7.7009
1,3,4,3,1,1,15.558
1,3,4,3,1,1,8.9867
1,3,4,3,1,1,9.1059
1,3,4,3,1,2,5.562
