group , participant , session , IDRight , IDLeft , hand , value
1,2,1,1,1,1,22.861
1,2,1,1,1,1,10.319
1,2,1,1,1,1,13.183
1,2,1,1,1,2,8.3698
1,2,1,1,1,2,8.5537
1,2,1,1,1,2,9.4411
1,2,1,1,2,1,4.8517
1,2,1,1,2,1,3.7529
1,2,1,1,2,1,5.9499
1,2,1,1,2,2,14.326
1,2,1,1,2,2,10.406
1,2,1,1,2,2,8.8794
1,2,1,2,1,1,17.758
1,2,1,2,1,1,5.7082
1,2,1,2,1,1,9.5875
1,2,1,2,1,2,5.6176
1,2,1,2,1,2,5.0639
1,2,1,2,1,2,4.7299
1,2,1,2,2,1,3.6497
1,2,1,2,2,1,3.5617
1,2,1,2,2,1,4.9354
1,2,1,2,2,2,8.2392
1,2,1,2,2,2,4.8642
1,2,1,2,2,2,5.0893
1,2,1,3,1,1,6.5223
1,2,1,3,1,1,11.561
1,2,1,3,1,1,4.0485
1,2,1,3,1,2,3.8525
1,2,1,3,1,2,6.1871
1,2,1,3,1,2,2.9717
1,2,1,3,2,1,4.6437
1,2,1,3,2,1,4.7855
1,2,1,3,2,1,12.272
1,2,1,3,2,2,7.8309
1,2,1,3,2,2,6.755
1,2,1,3,2,2,10.651
1,2,4,1,1,1,23.815
1,2,4,1,1,1,20.02
1,2,4,1,1,1,12.838
1,2,4,1,1,2,23.478
1,2,4,1,1,2,11.907
1,2,4,1,1,2,6.517
1,2,4,1,2,1,4.5965
1,2,4,1,2,1,4.6044
1,2,4,1,2,1,4.4065
1,2,4,1,2,2,7.6055
1,2,4,1,2,2,5.9474
1,2,4,1,2,2,10.03
1,2,4,2,1,1,12.22
1,2,4,2,1,1,5.0388
1,2,4,2,1,1,11.251
1,2,4,2,1,2,12.725
1,2,4,2,1,2,4.0348
1,2,4,2,1,2,5.2421
1,2,4,2,2,1,7.1927
1,2,4,2,2,1,9.2886
1,2,4,2,2,1,9.7388
1,2,4,2,2,2,8.9695
1,2,4,2,2,2,11.262
1,2,4,2,2,2,12.115
1,2,4,3,1,1,7.2518
1,2,4,3,1,1,6.2929
1,2,4,3,1,1,5.757
1,2,4,3,1,2,8.5003
1,2,4,3,1,2,7.4843
1,2,4,3,1,2,5.7478
1,2,4,3,2,1,11.414
1,2,4,3,2,1,11.603
1,2,4,3,2,1,10.447
1,2,4,3,2,2,10.77
1,2,4,3,2,2,14.776
1,2,4,3,2,2,12.102
1,2,7,1,1,1,11.964
1,2,7,1,1,1,11.329
1,2,7,1,1,1,14.7
1,2,7,1,1,2,7.8669
1,2,7,1,1,2,8.7856
1,2,7,1,1,2,14.47
1,2,7,1,2,1,5.0653
1,2,7,1,2,1,5.6295
1,2,7,1,2,1,4.2768
1,2,7,1,2,2,11.626
1,2,7,1,2,2,8.4684
1,2,7,1,2,2,13.03
1,2,7,2,1,1,10.498
1,2,7,2,1,1,5.4569
1,2,7,2,1,1,7.8912
1,2,7,2,1,2,7.9888
1,2,7,2,1,2,5.3894
1,2,7,2,1,2,6.4602
1,2,7,2,2,1,7.1019
1,2,7,2,2,1,9.6562
1,2,7,2,2,1,7.5682
1,2,7,2,2,2,14.102
1,2,7,2,2,2,10.215
1,2,7,2,2,2,8.4127
1,2,7,3,1,1,5.5914
1,2,7,3,1,1,5.8746
1,2,7,3,1,1,6.1176
1,2,7,3,1,2,4.3703
1,2,7,3,1,2,3.6362
1,2,7,3,1,2,4.4981
1,2,7,3,2,1,11.084
1,2,7,3,2,1,13.131
1,2,7,3,2,1,14.852
1,2,7,3,2,2,13.549
1,2,7,3,2,2,17.515
1,2,7,3,2,2,16.168
1,3,1,1,1,1,20.528
1,3,1,1,1,1,13.26
1,3,1,1,1,1,12.742
1,3,1,1,1,2,29.276
1,3,1,1,1,2,20.015
1,3,1,1,1,2,16.282
1,3,1,1,2,1,5.4505
1,3,1,1,2,1,5.488
1,3,1,1,2,1,5.0293
1,3,1,1,2,2,21.624
1,3,1,1,2,2,27.263
1,3,1,1,2,2,29.393
1,3,1,2,1,1,16.55
1,3,1,2,1,1,19.211
1,3,1,2,1,1,13.787
1,3,1,2,1,2,16.525
1,3,1,2,1,2,13.821
1,3,1,2,1,2,18.031
1,3,1,2,2,1,5.0443
1,3,1,2,2,1,4.278
1,3,1,2,2,1,5.9958
1,3,1,2,2,2,9.2329
1,3,1,2,2,2,8.0642
1,3,1,2,2,2,13.911
1,3,1,3,1,1,11.402
1,3,1,3,1,1,12.464
1,3,1,3,1,1,6.2359
1,3,1,3,1,2,5.6252
1,3,1,3,1,2,7.143
1,3,1,3,1,2,6.9643
1,3,1,3,2,1,4.5862
1,3,1,3,2,1,5.5465
1,3,1,3,2,1,5.4455
1,3,1,3,2,2,5.6757
1,3,1,3,2,2,6.9933
1,3,1,3,2,2,7.1318
1,3,4,1,1,1,25.734
1,3,4,1,1,1,21.242
1,3,4,1,1,1,16.702
1,3,4,1,1,2,20.208
1,3,4,1,1,2,18.804
1,3,4,1,1,2,12.079
1,3,4,1,2,1,8.5638
1,3,4,1,2,1,10.12
1,3,4,1,2,1,8.1189
1,3,4,1,2,2,26.619
1,3,4,1,2,2,27.577
1,3,4,1,2,2,20.523
1,3,4,2,1,1,14.795
1,3,4,2,1,1,12.048
1,3,4,2,1,1,16.616
1,3,4,2,1,2,21.005
1,3,4,2,1,2,15.032
1,3,4,2,1,2,17.43
1,3,4,2,2,1,5.8945
1,3,4,2,2,1,5.075
1,3,4,2,2,1,5.6863
1,3,4,2,2,2,10.38
1,3,4,2,2,2,8.292
1,3,4,2,2,2,8.9796
1,3,4,3,1,1,14.665
1,3,4,3,1,1,9.2161
1,3,4,3,1,1,8.9362
1,3,4,3,1,2,9.0167
1,3,4,3,1,2,12.048
1,3,4,3,1,2,11.998
1,3,4,3,2,1,6.2582
1,3,4,3,2,1,7.7852
1,3,4,3,2,1,7.9462
1,3,4,3,2,2,9.0595
1,3,4,3,2,2,9.3863
1,3,4,3,2,2,9.0459
1,3,7,1,1,1,30.796
1,3,7,1,1,1,24.464
1,3,7,1,1,1,25.045
1,3,7,1,1,2,29.86
1,3,7,1,1,2,24.938
1,3,7,1,1,2,26.342
1,3,7,1,2,1,11.2
1,3,7,1,2,1,12.244
1,3,7,1,2,1,8.9264
1,3,7,1,2,2,28.801
1,3,7,1,2,2,24.435
1,3,7,1,2,2,22.608
1,3,7,2,1,1,23.26
1,3,7,2,1,1,18.079
1,3,7,2,1,1,13.757
1,3,7,2,1,2,15.211
1,3,7,2,1,2,19.254
1,3,7,2,1,2,19.226
1,3,7,2,2,1,6.035
1,3,7,2,2,1,6.2304
1,3,7,2,2,1,5.7177
1,3,7,2,2,2,11.455
1,3,7,2,2,2,10.54
1,3,7,2,2,2,7.6253
1,3,7,3,1,1,23.729
1,3,7,3,1,1,26.203
1,3,7,3,1,1,25.577
1,3,7,3,1,2,10.373
1,3,7,3,1,2,5.8148
1,3,7,3,1,2,15.563
1,3,7,3,2,1,9.024
1,3,7,3,2,1,11.356
1,3,7,3,2,1,12.529
1,3,7,3,2,2,9.44
1,3,7,3,2,2,12.813
1,3,7,3,2,2,12.292
1,6,1,1,1,1,10.366
1,6,1,1,1,1,8.4921
1,6,1,1,1,1,12.193
1,6,1,1,1,2,21.662
1,6,1,1,1,2,13.621
1,6,1,1,1,2,11.769
1,6,1,1,2,1,3.5376
1,6,1,1,2,1,3.7557
1,6,1,1,2,1,2.5534
1,6,1,1,2,2,3.7565
1,6,1,1,2,2,5.8929
1,6,1,1,2,2,6.0104
1,6,1,2,1,1,13.893
1,6,1,2,1,1,13.076
1,6,1,2,1,1,13.488
1,6,1,2,1,2,6.1345
1,6,1,2,1,2,12.151
1,6,1,2,1,2,11.653
1,6,1,2,2,1,4.628
1,6,1,2,2,1,3.5073
1,6,1,2,2,1,3.7633
1,6,1,2,2,2,6.3901
1,6,1,2,2,2,4.0046
1,6,1,2,2,2,4.3085
1,6,1,3,1,1,7.5488
1,6,1,3,1,1,6.9067
1,6,1,3,1,1,13.469
1,6,1,3,1,2,7.6071
1,6,1,3,1,2,4.5804
1,6,1,3,1,2,9.8044
1,6,1,3,2,1,3.0906
1,6,1,3,2,1,3.8376
1,6,1,3,2,1,4.5581
1,6,1,3,2,2,3.6291
1,6,1,3,2,2,4.5503
1,6,1,3,2,2,4.7653
1,6,4,1,1,1,15.466
1,6,4,1,1,1,20.018
1,6,4,1,1,1,10.45
1,6,4,1,1,2,21.511
1,6,4,1,1,2,6.903
1,6,4,1,1,2,5.663
1,6,4,1,2,1,7.2182
1,6,4,1,2,1,4.822
1,6,4,1,2,1,5.3815
1,6,4,1,2,2,10.004
1,6,4,1,2,2,12.164
1,6,4,1,2,2,4.3602
1,6,4,2,1,1,11.232
1,6,4,2,1,1,8.8702
1,6,4,2,1,1,15.799
1,6,4,2,1,2,12.756
1,6,4,2,1,2,8.9579
1,6,4,2,1,2,11.111
1,6,4,2,2,1,5.1565
1,6,4,2,2,1,5.1205
1,6,4,2,2,1,4.1942
1,6,4,2,2,2,6.2463
1,6,4,2,2,2,5.691
1,6,4,2,2,2,5.109
1,6,4,3,1,1,17.628
1,6,4,3,1,1,7.8833
1,6,4,3,1,1,6.4632
1,6,4,3,1,2,9.1948
1,6,4,3,1,2,3.6538
1,6,4,3,1,2,3.6594
1,6,4,3,2,1,5.8397
1,6,4,3,2,1,5.9267
1,6,4,3,2,1,5.0898
1,6,4,3,2,2,5.9961
1,6,4,3,2,2,6.422
1,6,4,3,2,2,5.2695
1,6,7,1,1,1,23.957
1,6,7,1,1,1,20.706
1,6,7,1,1,1,18.683
1,6,7,1,1,2,24.543
1,6,7,1,1,2,21.361
1,6,7,1,1,2,18.736
1,6,7,1,2,1,14.096
1,6,7,1,2,1,15.695
1,6,7,1,2,1,13.87
1,6,7,1,2,2,12.106
1,6,7,1,2,2,11.03
1,6,7,1,2,2,5.9982
1,6,7,2,1,1,18.681
1,6,7,2,1,1,19.844
1,6,7,2,1,1,14.104
1,6,7,2,1,2,9.053
1,6,7,2,1,2,8.1273
1,6,7,2,1,2,6.4267
1,6,7,2,2,1,4.565
1,6,7,2,2,1,4.5033
1,6,7,2,2,1,4.9961
1,6,7,2,2,2,6.0995
1,6,7,2,2,2,5.315
1,6,7,2,2,2,6.067
1,6,7,3,1,1,7.5067
1,6,7,3,1,1,12.649
1,6,7,3,1,1,16.826
1,6,7,3,1,2,3.6908
1,6,7,3,1,2,5.2467
1,6,7,3,1,2,10.814
1,6,7,3,2,1,5.6331
1,6,7,3,2,1,7.0002
1,6,7,3,2,1,5.7888
1,6,7,3,2,2,6.9563
1,6,7,3,2,2,6.7098
1,6,7,3,2,2,6.7623
1,8,1,1,1,1,2.8914
1,8,1,1,1,1,6.7372
1,8,1,1,1,1,7.5744
1,8,1,1,1,2,7.3192
1,8,1,1,1,2,4.6806
1,8,1,1,1,2,13.694
1,8,1,1,2,1,3.4304
1,8,1,1,2,1,2.9621
1,8,1,1,2,1,3.1458
1,8,1,1,2,2,15.148
1,8,1,1,2,2,12.643
1,8,1,1,2,2,5.9553
1,8,1,2,1,1,13.77
1,8,1,2,1,1,10.725
1,8,1,2,1,1,3.8791
1,8,1,2,1,2,11.122
1,8,1,2,1,2,13.107
1,8,1,2,1,2,7.2589
1,8,1,2,2,1,4.7046
1,8,1,2,2,1,4.3251
1,8,1,2,2,1,4.2136
1,8,1,2,2,2,6.0416
1,8,1,2,2,2,7.8199
1,8,1,2,2,2,5.4562
1,8,1,3,1,1,7.205
1,8,1,3,1,1,6.6769
1,8,1,3,1,1,8.9887
1,8,1,3,1,2,3.1567
1,8,1,3,1,2,9.6598
1,8,1,3,1,2,8.5361
1,8,1,3,2,1,7.7055
