group , participant , session , IDRight , IDLeft , hand , value
1,2,1,1,1,1,1.0488
1,2,1,1,1,1,1.4587
1,2,1,1,1,1,1.4295
1,2,1,1,1,2,1.5562
1,2,1,1,1,2,1.604
1,2,1,1,1,2,1.5811
1,2,1,1,2,1,1.5498
1,2,1,1,2,1,1.3435
1,2,1,1,2,1,1.1356
1,2,1,1,2,2,1.3232
1,2,1,1,2,2,1.1206
1,2,1,1,2,2,1.171
1,2,1,2,1,1,1.1265
1,2,1,2,1,1,1.6574
1,2,1,2,1,1,1.3693
1,2,1,2,1,2,1.4868
1,2,1,2,1,2,1.5495
1,2,1,2,1,2,1.4602
1,2,1,2,2,1,1.1134
1,2,1,2,2,1,1.0125
1,2,1,2,2,1,0.89083
1,2,1,2,2,2,0.99371
1,2,1,2,2,2,1.0081
1,2,1,2,2,2,0.89113
1,2,1,3,1,1,1.325
1,2,1,3,1,1,1.2869
1,2,1,3,1,1,1.4007
1,2,1,3,1,2,1.2821
1,2,1,3,1,2,1.358
1,2,1,3,1,2,1.3587
1,2,1,3,2,1,0.72489
1,2,1,3,2,1,0.62685
1,2,1,3,2,1,0.50594
1,2,1,3,2,2,0.63129
1,2,1,3,2,2,0.60447
1,2,1,3,2,2,0.51046
1,2,4,1,1,1,0.71879
1,2,4,1,1,1,0.86809
1,2,4,1,1,1,1.1292
1,2,4,1,1,2,0.81528
1,2,4,1,1,2,1.0997
1,2,4,1,1,2,1.3088
1,2,4,1,2,1,0.83386
1,2,4,1,2,1,0.87181
1,2,4,1,2,1,0.79855
1,2,4,1,2,2,0.78361
1,2,4,1,2,2,0.86257
1,2,4,1,2,2,0.78521
1,2,4,2,1,1,1.0994
1,2,4,2,1,1,1.1757
1,2,4,2,1,1,1.073
1,2,4,2,1,2,1.0782
1,2,4,2,1,2,1.2103
1,2,4,2,1,2,1.1115
1,2,4,2,2,1,0.54095
1,2,4,2,2,1,0.4364
1,2,4,2,2,1,0.40895
1,2,4,2,2,2,0.49795
1,2,4,2,2,2,0.40532
1,2,4,2,2,2,0.37827
1,2,4,3,1,1,0.99851
1,2,4,3,1,1,0.92726
1,2,4,3,1,1,0.91764
1,2,4,3,1,2,0.96553
1,2,4,3,1,2,0.87438
1,2,4,3,1,2,0.88595
1,2,4,3,2,1,0.28009
1,2,4,3,2,1,0.24514
1,2,4,3,2,1,0.31289
1,2,4,3,2,2,0.28425
1,2,4,3,2,2,0.24518
1,2,4,3,2,2,0.29889
1,2,7,1,1,1,1.037
1,2,7,1,1,1,1.025
1,2,7,1,1,1,0.98298
1,2,7,1,1,2,1.0484
1,2,7,1,1,2,1.062
1,2,7,1,1,2,0.97794
1,2,7,1,2,1,0.78589
1,2,7,1,2,1,0.75616
1,2,7,1,2,1,0.81106
1,2,7,1,2,2,0.75194
1,2,7,1,2,2,0.73918
1,2,7,1,2,2,0.76362
1,2,7,2,1,1,0.87273
1,2,7,2,1,1,0.94254
1,2,7,2,1,1,1.0249
1,2,7,2,1,2,0.90796
1,2,7,2,1,2,0.90791
1,2,7,2,1,2,0.99466
1,2,7,2,2,1,0.5188
1,2,7,2,2,1,0.4631
1,2,7,2,2,1,0.50196
1,2,7,2,2,2,0.44552
1,2,7,2,2,2,0.46251
1,2,7,2,2,2,0.50145
1,2,7,3,1,1,1.0317
1,2,7,3,1,1,0.92975
1,2,7,3,1,1,0.88904
1,2,7,3,1,2,1.0399
1,2,7,3,1,2,0.93079
1,2,7,3,1,2,0.88824
1,2,7,3,2,1,0.23365
1,2,7,3,2,1,0.2641
1,2,7,3,2,1,0.20649
1,2,7,3,2,2,0.23371
1,2,7,3,2,2,0.24058
1,2,7,3,2,2,0.20413
1,3,1,1,1,1,1.0604
1,3,1,1,1,1,1.3352
1,3,1,1,1,1,1.411
1,3,1,1,1,2,0.88082
1,3,1,1,1,2,1.1126
1,3,1,1,1,2,1.2849
1,3,1,1,2,1,1.237
1,3,1,1,2,1,1.0918
1,3,1,1,2,1,1.1638
1,3,1,1,2,2,0.83431
1,3,1,1,2,2,0.76935
1,3,1,1,2,2,0.6957
1,3,1,2,1,1,1.4562
1,3,1,2,1,1,1.1511
1,3,1,2,1,1,1.2196
1,3,1,2,1,2,1.2334
1,3,1,2,1,2,1.1526
1,3,1,2,1,2,1.0474
1,3,1,2,2,1,0.81735
1,3,1,2,2,1,0.78979
1,3,1,2,2,1,0.77006
1,3,1,2,2,2,0.75498
1,3,1,2,2,2,0.75571
1,3,1,2,2,2,0.69149
1,3,1,3,1,1,1.1599
1,3,1,3,1,1,1.1149
1,3,1,3,1,1,1.4931
1,3,1,3,1,2,1.2019
1,3,1,3,1,2,1.1082
1,3,1,3,1,2,1.396
1,3,1,3,2,1,0.5788
1,3,1,3,2,1,0.54322
1,3,1,3,2,1,0.49967
1,3,1,3,2,2,0.57812
1,3,1,3,2,2,0.54316
1,3,1,3,2,2,0.49964
1,3,4,1,1,1,0.91921
1,3,4,1,1,1,1.0352
1,3,4,1,1,1,1.1437
1,3,4,1,1,2,1.0022
1,3,4,1,1,2,0.964
1,3,4,1,1,2,1.171
1,3,4,1,2,1,0.84017
1,3,4,1,2,1,0.92528
1,3,4,1,2,1,1.0989
1,3,4,1,2,2,0.66461
1,3,4,1,2,2,0.68977
1,3,4,1,2,2,0.85011
1,3,4,2,1,1,1.0124
1,3,4,2,1,1,1.1723
1,3,4,2,1,1,1.0119
1,3,4,2,1,2,0.84119
1,3,4,2,1,2,1.0636
1,3,4,2,1,2,0.90995
1,3,4,2,2,1,0.72928
1,3,4,2,2,1,0.78641
1,3,4,2,2,1,0.70761
1,3,4,2,2,2,0.69945
1,3,4,2,2,2,0.76006
1,3,4,2,2,2,0.69428
1,3,4,3,1,1,1.0015
1,3,4,3,1,1,1.2177
1,3,4,3,1,1,1.1824
1,3,4,3,1,2,1.0388
1,3,4,3,1,2,0.99052
1,3,4,3,1,2,0.98452
1,3,4,3,2,1,0.41812
1,3,4,3,2,1,0.41149
1,3,4,3,2,1,0.41394
1,3,4,3,2,2,0.41695
1,3,4,3,2,2,0.41019
1,3,4,3,2,2,0.41248
1,3,7,1,1,1,0.58302
1,3,7,1,1,1,0.73033
1,3,7,1,1,1,0.66821
1,3,7,1,1,2,0.73701
1,3,7,1,1,2,0.69004
1,3,7,1,1,2,0.79619
1,3,7,1,2,1,0.77974
1,3,7,1,2,1,0.86056
1,3,7,1,2,1,0.91572
1,3,7,1,2,2,0.60648
1,3,7,1,2,2,0.718
1,3,7,1,2,2,0.70923
1,3,7,2,1,1,0.81403
1,3,7,2,1,1,0.86768
1,3,7,2,1,1,0.83556
1,3,7,2,1,2,0.8836
