group , participant , session , IDRight , IDLeft , hand , value
1,2,1,1,1,1,1.211
1,2,1,1,1,1,1.1064
1,2,1,1,1,1,1.2194
1,2,1,1,1,2,1.3349
1,2,1,1,1,2,1.2704
1,2,1,1,1,2,1.4335
1,2,1,1,2,1,1.4395
1,2,1,1,2,1,1.4233
1,2,1,1,2,1,1.2397
1,2,1,1,2,2,1.3071
1,2,1,1,2,2,1.3197
1,2,1,1,2,2,1.4261
1,2,1,2,1,1,1.1929
1,2,1,2,1,1,1.2438
1,2,1,2,1,1,1.2461
1,2,1,2,1,2,1.3583
1,2,1,2,1,2,1.7269
1,2,1,2,1,2,1.3519
1,2,1,2,2,1,1.752
1,2,1,2,2,1,1.5927
1,2,1,2,2,1,1.2116
1,2,1,2,2,2,1.4455
1,2,1,2,2,2,1.3768
1,2,1,2,2,2,1.1638
1,2,1,3,1,1,1.1718
1,2,1,3,1,1,1.1948
1,2,1,3,1,1,1.333
1,2,1,3,1,2,1.3286
1,2,1,3,1,2,1.5873
1,2,1,3,1,2,1.4986
1,2,1,3,2,1,1.198
1,2,1,3,2,1,1.1913
1,2,1,3,2,1,1.0802
1,2,1,3,2,2,1.2796
1,2,1,3,2,2,1.1708
1,2,1,3,2,2,1.1878
1,2,4,1,1,1,1.1512
1,2,4,1,1,1,1.1643
1,2,4,1,1,1,1.3068
1,2,4,1,1,2,1.2787
1,2,4,1,1,2,1.5498
1,2,4,1,1,2,1.5177
1,2,4,1,2,1,1.2155
1,2,4,1,2,1,1.4958
1,2,4,1,2,1,1.223
1,2,4,1,2,2,1.3584
1,2,4,1,2,2,1.643
1,2,4,1,2,2,1.3762
1,2,4,2,1,1,1.2005
1,2,4,2,1,1,1.4132
1,2,4,2,1,1,1.2859
1,2,4,2,1,2,1.4898
1,2,4,2,1,2,1.4942
1,2,4,2,1,2,1.3872
1,2,4,2,2,1,0.94568
1,2,4,2,2,1,0.88295
1,2,4,2,2,1,0.95154
1,2,4,2,2,2,1.0639
1,2,4,2,2,2,0.98121
1,2,4,2,2,2,0.96966
1,2,4,3,1,1,1.7074
1,2,4,3,1,1,1.6646
1,2,4,3,1,1,1.525
1,2,4,3,1,2,1.7216
1,2,4,3,1,2,1.5226
1,2,4,3,1,2,1.6318
1,2,4,3,2,1,0.98959
1,2,4,3,2,1,0.93709
1,2,4,3,2,1,0.9918
1,2,4,3,2,2,1.0766
1,2,4,3,2,2,0.97778
1,2,4,3,2,2,1.0906
1,2,7,1,1,1,1.145
1,2,7,1,1,1,1.1461
1,2,7,1,1,1,1.292
1,2,7,1,1,2,1.4064
1,2,7,1,1,2,1.2845
1,2,7,1,1,2,1.4011
1,2,7,1,2,1,1.4026
1,2,7,1,2,1,1.1949
1,2,7,1,2,1,1.2908
1,2,7,1,2,2,1.3752
1,2,7,1,2,2,1.2984
1,2,7,1,2,2,1.3656
1,2,7,2,1,1,1.4474
1,2,7,2,1,1,1.3708
1,2,7,2,1,1,1.5779
1,2,7,2,1,2,1.6335
1,2,7,2,1,2,1.634
1,2,7,2,1,2,1.6889
1,2,7,2,2,1,1.11
1,2,7,2,2,1,1.0782
1,2,7,2,2,1,1.0525
1,2,7,2,2,2,1.1095
1,2,7,2,2,2,1.0537
1,2,7,2,2,2,1.0581
1,2,7,3,1,1,1.5703
1,2,7,3,1,1,1.4582
1,2,7,3,1,1,1.524
1,2,7,3,1,2,1.6477
1,2,7,3,1,2,1.7296
1,2,7,3,1,2,1.9666
1,2,7,3,2,1,0.88778
1,2,7,3,2,1,0.9143
1,2,7,3,2,1,0.94307
1,2,7,3,2,2,0.95248
1,2,7,3,2,2,0.973
1,2,7,3,2,2,0.9599
