group , participant , session , IDRight , IDLeft , hand , value
1,2,1,1,1,1,0.49992
1,2,1,1,1,1,0.52001
1,2,1,1,1,1,0.4995
1,2,1,1,1,2,0.48271
1,2,1,1,1,2,0.497
1,2,1,1,1,2,0.485
1,2,1,1,2,1,0.50761
1,2,1,1,2,1,0.50051
1,2,1,1,2,1,0.52024
1,2,1,1,2,2,0.49882
1,2,1,1,2,2,0.51041
1,2,1,1,2,2,0.51273
1,2,1,2,1,1,0.50249
1,2,1,2,1,1,0.5045
1,2,1,2,1,1,0.5069
1,2,1,2,1,2,0.48125
1,2,1,2,1,2,0.46362
1,2,1,2,1,2,0.4708
1,2,1,2,2,1,0.48517
1,2,1,2,2,1,0.49468
1,2,1,2,2,1,0.50282
1,2,1,2,2,2,0.50116
1,2,1,2,2,2,0.50332
1,2,1,2,2,2,0.50563
1,2,1,3,1,1,0.51603
1,2,1,3,1,1,0.51574
1,2,1,3,1,1,0.50681
1,2,1,3,1,2,0.50298
1,2,1,3,1,2,0.46511
1,2,1,3,1,2,0.48074
1,2,1,3,2,1,0.49581
1,2,1,3,2,1,0.46846
1,2,1,3,2,1,0.49798
1,2,1,3,2,2,0.47695
1,2,1,3,2,2,0.47248
1,2,1,3,2,2,0.48203
1,2,4,1,1,1,0.50155
1,2,4,1,1,1,0.50338
1,2,4,1,1,1,0.48425
1,2,4,1,1,2,0.49459
1,2,4,1,1,2,0.46856
1,2,4,1,1,2,0.47444
1,2,4,1,2,1,0.52867
1,2,4,1,2,1,0.50424
1,2,4,1,2,1,0.51642
1,2,4,1,2,2,0.51425
1,2,4,1,2,2,0.492
1,2,4,1,2,2,0.51034
1,2,4,2,1,1,0.52608
1,2,4,2,1,1,0.50735
1,2,4,2,1,1,0.50358
1,2,4,2,1,2,0.45884
1,2,4,2,1,2,0.46052
1,2,4,2,1,2,0.47142
1,2,4,2,2,1,0.52338
1,2,4,2,2,1,0.53471
1,2,4,2,2,1,0.51918
1,2,4,2,2,2,0.49606
1,2,4,2,2,2,0.50961
1,2,4,2,2,2,0.51656
1,2,4,3,1,1,0.49109
1,2,4,3,1,1,0.49442
1,2,4,3,1,1,0.51404
1,2,4,3,1,2,0.49415
1,2,4,3,1,2,0.50404
1,2,4,3,1,2,0.50204
1,2,4,3,2,1,0.50693
1,2,4,3,2,1,0.521
1,2,4,3,2,1,0.50778
1,2,4,3,2,2,0.49023
1,2,4,3,2,2,0.50988
1,2,4,3,2,2,0.48697
1,2,7,1,1,1,0.50784
1,2,7,1,1,1,0.51277
1,2,7,1,1,1,0.50727
1,2,7,1,1,2,0.47539
1,2,7,1,1,2,0.48112
1,2,7,1,1,2,0.48357
1,2,7,1,2,1,0.49729
1,2,7,1,2,1,0.5047
1,2,7,1,2,1,0.51861
1,2,7,1,2,2,0.50251
1,2,7,1,2,2,0.50581
1,2,7,1,2,2,0.51706
1,2,7,2,1,1,0.50566
1,2,7,2,1,1,0.50679
1,2,7,2,1,1,0.49364
1,2,7,2,1,2,0.46558
1,2,7,2,1,2,0.48704
1,2,7,2,1,2,0.46639
1,2,7,2,2,1,0.48415
1,2,7,2,2,1,0.48473
1,2,7,2,2,1,0.49605
1,2,7,2,2,2,0.49295
1,2,7,2,2,2,0.4922
1,2,7,2,2,2,0.49066
1,2,7,3,1,1,0.49208
1,2,7,3,1,1,0.50428
1,2,7,3,1,1,0.50734
1,2,7,3,1,2,0.49563
1,2,7,3,1,2,0.48096
1,2,7,3,1,2,0.47971
1,2,7,3,2,1,0.53417
1,2,7,3,2,1,0.52786
1,2,7,3,2,1,0.51979
1,2,7,3,2,2,0.51935
1,2,7,3,2,2,0.51728
1,2,7,3,2,2,0.51781
1,3,1,1,1,1,0.51704
1,3,1,1,1,1,0.51206
1,3,1,1,1,1,0.51793
1,3,1,1,1,2,0.52227
1,3,1,1,1,2,0.5277
1,3,1,1,1,2,0.53781
1,3,1,1,2,1,0.4996
1,3,1,1,2,1,0.50387
1,3,1,1,2,1,0.50544
1,3,1,1,2,2,0.53123
1,3,1,1,2,2,0.50804
1,3,1,1,2,2,0.52751
1,3,1,2,1,1,0.49374
1,3,1,2,1,1,0.52213
1,3,1,2,1,1,0.50766
1,3,1,2,1,2,0.51337
1,3,1,2,1,2,0.52459
1,3,1,2,1,2,0.51702
1,3,1,2,2,1,0.5047
1,3,1,2,2,1,0.51486
1,3,1,2,2,1,0.50664
1,3,1,2,2,2,0.52113
1,3,1,2,2,2,0.52269
1,3,1,2,2,2,0.52763
1,3,1,3,1,1,0.52142
1,3,1,3,1,1,0.50544
1,3,1,3,1,1,0.50962
1,3,1,3,1,2,0.5281
1,3,1,3,1,2,0.53904
1,3,1,3,1,2,0.527
1,3,1,3,2,1,0.50821
1,3,1,3,2,1,0.53075
1,3,1,3,2,1,0.53576
1,3,1,3,2,2,0.52927
1,3,1,3,2,2,0.52319
1,3,1,3,2,2,0.55374
1,3,4,1,1,1,0.51768
1,3,4,1,1,1,0.52186
1,3,4,1,1,1,0.53255
1,3,4,1,1,2,0.5262
1,3,4,1,1,2,0.51764
1,3,4,1,1,2,0.50161
1,3,4,1,2,1,0.49922
1,3,4,1,2,1,0.46981
1,3,4,1,2,1,0.51575
1,3,4,1,2,2,0.51147
1,3,4,1,2,2,0.50576
1,3,4,1,2,2,0.5149
1,3,4,2,1,1,0.50144
1,3,4,2,1,1,0.50831
1,3,4,2,1,1,0.54111
1,3,4,2,1,2,0.50332
1,3,4,2,1,2,0.50506
1,3,4,2,1,2,0.49713
1,3,4,2,2,1,0.50951
1,3,4,2,2,1,0.49182
1,3,4,2,2,1,0.51183
1,3,4,2,2,2,0.51352
1,3,4,2,2,2,0.50286
1,3,4,2,2,2,0.49193
1,3,4,3,1,1,0.52381
1,3,4,3,1,1,0.52356
1,3,4,3,1,1,0.52897
1,3,4,3,1,2,0.5118
1,3,4,3,1,2,0.52001
1,3,4,3,1,2,0.50157
1,3,4,3,2,1,0.5338
1,3,4,3,2,1,0.54466
1,3,4,3,2,1,0.54342
1,3,4,3,2,2,0.52708
1,3,4,3,2,2,0.50709
1,3,4,3,2,2,0.51398
1,3,7,1,1,1,0.52174
1,3,7,1,1,1,0.519
1,3,7,1,1,1,0.50276
1,3,7,1,1,2,0.52535
1,3,7,1,1,2,0.52264
1,3,7,1,1,2,0.52297
1,3,7,1,2,1,0.5083
1,3,7,1,2,1,0.49874
1,3,7,1,2,1,0.495
1,3,7,1,2,2,0.5023
1,3,7,1,2,2,0.52133
1,3,7,1,2,2,0.50664
1,3,7,2,1,1,0.49341
1,3,7,2,1,1,0.49776
1,3,7,2,1,1,0.49727
1,3,7,2,1,2,0.50606
1,3,7,2,1,2,0.51344
1,3,7,2,1,2,0.53164
1,3,7,2,2,1,0.50589
1,3,7,2,2,1,0.49208
1,3,7,2,2,1,0.49828
1,3,7,2,2,2,0.50801
1,3,7,2,2,2,0.51878
1,3,7,2,2,2,0.50352
1,3,7,3,1,1,0.50981
1,3,7,3,1,1,0.50168
1,3,7,3,1,1,0.51876
1,3,7,3,1,2,0.52915
1,3,7,3,1,2,0.50299
1,3,7,3,1,2,0.52631
1,3,7,3,2,1,0.56685
1,3,7,3,2,1,0.57522
1,3,7,3,2,1,0.57377
1,3,7,3,2,2,0.54192
1,3,7,3,2,2,0.55323
1,3,7,3,2,2,0.56754
1,6,1,1,1,1,0.52573
1,6,1,1,1,1,0.54093
1,6,1,1,1,1,0.52165
1,6,1,1,1,2,0.50688
1,6,1,1,1,2,0.52035
1,6,1,1,1,2,0.5021
1,6,1,1,2,1,0.51166
1,6,1,1,2,1,0.50891
1,6,1,1,2,1,0.51453
1,6,1,1,2,2,0.49879
1,6,1,1,2,2,0.49214
1,6,1,1,2,2,0.51516
1,6,1,2,1,1,0.5144
1,6,1,2,1,1,0.53658
1,6,1,2,1,1,0.52693
