group , participant , session , IDRight , IDLeft , hand , value
1,2,1,1,1,1,0.50434
1,2,1,1,1,1,0.48188
1,2,1,1,1,1,0.50285
1,2,1,1,1,2,0.51875
1,2,1,1,1,2,0.50454
1,2,1,1,1,2,0.5167
1,2,1,1,2,1,0.4937
1,2,1,1,2,1,0.50052
1,2,1,1,2,1,0.48146
1,2,1,1,2,2,0.50372
1,2,1,1,2,2,0.49158
1,2,1,1,2,2,0.48894
1,2,1,2,1,1,0.50067
1,2,1,2,1,1,0.49648
1,2,1,2,1,1,0.49485
1,2,1,2,1,2,0.51988
1,2,1,2,1,2,0.53738
1,2,1,2,1,2,0.53023
1,2,1,2,2,1,0.51583
1,2,1,2,2,1,0.50632
1,2,1,2,2,1,0.49863
1,2,1,2,2,2,0.50059
1,2,1,2,2,2,0.49769
1,2,1,2,2,2,0.49557
1,2,1,3,1,1,0.48517
1,2,1,3,1,1,0.48644
1,2,1,3,1,1,0.49392
1,2,1,3,1,2,0.49805
1,2,1,3,1,2,0.53655
1,2,1,3,1,2,0.52006
1,2,1,3,2,1,0.50563
1,2,1,3,2,1,0.53324
1,2,1,3,2,1,0.50617
1,2,1,3,2,2,0.52516
1,2,1,3,2,2,0.52923
1,2,1,3,2,2,0.52105
1,2,4,1,1,1,0.50319
1,2,4,1,1,1,0.50043
1,2,4,1,1,1,0.51816
1,2,4,1,1,2,0.51028
1,2,4,1,1,2,0.53369
1,2,4,1,1,2,0.52672
1,2,4,1,2,1,0.4726
1,2,4,1,2,1,0.49692
1,2,4,1,2,1,0.48485
1,2,4,1,2,2,0.48734
1,2,4,1,2,2,0.50916
1,2,4,1,2,2,0.49157
1,2,4,2,1,1,0.4762
1,2,4,2,1,1,0.49355
1,2,4,2,1,1,0.49855
1,2,4,2,1,2,0.54419
1,2,4,2,1,2,0.54032
1,2,4,2,1,2,0.52976
1,2,4,2,2,1,0.47869
1,2,4,2,2,1,0.46779
1,2,4,2,2,1,0.48349
1,2,4,2,2,2,0.50612
1,2,4,2,2,2,0.49321
1,2,4,2,2,2,0.48632
1,2,4,3,1,1,0.51029
1,2,4,3,1,1,0.50674
1,2,4,3,1,1,0.48708
1,2,4,3,1,2,0.50787
1,2,4,3,1,2,0.49791
1,2,4,3,1,2,0.49925
1,2,4,3,2,1,0.49683
1,2,4,3,2,1,0.48327
1,2,4,3,2,1,0.49597
1,2,4,3,2,2,0.51351
1,2,4,3,2,2,0.49456
1,2,4,3,2,2,0.51705
1,2,7,1,1,1,0.49443
1,2,7,1,1,1,0.4893
1,2,7,1,1,1,0.49552
1,2,7,1,1,2,0.52614
1,2,7,1,1,2,0.52054
1,2,7,1,1,2,0.51912
1,2,7,1,2,1,0.50399
1,2,7,1,2,1,0.49664
1,2,7,1,2,1,0.48263
1,2,7,1,2,2,0.49975
1,2,7,1,2,2,0.49578
1,2,7,1,2,2,0.48535
1,2,7,2,1,1,0.4965
1,2,7,2,1,1,0.49429
1,2,7,2,1,1,0.50779
1,2,7,2,1,2,0.5362
1,2,7,2,1,2,0.51416
1,2,7,2,1,2,0.53496
1,2,7,2,2,1,0.51787
1,2,7,2,2,1,0.51745
1,2,7,2,2,1,0.50596
1,2,7,2,2,2,0.51048
1,2,7,2,2,2,0.50998
1,2,7,2,2,2,0.51135
1,2,7,3,1,1,0.50896
1,2,7,3,1,1,0.4968
