group , participant , session , IDRight , IDLeft , hand , value
1,2,1,1,1,1,0.15247
1,2,1,1,1,1,0.15885
1,2,1,1,1,1,0.14482
1,2,1,1,1,2,0.19361
1,2,1,1,1,2,0.19972
1,2,1,1,1,2,0.15413
1,2,1,1,2,1,0.19004
1,2,1,1,2,1,0.21214
1,2,1,1,2,1,0.18826
1,2,1,1,2,2,0.14741
1,2,1,1,2,2,0.17007
1,2,1,1,2,2,0.18638
1,2,1,2,1,1,0.14128
1,2,1,2,1,1,0.17926
1,2,1,2,1,1,0.16596
1,2,1,2,1,2,0.19365
1,2,1,2,1,2,0.17472
1,2,1,2,1,2,0.19877
1,2,1,2,2,1,0.26336
1,2,1,2,2,1,0.22397
1,2,1,2,2,1,0.22803
1,2,1,2,2,2,0.22746
1,2,1,2,2,2,0.23512
1,2,1,2,2,2,0.23632
1,2,1,3,1,1,0.19387
1,2,1,3,1,1,0.15969
1,2,1,3,1,1,0.19924
1,2,1,3,1,2,0.20778
1,2,1,3,1,2,0.17295
1,2,1,3,1,2,0.20225
1,2,1,3,2,1,0.27808
1,2,1,3,2,1,0.27398
1,2,1,3,2,1,0.22618
1,2,1,3,2,2,0.2436
1,2,1,3,2,2,0.26611
1,2,1,3,2,2,0.23112
1,2,4,1,1,1,0.15534
1,2,4,1,1,1,0.19103
1,2,4,1,1,1,0.2209
1,2,4,1,1,2,0.14222
1,2,4,1,1,2,0.20599
1,2,4,1,1,2,0.21624
1,2,4,1,2,1,0.2878
1,2,4,1,2,1,0.30276
1,2,4,1,2,1,0.34433
1,2,4,1,2,2,0.21303
1,2,4,1,2,2,0.24869
1,2,4,1,2,2,0.30576
1,2,4,2,1,1,0.17087
1,2,4,2,1,1,0.21041
1,2,4,2,1,1,0.18761
1,2,4,2,1,2,0.17377
1,2,4,2,1,2,0.22042
1,2,4,2,1,2,0.18622
1,2,4,2,2,1,0.34398
1,2,4,2,2,1,0.39503
1,2,4,2,2,1,0.43432
1,2,4,2,2,2,0.32025
1,2,4,2,2,2,0.37285
1,2,4,2,2,2,0.37064
1,2,4,3,1,1,0.2292
1,2,4,3,1,1,0.28213
1,2,4,3,1,1,0.28498
1,2,4,3,1,2,0.20676
1,2,4,3,1,2,0.23595
1,2,4,3,1,2,0.24328
1,2,4,3,2,1,0.56338
1,2,4,3,2,1,0.65989
1,2,4,3,2,1,0.5415
1,2,4,3,2,2,0.54179
1,2,4,3,2,2,0.64917
1,2,4,3,2,2,0.47598
1,2,7,1,1,1,0.23146
1,2,7,1,1,1,0.1827
1,2,7,1,1,1,0.24093
1,2,7,1,1,2,0.22343
1,2,7,1,1,2,0.19149
1,2,7,1,1,2,0.22282
1,2,7,1,2,1,0.28812
1,2,7,1,2,1,0.24475
1,2,7,1,2,1,0.31196
1,2,7,1,2,2,0.27126
1,2,7,1,2,2,0.24444
1,2,7,1,2,2,0.27462
1,2,7,2,1,1,0.23883
1,2,7,2,1,1,0.23361
1,2,7,2,1,1,0.21427
1,2,7,2,1,2,0.24605
1,2,7,2,1,2,0.2278
1,2,7,2,1,2,0.19998
1,2,7,2,2,1,0.35005
1,2,7,2,2,1,0.33305
1,2,7,2,2,1,0.32048
1,2,7,2,2,2,0.26279
1,2,7,2,2,2,0.35726
1,2,7,2,2,2,0.31819
1,2,7,3,1,1,0.23147
1,2,7,3,1,1,0.22666
1,2,7,3,1,1,0.2467
1,2,7,3,1,2,0.21836
1,2,7,3,1,2,0.22169
1,2,7,3,1,2,0.237
1,2,7,3,2,1,0.6864
1,2,7,3,2,1,0.63511
1,2,7,3,2,1,0.74655
1,2,7,3,2,2,0.68579
1,2,7,3,2,2,0.5961
1,2,7,3,2,2,0.77017
1,3,1,1,1,1,0.12194
1,3,1,1,1,1,0.16122
1,3,1,1,1,1,0.16421
1,3,1,1,1,2,0.1163
1,3,1,1,1,2,0.14938
1,3,1,1,1,2,0.16168
1,3,1,1,2,1,0.16985
1,3,1,1,2,1,0.19939
1,3,1,1,2,1,0.21374
1,3,1,1,2,2,0.1373
1,3,1,1,2,2,0.16865
1,3,1,1,2,2,0.1565
1,3,1,2,1,1,0.11637
1,3,1,2,1,1,0.1608
1,3,1,2,1,1,0.16334
1,3,1,2,1,2,0.10163
1,3,1,2,1,2,0.17955
1,3,1,2,1,2,0.15994
1,3,1,2,2,1,0.23451
1,3,1,2,2,1,0.24402
1,3,1,2,2,1,0.24636
1,3,1,2,2,2,0.25031
1,3,1,2,2,2,0.27023
1,3,1,2,2,2,0.2541
1,3,1,3,1,1,0.1897
1,3,1,3,1,1,0.19958
1,3,1,3,1,1,0.16718
1,3,1,3,1,2,0.19923
1,3,1,3,1,2,0.21725
1,3,1,3,1,2,0.1629
1,3,1,3,2,1,0.28542
1,3,1,3,2,1,0.28509
1,3,1,3,2,1,0.28373
1,3,1,3,2,2,0.29029
1,3,1,3,2,2,0.27767
1,3,1,3,2,2,0.28794
1,3,4,1,1,1,0.10029
1,3,4,1,1,1,0.10472
1,3,4,1,1,1,0.12604
1,3,4,1,1,2,0.12157
1,3,4,1,1,2,0.11136
1,3,4,1,1,2,0.14512
1,3,4,1,2,1,0.22876
1,3,4,1,2,1,0.17199
1,3,4,1,2,1,0.15529
1,3,4,1,2,2,0.20344
1,3,4,1,2,2,0.14287
1,3,4,1,2,2,0.14985
1,3,4,2,1,1,0.14529
1,3,4,2,1,1,0.15725
1,3,4,2,1,1,0.12507
1,3,4,2,1,2,0.13102
1,3,4,2,1,2,0.15497
1,3,4,2,1,2,0.12364
1,3,4,2,2,1,0.25833
1,3,4,2,2,1,0.23621
1,3,4,2,2,1,0.23326
1,3,4,2,2,2,0.27922
1,3,4,2,2,2,0.25308
1,3,4,2,2,2,0.25228
1,3,4,3,1,1,0.16253
1,3,4,3,1,1,0.15933
1,3,4,3,1,1,0.16544
1,3,4,3,1,2,0.17915
1,3,4,3,1,2,0.14386
1,3,4,3,1,2,0.15388
1,3,4,3,2,1,0.33906
1,3,4,3,2,1,0.33221
