grp , pp , S , IDR , IDL , IPerfEfL
1,2,1,1,1,2.6422
1,2,1,1,1,3.5888
1,2,1,1,1,3.2618
1,2,1,1,1,3.2304
1,2,1,1,1,3.6548
1,2,1,1,1,4.9347
1,2,1,1,1,86.595
1,2,1,1,1,61.01
1,2,1,1,1,3.8349
1,2,1,1,1,3.4372
1,2,1,1,1,3.3788
1,2,1,1,1,3.1638
1,2,1,1,1,3.6009
1,2,1,1,1,3.1434
1,2,1,1,1,3.635
1,2,1,1,1,4.1173
1,2,1,1,1,18.324
1,2,1,1,1,77.81
1,2,1,1,1,4.0704
1,2,1,1,1,53.689
1,2,1,1,1,20.729
1,2,1,1,1,48.808
1,2,1,1,1,46.686
1,2,1,1,1,3.5392
1,2,1,1,1,2.8513
1,2,1,1,1,4.8853
1,2,1,1,1,2.8974
1,2,1,1,1,42.951
1,2,1,1,1,16.83
1,2,1,1,1,3.484
1,2,1,1,1,3.2092
1,2,1,1,1,59.655
1,2,1,1,1,15.979
1,2,1,1,1,3.2421
1,2,1,1,1,68.832
1,2,1,1,1,18.45
1,2,1,1,1,88.015
1,2,1,1,1,105.27
1,2,1,1,1,3.0333
1,2,1,1,1,2.6215
1,2,1,1,1,3.2837
1,2,1,1,1,3.1379
1,2,1,1,1,2.4163
1,2,1,1,1,4.4778
1,2,1,1,1,63.164
1,2,1,1,1,94.192
1,2,1,1,1,2.5433
1,2,1,1,1,3.5793
1,2,1,1,1,3.175
1,2,1,1,1,3.2323
1,2,1,1,1,2.9844
1,2,1,1,1,4.8544
1,2,1,1,1,29.663
1,2,1,1,1,94.192
1,2,1,1,1,95.873
1,2,1,1,1,63.164
1,2,1,1,1,2.9679
1,2,1,1,1,4.85
1,2,1,1,1,86.595
1,2,1,1,1,9.7087
1,2,1,1,1,2.9387
1,2,1,1,1,5.1328
1,2,1,1,1,35.556
1,2,1,1,1,101.3
1,2,1,1,1,2.4572
1,2,1,1,1,3.7336
1,2,1,1,1,3.082
1,2,1,1,1,3.0453
1,2,1,1,1,3.6648
1,2,1,1,1,2.8183
1,2,1,1,1,3.8849
1,2,1,1,1,3.5022
1,2,1,1,1,32.737
1,2,1,1,1,47.513
1,2,1,1,1,3.341
1,2,1,1,1,3.9888
1,2,1,1,1,20.492
1,2,1,1,1,32.343
1,2,1,1,1,3.3619
1,2,1,1,1,2.2941
1,2,1,1,1,2.7918
1,2,1,1,1,3.4196
1,2,1,1,1,3.0636
1,2,1,1,1,2.9732
1,2,1,1,1,4.0657
1,2,1,1,1,26.818
1,2,1,1,1,51.848
1,2,1,1,1,2.7112
1,2,1,1,1,2.7275
1,2,1,1,1,3.5168
1,2,1,1,1,2.9395
1,2,1,1,1,4.0029
1,2,1,1,1,2.9587
1,2,1,1,1,3.3709
1,2,1,1,1,2.9222
1,2,1,1,1,2.9539
1,2,1,1,1,3.6537
1,2,1,1,1,2.7139
1,2,1,1,1,3.3337
1,2,1,1,1,3.2657
1,2,1,1,1,3.2657
1,2,1,1,1,3.5191
1,2,1,1,1,2.9635
1,2,1,1,1,3.9737
1,2,1,1,1,2.7847
1,2,1,1,1,3.344
1,2,1,1,1,3.4304
1,2,1,1,1,4.0902
1,2,1,1,1,3.4434
1,2,1,1,1,3.3646
1,2,1,1,1,4.0029
1,2,1,1,1,3.4521
1,2,1,1,1,2.9765
1,2,1,1,1,4.2564
1,2,1,1,1,3.0194
1,2,1,1,1,3.2482
1,2,1,1,1,2.9863
1,2,1,1,1,3.6149
1,2,1,1,1,3.346
1,2,1,1,1,2.9175
1,2,1,1,1,2.7649
1,2,1,1,1,3.1414
1,2,1,1,1,2.97
1,2,1,1,1,2.7932
1,2,1,1,1,2.9978
1,2,1,1,1,3.7545
1,2,1,1,1,78.898
1,2,1,1,1,90.733
1,2,1,1,1,27.357
1,2,1,1,1,53.901
1,2,1,1,1,2.8207
1,2,1,1,1,3.3605
1,2,1,1,1,2.9797
1,2,1,1,1,3.1614
1,2,1,1,1,3.1523
1,2,1,1,1,3.492
1,2,1,1,1,65.59
1,2,1,1,1,14.997
1,2,1,1,1,3.8913
1,2,1,1,1,3.1109
1,2,1,1,1,25.088
1,2,1,1,1,56.124
1,2,1,1,1,3.3563
1,2,1,1,1,3.9883
1,2,1,1,1,6.8187
1,2,1,1,1,2.8696
1,2,1,1,1,1.6183
1,2,1,1,1,3.6272
1,2,1,1,1,3.4407
1,2,1,1,1,2.8277
1,2,1,1,1,2.7104
1,2,1,1,1,5.3006
1,2,1,1,1,69.365
1,2,1,1,1,13.942
