grp , pp , S , IDR , IDL , IPerfEfR
1,2,1,1,1,16.911
1,2,1,1,1,3.3042
1,2,1,1,1,2.2922
1,2,1,1,1,3.6375
1,2,1,1,1,1.2811
1,2,1,1,1,4.1784
1,2,1,1,1,3.1499
1,2,1,1,1,3.7815
1,2,1,1,1,3.5497
1,2,1,1,1,4.7339
1,2,1,1,1,3.1937
1,2,1,1,1,4.3662
1,2,1,1,1,4.0174
1,2,1,1,1,3.2721
1,2,1,1,1,3.2815
1,2,1,1,1,69.07
1,2,1,1,1,85.564
1,2,1,1,1,3.9212
1,2,1,1,1,3.8041
1,2,1,1,1,4.0202
1,2,1,1,1,3.0888
1,2,1,1,1,4.9549
1,2,1,1,1,11.676
1,2,1,1,1,72.567
1,2,1,1,1,3.5322
1,2,1,1,1,3.3564
1,2,1,1,1,3.2207
1,2,1,1,1,3.2334
1,2,1,1,1,3.0236
1,2,1,1,1,3.4999
1,2,1,1,1,35.388
1,2,1,1,1,23.21
1,2,1,1,1,3.217
1,2,1,1,1,2.7748
1,2,1,1,1,3.3742
1,2,1,1,1,3.2063
1,2,1,1,1,2.6117
1,2,1,1,1,4.4064
1,2,1,1,1,2.888
1,2,1,1,1,3.1089
1,2,1,1,1,3.6445
1,2,1,1,1,3.8117
1,2,1,1,1,3.143
1,2,1,1,1,3.7965
1,2,1,1,1,3.1156
1,2,1,1,1,3.5084
1,2,1,1,1,2.7708
1,2,1,1,1,4.676
1,2,1,1,1,2.8621
1,2,1,1,1,3.725
1,2,1,1,1,3.0316
1,2,1,1,1,3.9978
1,2,1,1,1,3.0236
1,2,1,1,1,3.8735
1,2,1,1,1,2.9596
1,2,1,1,1,4.2215
1,2,1,1,1,2.865
1,2,1,1,1,4.0716
1,2,1,1,1,3.0526
1,2,1,1,1,2.9619
1,2,1,1,1,3.0677
1,2,1,1,1,3.6298
1,2,1,1,1,3.2554
1,2,1,1,1,2.7039
1,2,1,1,1,3.6535
1,2,1,1,1,90.101
1,2,1,1,1,30.694
1,2,1,1,1,3.0694
1,2,1,1,1,2.9479
1,2,1,1,1,3.2459
1,2,1,1,1,3.2068
1,2,1,1,1,3.2996
1,2,1,1,1,3.3351
1,2,1,1,1,3.1578
1,2,1,1,1,3.2996
1,2,1,1,1,3.1812
1,2,1,1,1,3.1454
1,2,1,1,1,2.84
1,2,1,1,1,3.4187
1,2,1,1,1,3.1885
1,2,1,1,1,3.6824
1,2,1,1,1,3.0593
1,2,1,1,1,3.7668
1,2,1,1,1,3.288
1,2,1,1,1,3.1017
1,2,1,1,1,4.1564
1,2,1,1,1,3.4483
1,2,1,1,1,3.2996
1,2,1,1,1,3.9202
1,2,1,1,1,3.3612
1,2,1,1,1,4.0218
1,2,1,1,1,3.2706
1,2,1,1,1,4.016
1,2,1,1,1,2.7889
1,2,1,1,1,4.5977
1,2,1,1,1,3.1121
1,2,1,1,1,3.5994
1,2,1,1,1,3.1208
1,2,1,1,1,3.2899
1,2,1,1,1,2.884
1,2,1,1,1,3.2384
1,2,1,1,1,2.9746
1,2,1,1,1,3.1794
1,2,1,1,1,2.8959
1,2,1,1,1,3.8002
1,2,1,1,1,121.44
1,2,1,1,1,80.96
1,2,1,1,1,2.853
1,2,1,1,1,2.7696
1,2,1,1,1,3.205
1,2,1,1,1,3.5878
1,2,1,1,1,2.9125
1,2,1,1,1,3.5023
1,2,1,1,1,2.7437
1,2,1,1,1,3.3331
1,2,1,1,1,3.0914
1,2,1,1,1,3.7517
1,2,1,1,1,3.244
1,2,1,1,1,32.507
1,2,1,1,1,7.9185
1,2,1,1,1,17.317
1,2,1,1,1,7.1084
1,2,1,1,1,11.275
1,2,1,1,1,2.6854
1,2,1,1,1,3.1159
1,2,1,1,1,3.3547
1,2,1,1,1,3.5863
1,2,1,1,1,2.5783
1,2,1,1,1,2.9886
1,2,1,1,1,2.504
1,2,1,1,1,2.9568
1,2,1,1,1,2.3868
1,2,1,1,1,3.0934
1,2,1,1,1,3.5005
1,2,1,1,1,2.8757
1,2,1,1,1,2.8361
1,2,1,1,1,2.7934
1,2,1,1,1,2.9012
1,2,1,1,1,101.07
1,2,1,1,1,56.722
1,2,1,1,1,2.7316
1,2,1,1,1,3.2622
1,2,1,1,1,2.7397
1,2,1,1,1,3.3792
1,2,1,1,1,2.7383
1,2,1,1,1,3.0848
1,2,1,1,1,3.1194
1,2,1,1,1,3.8048
1,2,1,1,1,2.2951
1,2,1,1,1,3.4187
1,2,1,1,1,2.7711
1,2,1,1,1,3.6595
1,2,1,1,1,2.8728
1,2,1,1,1,2.7532
1,2,1,1,1,2.7262
1,2,1,1,1,3.8074
1,2,1,1,1,94.217
1,2,1,1,1,37.815
1,2,1,1,1,2.9694
1,2,1,1,1,3.1965
1,2,1,1,1,3.1929
1,2,1,1,1,3.6451
1,2,1,1,1,3.0728
1,2,1,1,1,2.4883
1,2,1,1,1,3.215
1,2,1,1,1,3.4764
1,2,1,1,1,2.9726
1,2,1,1,1,3.5316
1,2,1,1,1,2.9104
1,2,1,1,1,3.1159
1,2,1,1,1,30.711
1,2,1,1,1,63.894
1,2,1,1,1,3.0129
1,2,1,1,1,3.6143
1,2,1,1,1,2.7836
1,2,1,1,1,3.0593
1,2,1,1,1,2.9966
1,2,1,1,1,3.1674
1,2,1,1,1,2.8832
1,2,1,1,1,3.6237
1,2,1,1,1,2.995
1,2,1,1,1,3.4527
1,2,1,1,1,2.6521
1,2,1,1,1,3.8152
1,2,1,1,1,2.8347
1,2,1,1,1,16.911
1,2,1,1,1,3.3042
1,2,1,1,1,2.2922
1,2,1,1,1,3.6375
1,2,1,1,1,1.2811
1,2,1,1,1,4.1784
1,2,1,1,1,3.1499
1,2,1,1,1,3.7815
1,2,1,1,1,3.5497
1,2,1,1,1,4.7339
1,2,1,1,1,3.1937
1,2,1,1,1,4.3662
1,2,1,1,1,4.0174
1,2,1,1,1,3.2721
1,2,1,1,1,3.2815
1,2,1,1,1,69.07
1,2,1,1,1,85.564
1,2,1,1,1,3.9212
1,2,1,1,1,3.8041
1,2,1,1,1,4.0202
1,2,1,1,1,3.0888
1,2,1,1,1,4.9549
1,2,1,1,1,11.676
1,2,1,1,1,72.567
1,2,1,1,1,3.5322
1,2,1,1,1,3.3564
1,2,1,1,1,3.2207
1,2,1,1,1,3.2334
1,2,1,1,1,3.0236
1,2,1,1,1,3.4999
1,2,1,1,1,35.388
1,2,1,1,1,23.21
1,2,1,1,1,3.217
1,2,1,1,1,2.7748
1,2,1,1,1,3.3742
1,2,1,1,1,3.2063
1,2,1,1,1,2.6117
1,2,1,1,1,4.4064
1,2,1,1,1,2.888
1,2,1,1,1,3.1089
1,2,1,1,1,3.6445
1,2,1,1,1,3.8117
1,2,1,1,1,3.143
1,2,1,1,1,3.7965
1,2,1,1,1,3.1156
1,2,1,1,1,3.5084
1,2,1,1,1,2.7708
1,2,1,1,1,4.676
1,2,1,1,1,2.8621
1,2,1,1,1,3.725
1,2,1,1,1,3.0316
1,2,1,1,1,3.9978
1,2,1,1,1,3.0236
1,2,1,1,1,3.8735
1,2,1,1,1,2.9596
1,2,1,1,1,4.2215
1,2,1,1,1,2.865
1,2,1,1,1,4.0716
1,2,1,1,1,3.0526
1,2,1,1,1,2.9619
1,2,1,1,1,3.0677
1,2,1,1,1,3.6298
1,2,1,1,1,3.2554
1,2,1,1,1,2.7039
1,2,1,1,1,3.6535
1,2,1,1,1,90.101
1,2,1,1,1,30.694
1,2,1,1,1,3.0694
1,2,1,1,1,2.9479
1,2,1,1,1,3.2459
1,2,1,1,1,3.2068
1,2,1,1,1,3.2996
1,2,1,1,1,3.3351
1,2,1,1,1,3.1578
1,2,1,1,1,3.2996
1,2,1,1,1,3.1812
1,2,1,1,1,3.1454
1,2,1,1,1,2.84
1,2,1,1,1,3.4187
1,2,1,1,1,3.1885
1,2,1,1,1,3.6824
1,2,1,1,1,3.0593
1,2,1,1,1,3.7668
1,2,1,1,1,3.288
1,2,1,1,1,3.1017
1,2,1,1,1,4.1564
1,2,1,1,1,3.4483
1,2,1,1,1,3.2996
1,2,1,1,1,3.9202
1,2,1,1,1,3.3612
1,2,1,1,1,4.0218
1,2,1,1,1,3.2706
1,2,1,1,1,4.016
1,2,1,1,1,2.7889
1,2,1,1,1,4.5977
1,2,1,1,1,3.1121
1,2,1,1,1,3.5994
1,2,1,1,1,3.1208
1,2,1,1,1,3.2899
1,2,1,1,1,2.884
1,2,1,1,1,3.2384
1,2,1,1,1,2.9746
1,2,1,1,1,3.1794
1,2,1,1,1,2.8959
1,2,1,1,1,3.8002
1,2,1,1,1,121.44
1,2,1,1,1,80.96
1,2,1,1,1,2.853
1,2,1,1,1,2.7696
1,2,1,1,1,3.205
1,2,1,1,1,3.5878
1,2,1,1,1,2.9125
1,2,1,1,1,3.5023
1,2,1,1,1,2.7437
1,2,1,1,1,3.3331
1,2,1,1,1,3.0914
1,2,1,1,1,3.7517
1,2,1,1,1,3.244
1,2,1,1,1,32.507
1,2,1,1,1,7.9185
1,2,1,1,1,17.317
1,2,1,1,1,7.1084
1,2,1,1,1,11.275
1,2,1,1,1,2.6854
1,2,1,1,1,3.1159
1,2,1,1,1,3.3547
1,2,1,1,1,3.5863
1,2,1,1,1,2.5783
1,2,1,1,1,2.9886
1,2,1,1,1,2.504
1,2,1,1,1,2.9568
1,2,1,1,1,2.3868
1,2,1,1,1,3.0934
1,2,1,1,1,3.5005
1,2,1,1,1,2.8757
1,2,1,1,1,2.8361
1,2,1,1,1,2.7934
1,2,1,1,1,2.9012
1,2,1,1,1,101.07
1,2,1,1,1,56.722
1,2,1,1,1,2.7316
1,2,1,1,1,3.2622
1,2,1,1,1,2.7397
1,2,1,1,1,3.3792
1,2,1,1,1,2.7383
1,2,1,1,1,3.0848
1,2,1,1,1,3.1194
1,2,1,1,1,3.8048
1,2,1,1,1,2.2951
1,2,1,1,1,3.4187
1,2,1,1,1,2.7711
1,2,1,1,1,3.6595
1,2,1,1,1,2.8728
1,2,1,1,1,2.7532
1,2,1,1,1,2.7262
1,2,1,1,1,3.8074
1,2,1,1,1,94.217
1,2,1,1,1,37.815
1,2,1,1,1,2.9694
1,2,1,1,1,3.1965
1,2,1,1,1,3.1929
1,2,1,1,1,3.6451
1,2,1,1,1,3.0728
1,2,1,1,1,2.4883
1,2,1,1,1,3.215
1,2,1,1,1,3.4764
1,2,1,1,1,2.9726
1,2,1,1,1,3.5316
1,2,1,1,1,2.9104
1,2,1,1,1,3.1159
1,2,1,1,1,30.711
1,2,1,1,1,63.894
1,2,1,1,1,3.0129
1,2,1,1,1,3.6143
1,2,1,1,1,2.7836
1,2,1,1,1,3.0593
1,2,1,1,1,2.9966
1,2,1,1,1,3.1674
1,2,1,1,1,2.8832
1,2,1,1,1,3.6237
1,2,1,1,1,2.995
1,2,1,1,1,3.4527
1,2,1,1,1,2.6521
1,2,1,1,1,3.8152
1,2,1,1,1,2.8347
1,2,1,1,2,67.862
1,2,1,1,2,8.4068
1,2,1,1,2,48.142
1,2,1,1,2,62.584
1,2,1,1,2,10.895
1,2,1,1,2,7.4505
1,2,1,1,2,2.3449
1,2,1,1,2,3.5182
1,2,1,1,2,42.034
1,2,1,1,2,51.675
1,2,1,1,2,2.686
1,2,1,1,2,64.742
1,2,1,1,2,54.159
1,2,1,1,2,3.8343
1,2,1,1,2,55.221
1,2,1,1,2,49.408
1,2,1,1,2,3.4877
1,2,1,1,2,3.3607
1,2,1,1,2,2.8738
1,2,1,1,2,3.5945
1,2,1,1,2,3.4075
1,2,1,1,2,3.538
1,2,1,1,2,3.124
1,2,1,1,2,3.2315
1,2,1,1,2,3.6814
