grp , pp , S , IDR , IDL , IPerfL
1,2,1,1,1,2.6191
1,2,1,1,1,3.5574
1,2,1,1,1,3.2332
1,2,1,1,1,3.2021
1,2,1,1,1,3.6228
1,2,1,1,1,4.8915
1,2,1,1,1,85.838
1,2,1,1,1,60.476
1,2,1,1,1,3.8014
1,2,1,1,1,3.4071
1,2,1,1,1,3.3492
1,2,1,1,1,3.1361
1,2,1,1,1,3.5694
1,2,1,1,1,3.1159
1,2,1,1,1,3.6032
1,2,1,1,1,4.0812
1,2,1,1,1,18.164
1,2,1,1,1,77.129
1,2,1,1,1,4.0348
1,2,1,1,1,53.219
1,2,1,1,1,20.548
1,2,1,1,1,48.381
1,2,1,1,1,46.278
1,2,1,1,1,3.5082
1,2,1,1,1,2.8263
1,2,1,1,1,4.8425
1,2,1,1,1,2.8721
1,2,1,1,1,42.575
1,2,1,1,1,16.683
1,2,1,1,1,3.4536
1,2,1,1,1,3.1811
1,2,1,1,1,59.133
1,2,1,1,1,15.839
1,2,1,1,1,3.2137
1,2,1,1,1,68.23
1,2,1,1,1,18.288
1,2,1,1,1,87.245
1,2,1,1,1,104.35
1,2,1,1,1,3.0067
1,2,1,1,1,2.5986
1,2,1,1,1,3.255
1,2,1,1,1,3.1104
1,2,1,1,1,2.3951
1,2,1,1,1,4.4386
1,2,1,1,1,62.611
1,2,1,1,1,93.367
1,2,1,1,1,2.521
1,2,1,1,1,3.548
1,2,1,1,1,3.1472
1,2,1,1,1,3.2041
1,2,1,1,1,2.9583
1,2,1,1,1,4.8119
1,2,1,1,1,29.403
1,2,1,1,1,93.367
1,2,1,1,1,95.034
1,2,1,1,1,62.611
1,2,1,1,1,2.9419
1,2,1,1,1,4.8075
1,2,1,1,1,85.838
1,2,1,1,1,9.6237
1,2,1,1,1,2.9129
1,2,1,1,1,5.0879
1,2,1,1,1,35.245
1,2,1,1,1,100.41
1,2,1,1,1,2.4357
1,2,1,1,1,3.7009
1,2,1,1,1,3.0551
1,2,1,1,1,3.0187
1,2,1,1,1,3.6327
1,2,1,1,1,2.7937
1,2,1,1,1,3.8509
1,2,1,1,1,3.4716
1,2,1,1,1,32.451
1,2,1,1,1,47.097
1,2,1,1,1,3.3117
1,2,1,1,1,3.9539
1,2,1,1,1,20.313
1,2,1,1,1,32.06
1,2,1,1,1,3.3325
1,2,1,1,1,2.2427
1,2,1,1,1,2.7292
1,2,1,1,1,3.3429
1,2,1,1,1,2.9949
1,2,1,1,1,2.9066
1,2,1,1,1,3.9746
1,2,1,1,1,26.216
1,2,1,1,1,50.685
1,2,1,1,1,2.6504
1,2,1,1,1,2.6663
1,2,1,1,1,3.4379
1,2,1,1,1,2.8736
1,2,1,1,1,3.9132
1,2,1,1,1,2.8924
1,2,1,1,1,3.2953
1,2,1,1,1,2.8566
1,2,1,1,1,2.8876
1,2,1,1,1,3.5718
1,2,1,1,1,2.653
1,2,1,1,1,3.259
1,2,1,1,1,3.1925
1,2,1,1,1,3.1925
1,2,1,1,1,3.4402
1,2,1,1,1,2.8971
1,2,1,1,1,3.8846
1,2,1,1,1,2.7222
1,2,1,1,1,3.269
1,2,1,1,1,3.3535
1,2,1,1,1,3.9984
1,2,1,1,1,3.3662
1,2,1,1,1,3.2892
1,2,1,1,1,3.9132
1,2,1,1,1,3.3747
1,2,1,1,1,2.9097
1,2,1,1,1,4.161
1,2,1,1,1,2.9517
1,2,1,1,1,3.1754
