grp , pp , S , IDR , IDL , IPerfR
1,2,1,1,1,15.699
1,2,1,1,1,3.0674
1,2,1,1,1,2.1279
1,2,1,1,1,3.3769
1,2,1,1,1,1.1893
1,2,1,1,1,3.879
1,2,1,1,1,2.9241
1,2,1,1,1,3.5105
1,2,1,1,1,3.2953
1,2,1,1,1,4.3947
1,2,1,1,1,2.9649
1,2,1,1,1,4.0533
1,2,1,1,1,3.7295
1,2,1,1,1,3.0376
1,2,1,1,1,3.0463
1,2,1,1,1,64.12
1,2,1,1,1,79.432
1,2,1,1,1,3.6402
1,2,1,1,1,3.5315
1,2,1,1,1,3.7321
1,2,1,1,1,2.8674
1,2,1,1,1,4.5998
1,2,1,1,1,10.839
1,2,1,1,1,67.366
1,2,1,1,1,3.2791
1,2,1,1,1,3.1159
1,2,1,1,1,2.9898
1,2,1,1,1,3.0017
1,2,1,1,1,2.8069
1,2,1,1,1,3.249
1,2,1,1,1,32.851
1,2,1,1,1,21.546
1,2,1,1,1,2.9865
1,2,1,1,1,2.576
1,2,1,1,1,3.1324
1,2,1,1,1,2.9765
1,2,1,1,1,2.4246
1,2,1,1,1,4.0906
1,2,1,1,1,2.6811
1,2,1,1,1,2.8861
1,2,1,1,1,3.3833
1,2,1,1,1,3.5385
1,2,1,1,1,2.9177
1,2,1,1,1,3.5245
1,2,1,1,1,2.8924
1,2,1,1,1,3.257
1,2,1,1,1,2.5722
1,2,1,1,1,4.3409
1,2,1,1,1,2.657
1,2,1,1,1,3.458
1,2,1,1,1,2.8143
1,2,1,1,1,3.7112
1,2,1,1,1,2.8069
1,2,1,1,1,3.5959
1,2,1,1,1,2.7475
1,2,1,1,1,3.9189
1,2,1,1,1,2.6596
1,2,1,1,1,3.7798
1,2,1,1,1,2.8338
1,2,1,1,1,2.8218
1,2,1,1,1,2.9225
1,2,1,1,1,3.458
1,2,1,1,1,3.1014
1,2,1,1,1,2.576
1,2,1,1,1,3.4807
1,2,1,1,1,85.838
1,2,1,1,1,29.241
1,2,1,1,1,2.9241
1,2,1,1,1,2.8084
1,2,1,1,1,3.0923
1,2,1,1,1,3.0551
1,2,1,1,1,3.1435
1,2,1,1,1,3.1773
1,2,1,1,1,3.0084
1,2,1,1,1,3.1435
1,2,1,1,1,3.0307
1,2,1,1,1,2.9966
1,2,1,1,1,2.7056
1,2,1,1,1,3.257
1,2,1,1,1,3.0376
1,2,1,1,1,3.5082
1,2,1,1,1,2.9145
1,2,1,1,1,3.5886
1,2,1,1,1,3.1324
1,2,1,1,1,2.955
1,2,1,1,1,3.9598
1,2,1,1,1,3.2851
1,2,1,1,1,3.1435
1,2,1,1,1,3.7347
1,2,1,1,1,3.2021
1,2,1,1,1,3.8315
1,2,1,1,1,3.1159
1,2,1,1,1,3.826
1,2,1,1,1,2.657
1,2,1,1,1,4.3802
1,2,1,1,1,2.9649
1,2,1,1,1,3.4291
1,2,1,1,1,2.9731
1,2,1,1,1,3.1342
1,2,1,1,1,2.7475
1,2,1,1,1,3.0852
1,2,1,1,1,2.8338
1,2,1,1,1,3.029
1,2,1,1,1,2.7589
1,2,1,1,1,3.6204
1,2,1,1,1,115.69
1,2,1,1,1,77.129
1,2,1,1,1,2.718
1,2,1,1,1,2.6385
1,2,1,1,1,3.0533
1,2,1,1,1,3.4181
1,2,1,1,1,2.7747
1,2,1,1,1,3.3366
1,2,1,1,1,2.6139
1,2,1,1,1,3.1754
1,2,1,1,1,2.9452
1,2,1,1,1,3.5742
1,2,1,1,1,3.0906
1,2,1,1,1,31.122
1,2,1,1,1,7.5811
1,2,1,1,1,16.579
1,2,1,1,1,6.8055
1,2,1,1,1,10.795
1,2,1,1,1,2.571
1,2,1,1,1,2.9831
1,2,1,1,1,3.2118
1,2,1,1,1,3.4335
1,2,1,1,1,2.4684
1,2,1,1,1,2.8613
1,2,1,1,1,2.3973
1,2,1,1,1,2.8308
1,2,1,1,1,2.2851
1,2,1,1,1,2.9616
1,2,1,1,1,3.3513
1,2,1,1,1,2.7532
1,2,1,1,1,2.7153
1,2,1,1,1,2.6743
1,2,1,1,1,2.7776
1,2,1,1,1,96.762
1,2,1,1,1,54.305
1,2,1,1,1,2.6152
1,2,1,1,1,3.1232
1,2,1,1,1,2.6229
1,2,1,1,1,3.2352
1,2,1,1,1,2.6216
1,2,1,1,1,2.9533
1,2,1,1,1,2.9865
1,2,1,1,1,3.6427
1,2,1,1,1,2.1973
1,2,1,1,1,3.273
1,2,1,1,1,2.653
1,2,1,1,1,3.5036
1,2,1,1,1,2.7504
1,2,1,1,1,2.6359
1,2,1,1,1,2.6101
1,2,1,1,1,3.6452
1,2,1,1,1,90.202
1,2,1,1,1,36.204
1,2,1,1,1,2.8429
1,2,1,1,1,3.0603
1,2,1,1,1,3.0568
1,2,1,1,1,3.4898
1,2,1,1,1,2.9419
1,2,1,1,1,2.3822
1,2,1,1,1,3.078
1,2,1,1,1,3.3283
1,2,1,1,1,2.846
1,2,1,1,1,3.3811
1,2,1,1,1,2.7863
1,2,1,1,1,2.9831
1,2,1,1,1,29.403
1,2,1,1,1,61.172
1,2,1,1,1,2.8845
1,2,1,1,1,3.4603
1,2,1,1,1,2.665
1,2,1,1,1,2.929
1,2,1,1,1,2.869
1,2,1,1,1,3.0324
1,2,1,1,1,2.7603
1,2,1,1,1,3.4693
1,2,1,1,1,2.8674
1,2,1,1,1,3.3055
1,2,1,1,1,2.5391
1,2,1,1,1,3.6527
1,2,1,1,1,2.7139
1,2,1,1,1,15.699
1,2,1,1,1,3.0674
1,2,1,1,1,2.1279
1,2,1,1,1,3.3769
1,2,1,1,1,1.1893
1,2,1,1,1,3.879
1,2,1,1,1,2.9241
1,2,1,1,1,3.5105
