grp , pp , S , IDR , IDL , MTL
1,2,1,1,1,2.032
1,2,1,1,1,1.496
1,2,1,1,1,1.646
1,2,1,1,1,1.662
1,2,1,1,1,1.469
1,2,1,1,1,1.088
1,2,1,1,1,0.062
1,2,1,1,1,0.088
1,2,1,1,1,1.4
1,2,1,1,1,1.562
1,2,1,1,1,1.589
1,2,1,1,1,1.697
1,2,1,1,1,1.491
1,2,1,1,1,1.708
1,2,1,1,1,1.477
1,2,1,1,1,1.304
1,2,1,1,1,0.293
1,2,1,1,1,0.069
1,2,1,1,1,1.319
1,2,1,1,1,0.1
1,2,1,1,1,0.259
1,2,1,1,1,0.11
1,2,1,1,1,0.115
1,2,1,1,1,1.517
1,2,1,1,1,1.883
1,2,1,1,1,1.099
1,2,1,1,1,1.853
1,2,1,1,1,0.125
1,2,1,1,1,0.319
1,2,1,1,1,1.541
1,2,1,1,1,1.673
1,2,1,1,1,0.09
1,2,1,1,1,0.336
1,2,1,1,1,1.656
1,2,1,1,1,0.078
1,2,1,1,1,0.291
1,2,1,1,1,0.061
1,2,1,1,1,0.051
1,2,1,1,1,1.77
1,2,1,1,1,2.048
1,2,1,1,1,1.635
1,2,1,1,1,1.711
1,2,1,1,1,2.222
1,2,1,1,1,1.199
1,2,1,1,1,0.085
1,2,1,1,1,0.057
1,2,1,1,1,2.111
1,2,1,1,1,1.5
1,2,1,1,1,1.691
1,2,1,1,1,1.661
1,2,1,1,1,1.799
1,2,1,1,1,1.106
1,2,1,1,1,0.181
1,2,1,1,1,0.057
1,2,1,1,1,0.056
1,2,1,1,1,0.085
1,2,1,1,1,1.809
1,2,1,1,1,1.107
1,2,1,1,1,0.062
1,2,1,1,1,0.553
1,2,1,1,1,1.827
1,2,1,1,1,1.046
1,2,1,1,1,0.151
1,2,1,1,1,0.053
1,2,1,1,1,2.185
1,2,1,1,1,1.438
1,2,1,1,1,1.742
1,2,1,1,1,1.763
1,2,1,1,1,1.465
1,2,1,1,1,1.905
1,2,1,1,1,1.382
1,2,1,1,1,1.533
1,2,1,1,1,0.164
1,2,1,1,1,0.113
1,2,1,1,1,1.607
1,2,1,1,1,1.346
1,2,1,1,1,0.262
1,2,1,1,1,0.166
1,2,1,1,1,1.597
1,2,1,1,1,2.373
1,2,1,1,1,1.95
1,2,1,1,1,1.592
1,2,1,1,1,1.777
1,2,1,1,1,1.831
1,2,1,1,1,1.339
1,2,1,1,1,0.203
1,2,1,1,1,0.105
1,2,1,1,1,2.008
1,2,1,1,1,1.996
1,2,1,1,1,1.548
1,2,1,1,1,1.852
1,2,1,1,1,1.36
1,2,1,1,1,1.84
1,2,1,1,1,1.615
1,2,1,1,1,1.863
1,2,1,1,1,1.843
1,2,1,1,1,1.49
1,2,1,1,1,2.006
1,2,1,1,1,1.633
1,2,1,1,1,1.667
1,2,1,1,1,1.667
1,2,1,1,1,1.547
1,2,1,1,1,1.837
1,2,1,1,1,1.37
1,2,1,1,1,1.955
1,2,1,1,1,1.628
1,2,1,1,1,1.587
1,2,1,1,1,1.331
1,2,1,1,1,1.581
1,2,1,1,1,1.618
1,2,1,1,1,1.36
1,2,1,1,1,1.577
1,2,1,1,1,1.829
1,2,1,1,1,1.279
1,2,1,1,1,1.803
1,2,1,1,1,1.676
1,2,1,1,1,1.823
1,2,1,1,1,1.506
1,2,1,1,1,1.627
1,2,1,1,1,1.866
1,2,1,1,1,1.969
1,2,1,1,1,1.733
1,2,1,1,1,1.833
1,2,1,1,1,1.949
1,2,1,1,1,1.816
1,2,1,1,1,1.45
1,2,1,1,1,0.069
1,2,1,1,1,0.06
1,2,1,1,1,0.199
1,2,1,1,1,0.101
1,2,1,1,1,1.93
1,2,1,1,1,1.62
1,2,1,1,1,1.827
1,2,1,1,1,1.722
1,2,1,1,1,1.727
1,2,1,1,1,1.559
1,2,1,1,1,0.083
1,2,1,1,1,0.363
1,2,1,1,1,1.399
1,2,1,1,1,1.75
1,2,1,1,1,0.217
1,2,1,1,1,0.097
1,2,1,1,1,1.622
1,2,1,1,1,1.365
1,2,1,1,1,0.824
1,2,1,1,1,1.958
1,2,1,1,1,3.472
1,2,1,1,1,1.549
1,2,1,1,1,1.633
1,2,1,1,1,1.987
1,2,1,1,1,2.073
1,2,1,1,1,1.06
1,2,1,1,1,0.081
1,2,1,1,1,0.403
1,2,1,1,1,2.566
1,2,1,1,1,1.876
1,2,1,1,1,1.766
1,2,1,1,1,2.073
1,2,1,1,1,1.261
1,2,1,1,1,0.198
1,2,1,1,1,0.096
1,2,1,1,1,2.331
1,2,1,1,1,1.529
1,2,1,1,1,0.089
1,2,1,1,1,0.193
1,2,1,1,1,1.748
1,2,1,1,1,2.13
1,2,1,1,1,1.572
1,2,1,1,1,0.082
1,2,1,1,1,0.134
1,2,1,1,1,1.963
1,2,1,1,1,1.444
1,2,1,1,1,2.603
1,2,1,1,1,1.46
1,2,1,1,1,2.017
1,2,1,1,1,1.727
1,2,1,1,1,0.126
1,2,1,1,1,0.115
1,2,1,1,1,1.528
1,2,1,1,1,0.106
1,2,1,1,1,0.33
1,2,1,1,1,1.411
1,2,1,1,1,2.166
1,2,1,1,1,1.544
1,2,1,1,1,1.75
1,2,1,1,1,1.95
1,2,1,1,1,1.908
1,2,1,1,1,1.615
1,2,1,1,1,2.1
1,2,1,1,1,2.022
1,2,1,1,1,1.229
1,2,1,1,1,1.839
1,2,1,1,1,1.586
1,2,1,1,1,2.036
1,2,1,1,1,2.383
1,2,1,1,1,1.193
1,2,1,1,1,1.904
1,2,1,1,1,1.825
1,2,1,1,1,1.859
1,2,1,1,1,1.731
1,2,1,1,1,1.819
1,2,1,1,1,2.15
1,2,1,1,1,1.436
1,2,1,1,1,1.853
1,2,1,1,1,2.168
1,2,1,1,1,1.351
1,2,1,1,1,2.228
1,2,1,1,1,1.835
1,2,1,1,1,1.327
1,2,1,1,1,0.102
1,2,1,1,1,0.225
1,2,1,1,1,1.447
1,2,1,1,1,0.084
1,2,1,1,1,0.132
1,2,1,1,1,1.676
1,2,1,1,1,2.02
1,2,1,1,1,1.337
1,2,1,1,1,1.794
1,2,1,1,1,0.078
1,2,1,1,1,2.032
1,2,1,1,1,1.496
1,2,1,1,1,1.646
1,2,1,1,1,1.662
1,2,1,1,1,1.469
1,2,1,1,1,1.088
1,2,1,1,1,0.062
1,2,1,1,1,0.088
1,2,1,1,1,1.4
1,2,1,1,1,1.562
1,2,1,1,1,1.589
1,2,1,1,1,1.697
1,2,1,1,1,1.491
1,2,1,1,1,1.708
1,2,1,1,1,1.477
1,2,1,1,1,1.304
1,2,1,1,1,0.293
1,2,1,1,1,0.069
1,2,1,1,1,1.319
1,2,1,1,1,0.1
1,2,1,1,1,0.259
1,2,1,1,1,0.11
1,2,1,1,1,0.115
1,2,1,1,1,1.517
1,2,1,1,1,1.883
1,2,1,1,1,1.099
1,2,1,1,1,1.853
1,2,1,1,1,0.125
1,2,1,1,1,0.319
1,2,1,1,1,1.541
1,2,1,1,1,1.673
1,2,1,1,1,0.09
1,2,1,1,1,0.336
1,2,1,1,1,1.656
1,2,1,1,1,0.078
1,2,1,1,1,0.291
1,2,1,1,1,0.061
1,2,1,1,1,0.051
1,2,1,1,1,1.77
1,2,1,1,1,2.048
1,2,1,1,1,1.635
1,2,1,1,1,1.711
1,2,1,1,1,2.222
1,2,1,1,1,1.199
1,2,1,1,1,0.085
1,2,1,1,1,0.057
1,2,1,1,1,2.111
1,2,1,1,1,1.5
1,2,1,1,1,1.691
1,2,1,1,1,1.661
1,2,1,1,1,1.799
1,2,1,1,1,1.106
1,2,1,1,1,0.181
1,2,1,1,1,0.057
1,2,1,1,1,0.056
1,2,1,1,1,0.085
1,2,1,1,1,1.809
1,2,1,1,1,1.107
1,2,1,1,1,0.062
1,2,1,1,1,0.553
1,2,1,1,1,1.827
1,2,1,1,1,1.046
1,2,1,1,1,0.151
1,2,1,1,1,0.053
1,2,1,1,1,2.185
1,2,1,1,1,1.438
1,2,1,1,1,1.742
1,2,1,1,1,1.763
1,2,1,1,1,1.465
1,2,1,1,1,1.905
1,2,1,1,1,1.382
1,2,1,1,1,1.533
1,2,1,1,1,0.164
1,2,1,1,1,0.113
1,2,1,1,1,1.607
1,2,1,1,1,1.346
1,2,1,1,1,0.262
1,2,1,1,1,0.166
1,2,1,1,1,1.597
1,2,1,1,1,2.373
1,2,1,1,1,1.95
1,2,1,1,1,1.592
1,2,1,1,1,1.777
1,2,1,1,1,1.831
1,2,1,1,1,1.339
1,2,1,1,1,0.203
1,2,1,1,1,0.105
1,2,1,1,1,2.008
1,2,1,1,1,1.996
1,2,1,1,1,1.548
1,2,1,1,1,1.852
1,2,1,1,1,1.36
1,2,1,1,1,1.84
1,2,1,1,1,1.615
1,2,1,1,1,1.863
1,2,1,1,1,1.843
1,2,1,1,1,1.49
1,2,1,1,1,2.006
1,2,1,1,1,1.633
1,2,1,1,1,1.667
1,2,1,1,1,1.667
1,2,1,1,1,1.547
1,2,1,1,1,1.837
1,2,1,1,1,1.37
1,2,1,1,1,1.955
1,2,1,1,1,1.628
1,2,1,1,1,1.587
1,2,1,1,1,1.331
1,2,1,1,1,1.581
1,2,1,1,1,1.618
1,2,1,1,1,1.36
1,2,1,1,1,1.577
1,2,1,1,1,1.829
1,2,1,1,1,1.279
1,2,1,1,1,1.803
1,2,1,1,1,1.676
1,2,1,1,1,1.823
1,2,1,1,1,1.506
1,2,1,1,1,1.627
1,2,1,1,1,1.866
1,2,1,1,1,1.969
1,2,1,1,1,1.733
1,2,1,1,1,1.833
1,2,1,1,1,1.949
1,2,1,1,1,1.816
1,2,1,1,1,1.45
1,2,1,1,1,0.069
1,2,1,1,1,0.06
1,2,1,1,1,0.199
1,2,1,1,1,0.101
1,2,1,1,1,1.93
1,2,1,1,1,1.62
1,2,1,1,1,1.827
1,2,1,1,1,1.722
1,2,1,1,1,1.727
1,2,1,1,1,1.559
1,2,1,1,1,0.083
1,2,1,1,1,0.363
1,2,1,1,1,1.399
1,2,1,1,1,1.75
1,2,1,1,1,0.217
1,2,1,1,1,0.097
1,2,1,1,1,1.622
1,2,1,1,1,1.365
1,2,1,1,1,0.824
1,2,1,1,1,1.958
1,2,1,1,1,3.472
1,2,1,1,1,1.549
1,2,1,1,1,1.633
1,2,1,1,1,1.987
1,2,1,1,1,2.073
1,2,1,1,1,1.06
1,2,1,1,1,0.081
1,2,1,1,1,0.403
1,2,1,1,1,2.566
1,2,1,1,1,1.876
1,2,1,1,1,1.766
1,2,1,1,1,2.073
1,2,1,1,1,1.261
1,2,1,1,1,0.198
1,2,1,1,1,0.096
1,2,1,1,1,2.331
1,2,1,1,1,1.529
1,2,1,1,1,0.089
1,2,1,1,1,0.193
1,2,1,1,1,1.748
1,2,1,1,1,2.13
1,2,1,1,1,1.572
1,2,1,1,1,0.082
1,2,1,1,1,0.134
1,2,1,1,1,1.963
1,2,1,1,1,1.444
1,2,1,1,1,2.603
1,2,1,1,1,1.46
1,2,1,1,1,2.017
1,2,1,1,1,1.727
1,2,1,1,1,0.126
1,2,1,1,1,0.115
1,2,1,1,1,1.528
1,2,1,1,1,0.106
1,2,1,1,1,0.33
1,2,1,1,1,1.411
1,2,1,1,1,2.166
1,2,1,1,1,1.544
1,2,1,1,1,1.75
1,2,1,1,1,1.95
1,2,1,1,1,1.908
1,2,1,1,1,1.615
1,2,1,1,1,2.1
1,2,1,1,1,2.022
1,2,1,1,1,1.229
1,2,1,1,1,1.839
1,2,1,1,1,1.586
1,2,1,1,1,2.036
1,2,1,1,1,2.383
1,2,1,1,1,1.193
1,2,1,1,1,1.904
1,2,1,1,1,1.825
1,2,1,1,1,1.859
1,2,1,1,1,1.731
1,2,1,1,1,1.819
1,2,1,1,1,2.15
1,2,1,1,1,1.436
1,2,1,1,1,1.853
1,2,1,1,1,2.168
1,2,1,1,1,1.351
1,2,1,1,1,2.228
1,2,1,1,1,1.835
1,2,1,1,1,1.327
1,2,1,1,1,0.102
1,2,1,1,1,0.225
1,2,1,1,1,1.447
1,2,1,1,1,0.084
1,2,1,1,1,0.132
1,2,1,1,1,1.676
1,2,1,1,1,2.02
1,2,1,1,1,1.337
1,2,1,1,1,1.794
1,2,1,1,1,0.078
1,2,1,1,2,1.956
1,2,1,1,2,0.071
1,2,1,1,2,0.085
1,2,1,1,2,0.482
1,2,1,1,2,2.249
1,2,1,1,2,1.463
1,2,1,1,2,0.091
1,2,1,1,2,0.18
1,2,1,1,2,2.203
1,2,1,1,2,1.719
1,2,1,1,2,1.805
1,2,1,1,2,1.684
1,2,1,1,2,1.809
1,2,1,1,2,1.661
1,2,1,1,2,1.546
1,2,1,1,2,1.775
1,2,1,1,2,1.617
1,2,1,1,2,1.919
1,2,1,1,2,1.443
1,2,1,1,2,1.844
1,2,1,1,2,1.706
1,2,1,1,2,2.298
1,2,1,1,2,1.855
1,2,1,1,2,1.75
1,2,1,1,2,1.949
1,2,1,1,2,1.392
1,2,1,1,2,1.486
1,2,1,1,2,1.623
1,2,1,1,2,1.853
1,2,1,1,2,1.645
1,2,1,1,2,1.726
1,2,1,1,2,1.799
1,2,1,1,2,1.493
1,2,1,1,2,1.611
1,2,1,1,2,1.746
1,2,1,1,2,1.515
1,2,1,1,2,1.733
1,2,1,1,2,1.404
1,2,1,1,2,1.655
1,2,1,1,2,1.657
1,2,1,1,2,1.551
1,2,1,1,2,1.9
1,2,1,1,2,1.614
1,2,1,1,2,1.418
1,2,1,1,2,1.83
1,2,1,1,2,1.424
1,2,1,1,2,1.547
1,2,1,1,2,1.352
1,2,1,1,2,1.678
1,2,1,1,2,1.699
1,2,1,1,2,1.488
1,2,1,1,2,1.76
1,2,1,1,2,1.686
1,2,1,1,2,1.356
1,2,1,1,2,1.515
1,2,1,1,2,1.559
1,2,1,1,2,1.472
1,2,1,1,2,1.512
1,2,1,1,2,1.578
1,2,1,1,2,4.946
