grp , pp , S , IDR , IDL , accQL
1,2,1,1,1,0.53666
1,2,1,1,1,2.7239
1,2,1,1,1,0.3134
1,2,1,1,1,1.9643
1,2,1,1,1,0.45257
1,2,1,1,1,2.4138
1,2,1,1,1,1.3333
1,2,1,1,1,0.85417
1,2,1,1,1,0.54125
1,2,1,1,1,1.6225
1,2,1,1,1,0.50854
1,2,1,1,1,1.4257
1,2,1,1,1,0.76359
1,2,1,1,1,1.0035
1,2,1,1,1,0.72664
1,2,1,1,1,1.4438
1,2,1,1,1,0.94702
1,2,1,1,1,0.45833
1,2,1,1,1,0.36646
1,2,1,1,1,0.80357
1,2,1,1,1,1.766
1,2,1,1,1,0.68182
1,2,1,1,1,5.4444
1,2,1,1,1,1.8588
1,2,1,1,1,0.74444
1,2,1,1,1,2.5144
1,2,1,1,1,0.5672
1,2,1,1,1,1.2105
1,2,1,1,1,1.1333
1,2,1,1,1,3.1563
1,2,1,1,1,0.46457
1,2,1,1,1,1.3333
1,2,1,1,1,1.6328
1,2,1,1,1,2.2942
1,2,1,1,1,1.0256
1,2,1,1,1,0.81366
1,2,1,1,1,1.2143
1,2,1,1,1,0.7931
1,2,1,1,1,0.46606
1,2,1,1,1,1.4867
1,2,1,1,1,0.54778
1,2,1,1,1,2.1471
1,2,1,1,1,0.60621
1,2,1,1,1,1.3952
1,2,1,1,1,1.2632
1,2,1,1,1,0.75758
1,2,1,1,1,0.54048
1,2,1,1,1,1.9033
1,2,1,1,1,0.667
1,2,1,1,1,1.5413
1,2,1,1,1,0.69173
1,2,1,1,1,3.2414
1,2,1,1,1,1.092
1,2,1,1,1,1
1,2,1,1,1,1.5909
1,2,1,1,1,1
1,2,1,1,1,0.7304
1,2,1,1,1,1.6071
1,2,1,1,1,0.96875
1,2,1,1,1,0.89078
1,2,1,1,1,0.53613
1,2,1,1,1,1.4929
1,2,1,1,1,1.0822
1,2,1,1,1,0.63636
1,2,1,1,1,0.5659
1,2,1,1,1,2.4181
1,2,1,1,1,0.55209
1,2,1,1,1,1.859
1,2,1,1,1,0.40019
1,2,1,1,1,1.2583
1,2,1,1,1,0.52145
1,2,1,1,1,1.5652
1,2,1,1,1,1.7049
1,2,1,1,1,0.62857
1,2,1,1,1,0.44604
1,2,1,1,1,1.2413
1,2,1,1,1,0.93382
1,2,1,1,1,1.1688
1,2,1,1,1,0.67155
1,2,1,1,1,0.70179
1,2,1,1,1,2.1775
1,2,1,1,1,0.30681
1,2,1,1,1,1.9584
1,2,1,1,1,0.52286
1,2,1,1,1,2.5544
1,2,1,1,1,1.5185
1,2,1,1,1,1.3556
1,2,1,1,1,0.46749
1,2,1,1,1,2.221
1,2,1,1,1,0.4159
1,2,1,1,1,2.2623
1,2,1,1,1,0.28275
1,2,1,1,1,1.8856
1,2,1,1,1,0.42254
1,2,1,1,1,1.8545
1,2,1,1,1,0.43168
1,2,1,1,1,2.3207
1,2,1,1,1,0.42139
1,2,1,1,1,1.7601
1,2,1,1,1,0.54875
1,2,1,1,1,1.3167
1,2,1,1,1,0.72383
1,2,1,1,1,1.0154
1,2,1,1,1,0.36282
1,2,1,1,1,1.2958
1,2,1,1,1,0.60177
1,2,1,1,1,2.1198
1,2,1,1,1,0.45733
1,2,1,1,1,1.8099
1,2,1,1,1,0.51876
1,2,1,1,1,1.5631
1,2,1,1,1,0.63185
1,2,1,1,1,0.93242
1,2,1,1,1,0.49358
1,2,1,1,1,1.2272
1,2,1,1,1,0.38025
1,2,1,1,1,1.3688
1,2,1,1,1,0.54248
1,2,1,1,1,1.1534
1,2,1,1,1,0.81792
1,2,1,1,1,1.5785
1,2,1,1,1,0.58067
1,2,1,1,1,1.4684
1,2,1,1,1,0.58279
1,2,1,1,1,1.5628
1,2,1,1,1,0.59978
1,2,1,1,1,1.0588
1,2,1,1,1,0.96774
1,2,1,1,1,1.1053
1,2,1,1,1,0.85455
1,2,1,1,1,1.6708
1,2,1,1,1,0.29266
1,2,1,1,1,1.0289
1,2,1,1,1,0.35669
1,2,1,1,1,1.6024
1,2,1,1,1,0.49569
1,2,1,1,1,0.90909
1,2,1,1,1,1.4932
1,2,1,1,1,2.2407
1,2,1,1,1,0.49403
1,2,1,1,1,1.3441
1,2,1,1,1,1.7222
1,2,1,1,1,1.8524
1,2,1,1,1,0.33268
1,2,1,1,1,1.4481
1,2,1,1,1,0.92815
1,2,1,1,1,0.64053
1,2,1,1,1,1.8182
1,2,1,1,1,0.27656
1,2,1,1,1,1.5619
1,2,1,1,1,0.29869
1,2,1,1,1,1.763
1,2,1,1,1,1.1026
1,2,1,1,1,1.2955
1,2,1,1,1,0.47359
1,2,1,1,1,1.8526
1,2,1,1,1,0.37189
1,2,1,1,1,1.6023
1,2,1,1,1,0.7264
1,2,1,1,1,0.85981
1,2,1,1,1,1.2558
1,2,1,1,1,2.1471
1,2,1,1,1,0.29223
1,2,1,1,1,0.34328
1,2,1,1,1,0.86538
1,2,1,1,1,1.5496
1,2,1,1,1,0.57386
1,2,1,1,1,2.0426
1,2,1,1,1,1.3714
1,2,1,1,1,2.2143
1,2,1,1,1,0.4924
1,2,1,1,1,2.0357
1,2,1,1,1,0.67137
1,2,1,1,1,2.4215
1,2,1,1,1,0.61311
1,2,1,1,1,2.5702
1,2,1,1,1,1.3091
1,2,1,1,1,0.78462
1,2,1,1,1,0.71991
1,2,1,1,1,1.1837
1,2,1,1,1,1.2067
1,2,1,1,1,2.1874
1,2,1,1,1,0.51645
1,2,1,1,1,2.09
1,2,1,1,1,0.73366
1,2,1,1,1,1.7097
1,2,1,1,1,0.62468
1,2,1,1,1,1.1461
1,2,1,1,1,0.69709
1,2,1,1,1,1.6902
1,2,1,1,1,0.36364
1,2,1,1,1,1.3203
1,2,1,1,1,0.50712
1,2,1,1,1,1.8292
1,2,1,1,1,0.63288
1,2,1,1,1,2.9536
1,2,1,1,1,0.46764
1,2,1,1,1,1.6311
1,2,1,1,1,0.58433
1,2,1,1,1,1.7712
1,2,1,1,1,0.42969
1,2,1,1,1,2.0817
1,2,1,1,1,0.23986
1,2,1,1,1,2.1692
1,2,1,1,1,0.75202
1,2,1,1,1,2.8963
