grp , pp , S , IDR , IDL , accQR
1,2,1,1,1,0.86813
1,2,1,1,1,1.1301
1,2,1,1,1,0.91871
1,2,1,1,1,1.0696
1,2,1,1,1,0.78327
1,2,1,1,1,4.2808
1,2,1,1,1,0.54191
1,2,1,1,1,2.561
1,2,1,1,1,0.44673
1,2,1,1,1,1.8926
1,2,1,1,1,0.72031
1,2,1,1,1,2.5418
1,2,1,1,1,0.32837
1,2,1,1,1,1.9915
1,2,1,1,1,0.51868
1,2,1,1,1,2.5
1,2,1,1,1,1.2667
1,2,1,1,1,1.6266
1,2,1,1,1,0.40279
1,2,1,1,1,1.877
1,2,1,1,1,0.52338
1,2,1,1,1,2.2805
1,2,1,1,1,1.3654
1,2,1,1,1,1.1622
1,2,1,1,1,0.72399
1,2,1,1,1,1.6131
1,2,1,1,1,0.52614
1,2,1,1,1,2.6805
1,2,1,1,1,0.61722
1,2,1,1,1,2.2584
1,2,1,1,1,0.85227
1,2,1,1,1,0.984
1,2,1,1,1,0.5123
1,2,1,1,1,1.702
1,2,1,1,1,0.60833
1,2,1,1,1,1.5557
1,2,1,1,1,0.6789
1,2,1,1,1,2.4084
1,2,1,1,1,0.61332
1,2,1,1,1,1.5378
1,2,1,1,1,0.51201
1,2,1,1,1,1.8721
1,2,1,1,1,0.25171
1,2,1,1,1,2.09
1,2,1,1,1,0.65409
1,2,1,1,1,2.2376
1,2,1,1,1,0.68567
1,2,1,1,1,2.2807
1,2,1,1,1,0.75635
1,2,1,1,1,2.5648
1,2,1,1,1,0.83511
1,2,1,1,1,2.4915
1,2,1,1,1,0.57167
1,2,1,1,1,1.9269
1,2,1,1,1,0.51052
1,2,1,1,1,1.5545
1,2,1,1,1,0.43615
1,2,1,1,1,2.5137
1,2,1,1,1,0.54143
1,2,1,1,1,0.40402
1,2,1,1,1,2.3248
1,2,1,1,1,0.39241
1,2,1,1,1,2.0229
1,2,1,1,1,0.5518
1,2,1,1,1,2.4459
1,2,1,1,1,1.1724
1,2,1,1,1,0.66364
1,2,1,1,1,0.53801
1,2,1,1,1,3
1,2,1,1,1,0.70326
1,2,1,1,1,2.1633
1,2,1,1,1,0.58318
1,2,1,1,1,1.7933
1,2,1,1,1,0.60181
1,2,1,1,1,1.7862
1,2,1,1,1,0.42846
1,2,1,1,1,2.017
1,2,1,1,1,0.446
1,2,1,1,1,1.5
1,2,1,1,1,0.53772
1,2,1,1,1,2.0854
1,2,1,1,1,0.59843
1,2,1,1,1,1.8928
1,2,1,1,1,0.37763
1,2,1,1,1,2.0856
1,2,1,1,1,0.58608
1,2,1,1,1,2.1173
1,2,1,1,1,0.75544
1,2,1,1,1,1.7318
1,2,1,1,1,0.4238
1,2,1,1,1,2.0087
1,2,1,1,1,0.63073
1,2,1,1,1,1.6514
1,2,1,1,1,0.47353
1,2,1,1,1,2.1421
1,2,1,1,1,0.64168
1,2,1,1,1,2.2903
1,2,1,1,1,0.50885
1,2,1,1,1,1.4517
1,2,1,1,1,0.7105
1,2,1,1,1,1.9913
1,2,1,1,1,0.66726
1,2,1,1,1,2.4136
1,2,1,1,1,0.58717
1,2,1,1,1,1.7755
1,2,1,1,1,1.6111
1,2,1,1,1,0.70732
1,2,1,1,1,0.59528
1,2,1,1,1,1.5194
1,2,1,1,1,0.53386
1,2,1,1,1,1.9452
1,2,1,1,1,0.36778
1,2,1,1,1,2.3181
1,2,1,1,1,0.47716
1,2,1,1,1,1.7048
1,2,1,1,1,0.49175
1,2,1,1,1,3.5289
1,2,1,1,1,0.47644
1,2,1,1,1,0.13907
1,2,1,1,1,0.84031
1,2,1,1,1,0.84
1,2,1,1,1,1.0605
1,2,1,1,1,1.0413
1,2,1,1,1,0.99711
1,2,1,1,1,0.48502
1,2,1,1,1,2.336
1,2,1,1,1,0.42949
1,2,1,1,1,2.0252
1,2,1,1,1,0.46075
1,2,1,1,1,1.7797
1,2,1,1,1,0.63423
1,2,1,1,1,1.8872
1,2,1,1,1,0.60536
1,2,1,1,1,3.6598
1,2,1,1,1,0.68908
1,2,1,1,1,3.2263
1,2,1,1,1,0.54341
1,2,1,1,1,1.5526
1,2,1,1,1,1.24
1,2,1,1,1,0.62295
1,2,1,1,1,0.72105
1,2,1,1,1,2.41
1,2,1,1,1,0.63052
1,2,1,1,1,1.9982
1,2,1,1,1,0.71827
1,2,1,1,1,1.8128
1,2,1,1,1,0.47722
1,2,1,1,1,3.2874
1,2,1,1,1,0.68615
1,2,1,1,1,2.0583
1,2,1,1,1,0.56308
1,2,1,1,1,3.2577
1,2,1,1,1,0.84733
1,2,1,1,1,1.8816
1,2,1,1,1,0.4967
1,2,1,1,1,3.3097
1,2,1,1,1,1.4
1,2,1,1,1,0.94737
1,2,1,1,1,0.49124
1,2,1,1,1,1.7061
1,2,1,1,1,0.61296
1,2,1,1,1,3.8291
