grp , pp , S , IDR , IDL , accTimeR
1,2,1,1,1,0.53687
1,2,1,1,1,0.46974
1,2,1,1,1,0.52139
1,2,1,1,1,0.4835
1,2,1,1,1,0.56089
1,2,1,1,1,0.1895
1,2,1,1,1,0.6489
1,2,1,1,1,0.281
1,2,1,1,1,0.69164
1,2,1,1,1,0.346
1,2,1,1,1,0.58162
1,2,1,1,1,0.28256
1,2,1,1,1,0.75333
1,2,1,1,1,0.33447
1,2,1,1,1,0.65884
1,2,1,1,1,0.28916
1,2,1,1,1,0.44776
1,2,1,1,1,0.38098
1,2,1,1,1,0.71334
1,2,1,1,1,0.34783
1,2,1,1,1,0.65679
1,2,1,1,1,0.3051
1,2,1,1,1,0.42363
1,2,1,1,1,0.46835
1,2,1,1,1,0.58041
1,2,1,1,1,0.3829
1,2,1,1,1,0.65562
1,2,1,1,1,0.27186
1,2,1,1,1,0.61867
1,2,1,1,1,0.30708
1,2,1,1,1,0.54321
1,2,1,1,1,0.50607
1,2,1,1,1,0.66162
1,2,1,1,1,0.37028
1,2,1,1,1,0.62213
1,2,1,1,1,0.3915
1,2,1,1,1,0.5959
1,2,1,1,1,0.29362
1,2,1,1,1,0.62015
1,2,1,1,1,0.39425
1,2,1,1,1,0.66179
1,2,1,1,1,0.3484
1,2,1,1,1,0.79934
1,2,1,1,1,0.32384
1,2,1,1,1,0.60489
1,2,1,1,1,0.30906
1,2,1,1,1,0.59352
1,2,1,1,1,0.30506
1,2,1,1,1,0.56965
1,2,1,1,1,0.2807
1,2,1,1,1,0.54521
1,2,1,1,1,0.28661
1,2,1,1,1,0.6366
1,2,1,1,1,0.34189
1,2,1,1,1,0.66236
1,2,1,1,1,0.39175
1,2,1,1,1,0.69665
1,2,1,1,1,0.2848
1,2,1,1,1,0.64909
1,2,1,1,1,0.71262
1,2,1,1,1,0.30093
1,2,1,1,1,0.71865
1,2,1,1,1,0.331
1,2,1,1,1,0.64472
1,2,1,1,1,0.29039
1,2,1,1,1,0.46774
1,2,1,1,1,0.6044
1,2,1,1,1,0.65055
1,2,1,1,1,0.25013
