grp , pp , S , IDR , IDL , circularityL
1,2,1,1,1,0.8445
1,2,1,1,1,0.83292
1,2,1,1,1,0.85793
1,2,1,1,1,0.8445
1,2,1,1,1,0.83292
1,2,1,1,1,0.85793
1,2,1,1,2,0.84013
1,2,1,1,2,0.88463
1,2,1,1,2,0.78978
1,2,1,1,2,0.84013
1,2,1,1,2,0.88463
1,2,1,1,2,0.78978
1,2,1,2,1,0.7854
1,2,1,2,1,0.745
1,2,1,2,1,0.76567
1,2,1,2,1,0.7854
1,2,1,2,1,0.745
1,2,1,2,1,0.76567
1,2,1,2,2,0.86396
1,2,1,2,2,0.75122
1,2,1,2,2,0.84643
1,2,1,2,2,0.86396
1,2,1,2,2,0.75122
1,2,1,2,2,0.84643
1,2,1,3,1,0.82859
1,2,1,3,1,0.85466
1,2,1,3,1,0.79968
1,2,1,3,1,0.82859
1,2,1,3,1,0.85466
1,2,1,3,1,0.79968
1,2,1,3,2,0.84218
1,2,1,3,2,0.91925
1,2,1,3,2,0.88583
1,2,1,3,2,0.84218
1,2,1,3,2,0.91925
1,2,1,3,2,0.88583
1,2,4,1,1,0.8379
1,2,4,1,1,0.78698
1,2,4,1,1,0.81422
1,2,4,1,1,0.8379
1,2,4,1,1,0.78698
1,2,4,1,1,0.81422
1,2,4,1,2,0.86262
1,2,4,1,2,0.88372
1,2,4,1,2,0.79153
1,2,4,1,2,0.86262
1,2,4,1,2,0.88372
1,2,4,1,2,0.79153
1,2,4,2,1,0.93637
1,2,4,2,1,0.84159
1,2,4,2,1,0.77787
1,2,4,2,1,0.93637
1,2,4,2,1,0.84159
1,2,4,2,1,0.77787
1,2,4,2,2,0.86141
1,2,4,2,2,0.87097
1,2,4,2,2,0.73459
1,2,4,2,2,0.86141
1,2,4,2,2,0.87097
1,2,4,2,2,0.73459
1,2,4,3,1,0.93108
1,2,4,3,1,0.82095
1,2,4,3,1,0.903
1,2,4,3,1,0.93108
1,2,4,3,1,0.82095
1,2,4,3,1,0.903
1,2,4,3,2,0.88977
1,2,4,3,2,0.92305
1,2,4,3,2,0.87715
1,2,4,3,2,0.88977
1,2,4,3,2,0.92305
1,2,4,3,2,0.87715
1,2,7,1,1,0.77112
1,2,7,1,1,0.75628
1,2,7,1,1,0.84982
1,2,7,1,1,0.77112
1,2,7,1,1,0.75628
1,2,7,1,1,0.84982
