grp , pp , S , IDR , IDL , decTimeL
1,2,1,1,1,0.34941
1,2,1,1,1,0.73195
1,2,1,1,1,0.23876
1,2,1,1,1,0.66306
1,2,1,1,1,0.31178
1,2,1,1,1,0.70772
1,2,1,1,1,0.58065
1,2,1,1,1,0.46591
1,2,1,1,1,0.35143
1,2,1,1,1,0.61908
1,2,1,1,1,0.33732
1,2,1,1,1,0.5881
1,2,1,1,1,0.43327
1,2,1,1,1,0.50117
1,2,1,1,1,0.42112
1,2,1,1,1,0.59126
1,2,1,1,1,0.48805
1,2,1,1,1,0.31884
1,2,1,1,1,0.26839
1,2,1,1,1,0.45
1,2,1,1,1,0.64093
1,2,1,1,1,0.40909
1,2,1,1,1,0.85217
1,2,1,1,1,0.65063
1,2,1,1,1,0.42698
1,2,1,1,1,0.71611
1,2,1,1,1,0.36212
1,2,1,1,1,0.552
1,2,1,1,1,0.53292
1,2,1,1,1,0.7599
1,2,1,1,1,0.31739
1,2,1,1,1,0.57778
1,2,1,1,1,0.62202
1,2,1,1,1,0.69686
1,2,1,1,1,0.51282
1,2,1,1,1,0.45017
1,2,1,1,1,0.55738
1,2,1,1,1,0.45098
1,2,1,1,1,0.31808
1,2,1,1,1,0.59814
1,2,1,1,1,0.35413
1,2,1,1,1,0.68264
1,2,1,1,1,0.37759
1,2,1,1,1,0.58299
1,2,1,1,1,0.56471
1,2,1,1,1,0.4386
1,2,1,1,1,0.35102
1,2,1,1,1,0.656
1,2,1,1,1,0.40035
1,2,1,1,1,0.60686
1,2,1,1,1,0.40912
1,2,1,1,1,0.76492
1,2,1,1,1,0.52486
1,2,1,1,1,0.50877
1,2,1,1,1,0.625
1,2,1,1,1,0.50588
1,2,1,1,1,0.42233
1,2,1,1,1,0.61698
1,2,1,1,1,0.5
1,2,1,1,1,0.47197
1,2,1,1,1,0.34921
1,2,1,1,1,0.59943
1,2,1,1,1,0.52318
1,2,1,1,1,0.39623
1,2,1,1,1,0.36156
1,2,1,1,1,0.70793
1,2,1,1,1,0.35591
1,2,1,1,1,0.6506
1,2,1,1,1,0.28601
1,2,1,1,1,0.55748
1,2,1,1,1,0.34298
1,2,1,1,1,0.61057
1,2,1,1,1,0.63415
1,2,1,1,1,0.38938
1,2,1,1,1,0.30865
1,2,1,1,1,0.55423
1,2,1,1,1,0.48473
1,2,1,1,1,0.54217
1,2,1,1,1,0.402
1,2,1,1,1,0.41256
1,2,1,1,1,0.68564
1,2,1,1,1,0.23492
1,2,1,1,1,0.66235
1,2,1,1,1,0.34353
1,2,1,1,1,0.71919
1,2,1,1,1,0.60591
1,2,1,1,1,0.58095
1,2,1,1,1,0.31873
1,2,1,1,1,0.68988
1,2,1,1,1,0.29393
1,2,1,1,1,0.69384
1,2,1,1,1,0.22059
1,2,1,1,1,0.6538
1,2,1,1,1,0.29721
1,2,1,1,1,0.65003
1,2,1,1,1,0.30168
1,2,1,1,1,0.69933
1,2,1,1,1,0.29661
1,2,1,1,1,0.63809
1,2,1,1,1,0.35453
1,2,1,1,1,0.56869
1,2,1,1,1,0.42017
1,2,1,1,1,0.50408
1,2,1,1,1,0.26642
1,2,1,1,1,0.56471
1,2,1,1,1,0.37592
1,2,1,1,1,0.6799
1,2,1,1,1,0.31405
1,2,1,1,1,0.64453
1,2,1,1,1,0.34178
1,2,1,1,1,0.61029
1,2,1,1,1,0.38744
1,2,1,1,1,0.48278
1,2,1,1,1,0.33073
1,2,1,1,1,0.5513
1,2,1,1,1,0.27566
1,2,1,1,1,0.57817
1,2,1,1,1,0.35193
1,2,1,1,1,0.53596
1,2,1,1,1,0.45016
1,2,1,1,1,0.61249
1,2,1,1,1,0.36757
1,2,1,1,1,0.5952
1,2,1,1,1,0.36839
1,2,1,1,1,0.61013
1,2,1,1,1,0.37517
1,2,1,1,1,0.52174
1,2,1,1,1,0.5
1,2,1,1,1,0.52764
1,2,1,1,1,0.46535
1,2,1,1,1,0.62591
1,2,1,1,1,0.22654
1,2,1,1,1,0.50739
1,2,1,1,1,0.26307
1,2,1,1,1,0.6161
1,2,1,1,1,0.33162
1,2,1,1,1,0.48193
1,2,1,1,1,0.60055
1,2,1,1,1,0.69192
1,2,1,1,1,0.33086
1,2,1,1,1,0.57604
1,2,1,1,1,0.63918
1,2,1,1,1,0.64982
1,2,1,1,1,0.24982
1,2,1,1,1,0.59223
1,2,1,1,1,0.48161
1,2,1,1,1,0.39055
1,2,1,1,1,0.64558
1,2,1,1,1,0.21678
1,2,1,1,1,0.60996
1,2,1,1,1,0.2301
1,2,1,1,1,0.63868
1,2,1,1,1,0.53086
1,2,1,1,1,0.56576
1,2,1,1,1,0.32151
1,2,1,1,1,0.64979
1,2,1,1,1,0.27123
1,2,1,1,1,0.61602
1,2,1,1,1,0.42109
1,2,1,1,1,0.46465
1,2,1,1,1,0.5625
1,2,1,1,1,0.68254
1,2,1,1,1,0.22629
1,2,1,1,1,0.25843
1,2,1,1,1,0.46632
1,2,1,1,1,0.60812
1,2,1,1,1,0.36479
1,2,1,1,1,0.67176
1,2,1,1,1,0.58537
1,2,1,1,1,0.69403
1,2,1,1,1,0.33011
1,2,1,1,1,0.67105
1,2,1,1,1,0.40184
1,2,1,1,1,0.70822
1,2,1,1,1,0.38027
1,2,1,1,1,0.72032
1,2,1,1,1,0.57143
1,2,1,1,1,0.44348
1,2,1,1,1,0.41885
1,2,1,1,1,0.54717
1,2,1,1,1,0.54848
1,2,1,1,1,0.68675
1,2,1,1,1,0.34072
1,2,1,1,1,0.67681
1,2,1,1,1,0.42343
1,2,1,1,1,0.63128
1,2,1,1,1,0.3847
1,2,1,1,1,0.53437
1,2,1,1,1,0.41095
1,2,1,1,1,0.62859
1,2,1,1,1,0.26688
1,2,1,1,1,0.56933
1,2,1,1,1,0.3367
1,2,1,1,1,0.64686
1,2,1,1,1,0.38775
1,2,1,1,1,0.74769
1,2,1,1,1,0.3188
1,2,1,1,1,0.62027
1,2,1,1,1,0.36902
1,2,1,1,1,0.63951
1,2,1,1,1,0.30071
1,2,1,1,1,0.67581
1,2,1,1,1,0.19359
1,2,1,1,1,0.68484
1,2,1,1,1,0.42943
1,2,1,1,1,0.74389
1,2,1,1,1,0.43851
1,2,1,1,1,0.67738
1,2,1,1,1,0.30595
1,2,1,1,1,0.44118
1,2,1,1,1,0.54667
1,2,1,1,1,0.75397
1,2,1,1,1,0.54762
1,2,1,1,1,0.44697
1,2,1,1,1,0.27924
1,2,1,1,1,0.60792
1,2,1,1,1,0.31937
1,2,1,1,1,0.65385
1,2,1,1,1,0.53846
1,2,1,1,1,0.34941
1,2,1,1,1,0.73195
1,2,1,1,1,0.23876
1,2,1,1,1,0.66306
1,2,1,1,1,0.31178
1,2,1,1,1,0.70772
1,2,1,1,1,0.58065
1,2,1,1,1,0.46591
1,2,1,1,1,0.35143
