grp , pp , S , IDR , IDL , decTimeR
1,2,1,1,1,0.46608
1,2,1,1,1,0.53084
1,2,1,1,1,0.47901
1,2,1,1,1,0.51713
1,2,1,1,1,0.43933
1,2,1,1,1,0.81122
1,2,1,1,1,0.35165
1,2,1,1,1,0.71966
1,2,1,1,1,0.30898
1,2,1,1,1,0.65483
1,2,1,1,1,0.41894
1,2,1,1,1,0.7182
1,2,1,1,1,0.24737
1,2,1,1,1,0.6661
1,2,1,1,1,0.34173
1,2,1,1,1,0.72289
1,2,1,1,1,0.56716
1,2,1,1,1,0.6197
1,2,1,1,1,0.28733
1,2,1,1,1,0.65288
1,2,1,1,1,0.34375
1,2,1,1,1,0.69576
1,2,1,1,1,0.57841
1,2,1,1,1,0.5443
1,2,1,1,1,0.42021
1,2,1,1,1,0.61768
1,2,1,1,1,0.34494
1,2,1,1,1,0.72871
1,2,1,1,1,0.38186
1,2,1,1,1,0.69353
1,2,1,1,1,0.46296
1,2,1,1,1,0.49798
1,2,1,1,1,0.33895
1,2,1,1,1,0.6302
1,2,1,1,1,0.37846
1,2,1,1,1,0.60906
1,2,1,1,1,0.40456
1,2,1,1,1,0.70715
1,2,1,1,1,0.38035
1,2,1,1,1,0.60629
1,2,1,1,1,0.33884
1,2,1,1,1,0.65226
1,2,1,1,1,0.20121
1,2,1,1,1,0.67682
1,2,1,1,1,0.39565
1,2,1,1,1,0.69155
1,2,1,1,1,0.40696
1,2,1,1,1,0.69576
1,2,1,1,1,0.43085
1,2,1,1,1,0.71995
1,2,1,1,1,0.45531
1,2,1,1,1,0.71409
1,2,1,1,1,0.36392
1,2,1,1,1,0.65878
1,2,1,1,1,0.33815
1,2,1,1,1,0.60898
1,2,1,1,1,0.30385
1,2,1,1,1,0.71591
1,2,1,1,1,0.35144
1,2,1,1,1,0.28791
1,2,1,1,1,0.69962
1,2,1,1,1,0.282
1,2,1,1,1,0.66958
1,2,1,1,1,0.35576
1,2,1,1,1,0.71027
1,2,1,1,1,0.54839
1,2,1,1,1,0.4011
1,2,1,1,1,0.35
1,2,1,1,1,0.7504
1,2,1,1,1,0.41313
1,2,1,1,1,0.68427
1,2,1,1,1,0.36858
1,2,1,1,1,0.64239
1,2,1,1,1,0.37592
1,2,1,1,1,0.64146
1,2,1,1,1,0.30011
1,2,1,1,1,0.66892
1,2,1,1,1,0.30859
1,2,1,1,1,0.60037
1,2,1,1,1,0.34989
1,2,1,1,1,0.67633
1,2,1,1,1,0.37459
1,2,1,1,1,0.65475
1,2,1,1,1,0.27428
