grp , pp , S , IDR , IDL , peakVelL
1,2,1,1,1,0.1625
1,2,1,1,1,0.18822
1,2,1,1,1,0.25844
1,2,1,1,1,0.27945
1,2,1,1,1,0.27794
1,2,1,1,1,0.24558
1,2,1,1,1,0.0016783
1,2,1,1,1,0.0031263
1,2,1,1,1,0.2283
1,2,1,1,1,0.24225
1,2,1,1,1,0.2329
1,2,1,1,1,0.2926
1,2,1,1,1,0.2476
1,2,1,1,1,0.24976
1,2,1,1,1,0.22908
1,2,1,1,1,0.27143
1,2,1,1,1,0.0052806
1,2,1,1,1,0.0021697
1,2,1,1,1,0.26702
1,2,1,1,1,0.002585
1,2,1,1,1,0.0051254
1,2,1,1,1,0.0025394
1,2,1,1,1,0.001529
1,2,1,1,1,0.27354
1,2,1,1,1,0.25588
1,2,1,1,1,0.24299
1,2,1,1,1,0.24406
1,2,1,1,1,0.0015158
1,2,1,1,1,0.005695
1,2,1,1,1,0.17276
1,2,1,1,1,0.24027
1,2,1,1,1,0.0029678
1,2,1,1,1,0.004825
1,2,1,1,1,0.24053
1,2,1,1,1,0.0042351
1,2,1,1,1,0.018539
1,2,1,1,1,0.0071204
1,2,1,1,1,0.0040894
1,2,1,1,1,0.22949
1,2,1,1,1,0.23123
1,2,1,1,1,0.28305
1,2,1,1,1,0.2495
1,2,1,1,1,0.25819
1,2,1,1,1,0.23344
1,2,1,1,1,0.0043803
1,2,1,1,1,0.0018231
1,2,1,1,1,0.22797
1,2,1,1,1,0.29158
1,2,1,1,1,0.23965
1,2,1,1,1,0.27859
1,2,1,1,1,0.21576
1,2,1,1,1,0.2334
1,2,1,1,1,0.0041984
1,2,1,1,1,0.0016696
1,2,1,1,1,0.0023478
1,2,1,1,1,0.0051426
1,2,1,1,1,0.24355
1,2,1,1,1,0.25627
1,2,1,1,1,0.0018638
1,2,1,1,1,0.0077825
1,2,1,1,1,0.21978
1,2,1,1,1,0.25851
1,2,1,1,1,0.002273
1,2,1,1,1,0.0014682
1,2,1,1,1,0.21903
1,2,1,1,1,0.27431
1,2,1,1,1,0.28629
1,2,1,1,1,0.25176
1,2,1,1,1,0.23717
1,2,1,1,1,0.21437
1,2,1,1,1,0.21987
1,2,1,1,1,0.23966
1,2,1,1,1,0.0053646
1,2,1,1,1,0.0022388
1,2,1,1,1,0.20631
1,2,1,1,1,0.24825
1,2,1,1,1,0.012061
1,2,1,1,1,0.0027789
1,2,1,1,1,0.22624
1,2,1,1,1,0.17273
1,2,1,1,1,0.17555
1,2,1,1,1,0.23992
1,2,1,1,1,0.2195
1,2,1,1,1,0.21984
1,2,1,1,1,0.21152
1,2,1,1,1,0.0040221
1,2,1,1,1,0.0053862
1,2,1,1,1,0.22396
1,2,1,1,1,0.21127
1,2,1,1,1,0.22844
1,2,1,1,1,0.1762
1,2,1,1,1,0.20565
1,2,1,1,1,0.19874
1,2,1,1,1,0.24051
1,2,1,1,1,0.17495
1,2,1,1,1,0.18314
1,2,1,1,1,0.19342
1,2,1,1,1,0.203
1,2,1,1,1,0.16663
1,2,1,1,1,0.15715
1,2,1,1,1,0.16699
1,2,1,1,1,0.17113
1,2,1,1,1,0.161
1,2,1,1,1,0.20092
1,2,1,1,1,0.19585
1,2,1,1,1,0.18153
1,2,1,1,1,0.17222
1,2,1,1,1,0.17427
1,2,1,1,1,0.19418
1,2,1,1,1,0.22829
1,2,1,1,1,0.18229
1,2,1,1,1,0.20828
1,2,1,1,1,0.16541
1,2,1,1,1,0.20743
1,2,1,1,1,0.079668
1,2,1,1,1,0.12167
1,2,1,1,1,0.18346
1,2,1,1,1,0.19291
1,2,1,1,1,0.2036
1,2,1,1,1,0.13683
1,2,1,1,1,0.18169
1,2,1,1,1,0.17184
1,2,1,1,1,0.1794
1,2,1,1,1,0.17563
1,2,1,1,1,0.19699
1,2,1,1,1,0.20283
1,2,1,1,1,0.0021463
1,2,1,1,1,0.0014077
1,2,1,1,1,0.005245
1,2,1,1,1,0.0020473
1,2,1,1,1,0.16825
1,2,1,1,1,0.17228
1,2,1,1,1,0.17825
1,2,1,1,1,0.21088
