grp , pp , S , IDR , IDL , peakVelR
1,2,1,1,1,0.00062842
1,2,1,1,1,0.0039193
1,2,1,1,1,0.0015684
1,2,1,1,1,0.0007652
1,2,1,1,1,0.14946
1,2,1,1,1,0.1956
1,2,1,1,1,0.21017
1,2,1,1,1,0.24956
1,2,1,1,1,0.25699
1,2,1,1,1,0.24169
1,2,1,1,1,0.21445
1,2,1,1,1,0.26097
1,2,1,1,1,0.22576
1,2,1,1,1,0.28982
1,2,1,1,1,0.24695
1,2,1,1,1,0.00080077
1,2,1,1,1,0.0014751
1,2,1,1,1,0.27194
1,2,1,1,1,0.23176
1,2,1,1,1,0.2793
1,2,1,1,1,0.23221
1,2,1,1,1,0.29519
1,2,1,1,1,0.018077
1,2,1,1,1,0.0050126
1,2,1,1,1,0.25014
1,2,1,1,1,0.25611
1,2,1,1,1,0.23376
1,2,1,1,1,0.18769
1,2,1,1,1,0.21752
1,2,1,1,1,0.22139
1,2,1,1,1,0.0038443
1,2,1,1,1,0.0066501
1,2,1,1,1,0.24027
1,2,1,1,1,0.22053
1,2,1,1,1,0.24298
1,2,1,1,1,0.28173
1,2,1,1,1,0.25435
1,2,1,1,1,0.21175
1,2,1,1,1,0.20889
1,2,1,1,1,0.26759
1,2,1,1,1,0.21082
1,2,1,1,1,0.22936
1,2,1,1,1,0.19924
1,2,1,1,1,0.2061
1,2,1,1,1,0.20812
1,2,1,1,1,0.23668
1,2,1,1,1,0.22433
1,2,1,1,1,0.24423
1,2,1,1,1,0.22656
1,2,1,1,1,0.22937
1,2,1,1,1,0.29693
1,2,1,1,1,0.21591
1,2,1,1,1,0.24141
1,2,1,1,1,0.19212
1,2,1,1,1,0.19848
1,2,1,1,1,0.22331
1,2,1,1,1,0.20471
1,2,1,1,1,0.22286
1,2,1,1,1,0.22298
1,2,1,1,1,0.20443
1,2,1,1,1,0.23894
1,2,1,1,1,0.23204
1,2,1,1,1,0.20668
1,2,1,1,1,0.24287
1,2,1,1,1,0.21516
1,2,1,1,1,0.0023272
1,2,1,1,1,0.0065785
1,2,1,1,1,0.2564
1,2,1,1,1,0.23611
1,2,1,1,1,0.24318
1,2,1,1,1,0.24964
1,2,1,1,1,0.231
1,2,1,1,1,0.28087
1,2,1,1,1,0.27462
1,2,1,1,1,0.27031
1,2,1,1,1,0.18452
1,2,1,1,1,0.2516
1,2,1,1,1,0.21298
1,2,1,1,1,0.23562
1,2,1,1,1,0.22104
1,2,1,1,1,0.25512
1,2,1,1,1,0.20831
1,2,1,1,1,0.25359
1,2,1,1,1,0.22427
1,2,1,1,1,0.24143
1,2,1,1,1,0.20383
1,2,1,1,1,0.25135
1,2,1,1,1,0.19734
1,2,1,1,1,0.22164
1,2,1,1,1,0.17299
1,2,1,1,1,0.23859
1,2,1,1,1,0.21295
1,2,1,1,1,0.21254
1,2,1,1,1,0.16208
1,2,1,1,1,0.17594
1,2,1,1,1,0.11291
1,2,1,1,1,0.21234
1,2,1,1,1,0.1813
1,2,1,1,1,0.18813
1,2,1,1,1,0.16526
1,2,1,1,1,0.21036
1,2,1,1,1,0.18315
1,2,1,1,1,0.20504
1,2,1,1,1,0.1812
1,2,1,1,1,0.22494
1,2,1,1,1,0.0018719
