grp , pp , S , IDR , IDL , q1L
1,2,1,1,1,1.0204
1,2,1,1,1,1.1085
1,2,1,1,1,1.0374
1,2,1,1,1,1.0204
1,2,1,1,1,1.1085
1,2,1,1,1,1.0374
1,2,1,1,2,0.97103
1,2,1,1,2,1.0275
1,2,1,1,2,0.99136
1,2,1,1,2,0.97103
1,2,1,1,2,1.0275
1,2,1,1,2,0.99136
1,2,1,2,1,1.0068
1,2,1,2,1,1.015
1,2,1,2,1,0.96969
1,2,1,2,1,1.0068
1,2,1,2,1,1.015
1,2,1,2,1,0.96969
1,2,1,2,2,1.0178
1,2,1,2,2,0.96535
1,2,1,2,2,0.95555
1,2,1,2,2,1.0178
1,2,1,2,2,0.96535
1,2,1,2,2,0.95555
1,2,1,3,1,0.95974
1,2,1,3,1,1.0269
1,2,1,3,1,0.98236
1,2,1,3,1,0.95974
1,2,1,3,1,1.0269
1,2,1,3,1,0.98236
1,2,1,3,2,1.0339
1,2,1,3,2,1.0188
1,2,1,3,2,0.87424
1,2,1,3,2,1.0339
1,2,1,3,2,1.0188
1,2,1,3,2,0.87424
1,2,4,1,1,0.98766
1,2,4,1,1,0.96249
1,2,4,1,1,1.0754
1,2,4,1,1,0.98766
1,2,4,1,1,0.96249
1,2,4,1,1,1.0754
1,2,4,1,2,0.96522
1,2,4,1,2,1.1016
1,2,4,1,2,0.99966
1,2,4,1,2,0.96522
1,2,4,1,2,1.1016
1,2,4,1,2,0.99966
1,2,4,2,1,1.0621
1,2,4,2,1,1.0693
1,2,4,2,1,1.0511
1,2,4,2,1,1.0621
1,2,4,2,1,1.0693
1,2,4,2,1,1.0511
1,2,4,2,2,0.87752
1,2,4,2,2,0.89907
1,2,4,2,2,0.81478
1,2,4,2,2,0.87752
1,2,4,2,2,0.89907
1,2,4,2,2,0.81478
1,2,4,3,1,1.057
1,2,4,3,1,1.0055
1,2,4,3,1,0.97897
1,2,4,3,1,1.057
1,2,4,3,1,1.0055
1,2,4,3,1,0.97897
1,2,4,3,2,0.86331
1,2,4,3,2,0.91945
1,2,4,3,2,0.93366
1,2,4,3,2,0.86331
1,2,4,3,2,0.91945
1,2,4,3,2,0.93366
1,2,7,1,1,1.085
1,2,7,1,1,1.0487
1,2,7,1,1,1.0597
1,2,7,1,1,1.085
1,2,7,1,1,1.0487
1,2,7,1,1,1.0597
1,2,7,1,2,0.99294
1,2,7,1,2,1.014
1,2,7,1,2,1.1011
1,2,7,1,2,0.99294
1,2,7,1,2,1.014
1,2,7,1,2,1.1011
1,2,7,2,1,1.0898
1,2,7,2,1,1.0146
1,2,7,2,1,1.1635
1,2,7,2,1,1.0898
1,2,7,2,1,1.0146
1,2,7,2,1,1.1635
1,2,7,2,2,0.81866
1,2,7,2,2,0.80941
1,2,7,2,2,0.8549
1,2,7,2,2,0.81866
1,2,7,2,2,0.80941
1,2,7,2,2,0.8549
1,2,7,3,1,1.0041
1,2,7,3,1,1.0339
1,2,7,3,1,0.95691
1,2,7,3,1,1.0041
1,2,7,3,1,1.0339
1,2,7,3,1,0.95691
1,2,7,3,2,0.78973
1,2,7,3,2,0.85947
1,2,7,3,2,0.79828
1,2,7,3,2,0.78973
1,2,7,3,2,0.85947
1,2,7,3,2,0.79828
1,3,1,1,1,0.94866
1,3,1,1,1,1.0305
1,3,1,1,1,0.98449
1,3,1,1,1,0.94866
1,3,1,1,1,1.0305
1,3,1,1,1,0.98449
1,3,1,1,2,0.93843
1,3,1,1,2,0.99574
1,3,1,1,2,0.89059
1,3,1,1,2,0.93843
1,3,1,1,2,0.99574
1,3,1,1,2,0.89059
1,3,1,2,1,0.94283
1,3,1,2,1,0.97069
1,3,1,2,1,0.92681
1,3,1,2,1,0.94283
1,3,1,2,1,0.97069
1,3,1,2,1,0.92681
1,3,1,2,2,0.9659
1,3,1,2,2,1.0078
1,3,1,2,2,0.90122
1,3,1,2,2,0.9659
1,3,1,2,2,1.0078
1,3,1,2,2,0.90122
1,3,1,3,1,0.91737
1,3,1,3,1,1.0018
1,3,1,3,1,0.90203
1,3,1,3,1,0.91737
1,3,1,3,1,1.0018
1,3,1,3,1,0.90203
1,3,1,3,2,0.80157
1,3,1,3,2,0.8857
1,3,1,3,2,0.91457
