grp , pp , S , IDR , IDL , q4R
1,2,1,1,1,0.57558
1,2,1,1,1,0.47158
1,2,1,1,1,0.5027
1,2,1,1,1,0.57558
1,2,1,1,1,0.47158
1,2,1,1,1,0.5027
1,2,1,1,2,0.46082
1,2,1,1,2,0.46631
1,2,1,1,2,0.48668
1,2,1,1,2,0.46082
1,2,1,1,2,0.46631
1,2,1,1,2,0.48668
1,2,1,2,1,0.39642
1,2,1,2,1,0.51773
1,2,1,2,1,0.4274
1,2,1,2,1,0.39642
1,2,1,2,1,0.51773
1,2,1,2,1,0.4274
1,2,1,2,2,0.51196
1,2,1,2,2,0.38215
1,2,1,2,2,0.55835
1,2,1,2,2,0.51196
1,2,1,2,2,0.38215
1,2,1,2,2,0.55835
1,2,1,3,1,0.54855
1,2,1,3,1,0.44106
1,2,1,3,1,0.43241
1,2,1,3,1,0.54855
1,2,1,3,1,0.44106
1,2,1,3,1,0.43241
1,2,1,3,2,0.80008
1,2,1,3,2,0.93883
1,2,1,3,2,0.80237
1,2,1,3,2,0.80008
1,2,1,3,2,0.93883
1,2,1,3,2,0.80237
1,2,4,1,1,0.48363
1,2,4,1,1,0.43566
1,2,4,1,1,0.40535
1,2,4,1,1,0.48363
1,2,4,1,1,0.43566
1,2,4,1,1,0.40535
1,2,4,1,2,0.45382
1,2,4,1,2,0.50521
1,2,4,1,2,0.55229
1,2,4,1,2,0.45382
1,2,4,1,2,0.50521
1,2,4,1,2,0.55229
1,2,4,2,1,0.3896
1,2,4,2,1,0.45351
1,2,4,2,1,0.49852
1,2,4,2,1,0.3896
1,2,4,2,1,0.45351
1,2,4,2,1,0.49852
1,2,4,2,2,0.81987
1,2,4,2,2,0.85703
1,2,4,2,2,0.67776
1,2,4,2,2,0.81987
1,2,4,2,2,0.85703
1,2,4,2,2,0.67776
1,2,4,3,1,0.52958
1,2,4,3,1,0.45204
1,2,4,3,1,0.54575
1,2,4,3,1,0.52958
1,2,4,3,1,0.45204
1,2,4,3,1,0.54575
